step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,2.2210350036621094
300,2.0111563205718994,0.0,0.13368181818181818,0.0029889165186613824,7.157758951187134
600,1.9710602760314941,0.0,0.13472727272727272,0.0029312252584644026,12.214596033096313
900,1.9634262323379517,0.0,0.13472727272727272,0.0028262802505665758,17.185882091522217
1200,1.8489283323287964,0.0,0.19904545454545455,0.0026779520437983317,22.67434787750244
1500,0.694968044757843,0.0025,0.609,0.0024917112325092902,29.308669090270996
1800,0.47515547275543213,0.0665,0.7641818181818182,0.002274426691825128,34.342318058013916
2100,0.38372802734375,0.1145,0.8080454545454545,0.0020341122419518937,39.56312108039856
2400,0.2608252465724945,0.345,0.8943181818181818,0.0017796310849753703,44.58592987060547
2700,0.09595952183008194,0.8715,0.9863636363636363,0.0015203689150246297,49.531538009643555
3000,0.03662259504199028,0.9915,0.9991818181818182,0.0012658877580481063,54.69715595245361
3300,0.02165643312036991,0.9975,0.9997727272727273,0.0010255733081748729,59.44543719291687
3600,0.015063718892633915,0.999,0.9999090909090909,0.0008082887674907099,64.3726179599762
3900,0.011912022717297077,1.0,1.0,0.0006220479562016685,69.65305423736572
4200,0.009931393899023533,1.0,1.0,0.00047371974943342433,74.45949292182922
4500,0.008526300080120564,1.0,1.0,0.00036877474153559735,79.33163213729858
4800,0.007302004843950272,1.0,1.0,0.00031108348133861787,84.46167588233948
4999,0.00690498435869813,1.0,1.0,0.00030000027746700307,88.37885403633118
