step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.732019424438477,0.0,0.0,3e-05,1.821113109588623
300,2.019477367401123,0.0,0.13395454545454547,0.0029889165186613824,6.134891986846924
600,1.9824517965316772,0.0,0.13436363636363635,0.0029312252584644026,10.493594884872437
900,1.7479406595230103,0.0,0.21013636363636365,0.0028262802505665758,16.014991998672485
1200,1.3503698110580444,0.0,0.2967727272727273,0.0026779520437983317,20.37315797805786
1500,1.2057393789291382,0.0,0.3224090909090909,0.0024917112325092902,24.962156057357788
1800,1.152035117149353,0.0,0.3089090909090909,0.002274426691825128,29.321887969970703
2100,1.1198595762252808,0.0,0.31827272727272726,0.0020341122419518937,33.892679929733276
2400,1.1113985776901245,0.0,0.34345454545454546,0.0017796310849753703,38.25930714607239
2700,1.0910722017288208,0.0,0.38481818181818184,0.0015203689150246297,42.794753074645996
3000,0.8077964186668396,0.0005,0.5678181818181818,0.0012658877580481063,47.592437982559204
3300,0.6399456262588501,0.0115,0.6531363636363636,0.0010255733081748729,51.95074796676636
3600,0.584576427936554,0.0205,0.6949090909090909,0.0008082887674907099,56.31191611289978
3900,0.5454354286193848,0.0255,0.7116818181818182,0.0006220479562016685,60.73789691925049
4200,0.5368611812591553,0.0385,0.7219545454545454,0.00047371974943342433,65.10612797737122
4500,0.510822594165802,0.043,0.7276818181818182,0.00036877474153559735,70.09170579910278
4800,0.5250163674354553,0.0455,0.7318636363636364,0.00031108348133861787,75.60821294784546
4999,0.5080063939094543,0.0495,0.7375909090909091,0.00030000027746700307,79.59798979759216
