step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,2.354302167892456
300,2.011293411254883,0.0,0.1355909090909091,0.0029889165186613824,7.620544910430908
600,1.9703751802444458,0.0,0.13968181818181818,0.0029312252584644026,13.4791898727417
900,1.9635330438613892,0.0,0.13472727272727272,0.0028262802505665758,19.789602041244507
1200,1.7649539709091187,0.0,0.2025909090909091,0.0026779520437983317,26.41282296180725
1500,1.421632170677185,0.0,0.33704545454545454,0.0024917112325092902,34.51240396499634
1800,1.135459303855896,0.0,0.3836363636363636,0.002274426691825128,41.49764919281006
2100,0.8630008697509766,0.0005,0.5420454545454545,0.0020341122419518937,47.826879024505615
2400,0.5842375159263611,0.0175,0.6809090909090909,0.0017796310849753703,54.68779516220093
2700,0.5134763121604919,0.039,0.7333181818181819,0.0015203689150246297,61.14502000808716
3000,0.4501444399356842,0.063,0.7747727272727273,0.0012658877580481063,66.76433610916138
3300,0.4090491235256195,0.094,0.7946818181818182,0.0010255733081748729,72.277822971344
3600,0.3804849684238434,0.112,0.8088181818181818,0.0008082887674907099,78.33804702758789
3900,0.3727378845214844,0.1225,0.8195454545454546,0.0006220479562016685,83.98689198493958
4200,0.36814484000205994,0.136,0.8282727272727273,0.00047371974943342433,89.8006272315979
4500,0.3369234502315521,0.154,0.8361818181818181,0.00036877474153559735,95.23096203804016
4800,0.3405679762363434,0.1625,0.8442272727272727,0.00031108348133861787,100.84983491897583
4999,0.3297118842601776,0.1755,0.8501363636363637,0.00030000027746700307,104.61902403831482
