Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 38931ms | tok/sec: 13,467 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 306ms | tok/sec: 1,714,063 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442316 | lrm: 1.00 | dt: 309ms | tok/sec: 1,697,460 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971721 | lrm: 1.00 | dt: 344ms | tok/sec: 1,525,857 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578761 | lrm: 1.00 | dt: 316ms | tok/sec: 1,661,034 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248844 | lrm: 1.00 | dt: 312ms | tok/sec: 1,678,482 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998078 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,925 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787063 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,175 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606980 | lrm: 1.00 | dt: 313ms | tok/sec: 1,677,662 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455138 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,583 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325371 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,720 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217069 | lrm: 1.00 | dt: 313ms | tok/sec: 1,673,780 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120694 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,434 | mfu: 39.8% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034791 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,140 | mfu: 39.4% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962571 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,174 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.897972 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,532 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.841956 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,144 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.787599 | lrm: 1.00 | dt: 318ms | tok/sec: 1,650,623 | mfu: 39.9% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.738614 | lrm: 1.00 | dt: 314ms | tok/sec: 1,669,815 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00019 (0.8%) | loss: 5.692946 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,777 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.650596 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,386 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.610104 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,166 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.574242 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,778 | mfu: 39.6% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.536798 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,678 | mfu: 39.6% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.500837 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,033 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00025 (1.5%) | loss: 5.468027 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,062 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.436931 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,519 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.406472 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,668 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.378502 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,322 | mfu: 39.1% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.349698 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,807 | mfu: 39.5% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.318843 | lrm: 1.00 | dt: 316ms | tok/sec: 1,657,155 | mfu: 40.0% | epoch: 1 | remaining: 294s    
step 00031 (2.1%) | loss: 5.288645 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,040 | mfu: 39.1% | epoch: 1 | remaining: 293s    
step 00032 (2.2%) | loss: 5.260427 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,174 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00033 (2.3%) | loss: 5.233896 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,701 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00034 (2.4%) | loss: 5.202715 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,249 | mfu: 39.7% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.176685 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,019 | mfu: 39.8% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.150009 | lrm: 1.00 | dt: 319ms | tok/sec: 1,646,088 | mfu: 39.8% | epoch: 1 | remaining: 292s    
step 00037 (2.8%) | loss: 5.123093 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,447 | mfu: 39.3% | epoch: 1 | remaining: 291s    
step 00038 (2.9%) | loss: 5.096038 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,488 | mfu: 39.7% | epoch: 1 | remaining: 291s    
step 00039 (3.0%) | loss: 5.069414 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,992 | mfu: 39.7% | epoch: 1 | remaining: 291s    
step 00040 (3.1%) | loss: 5.040043 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,473 | mfu: 39.4% | epoch: 1 | remaining: 290s    
step 00041 (3.2%) | loss: 5.012911 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,456 | mfu: 39.8% | epoch: 1 | remaining: 290s    
step 00042 (3.3%) | loss: 4.987094 | lrm: 1.00 | dt: 317ms | tok/sec: 1,656,332 | mfu: 40.0% | epoch: 1 | remaining: 290s    
step 00043 (3.4%) | loss: 4.959196 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,970 | mfu: 39.6% | epoch: 1 | remaining: 289s    
step 00044 (3.5%) | loss: 4.931160 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,929 | mfu: 39.4% | epoch: 1 | remaining: 289s    
step 00045 (3.6%) | loss: 4.903845 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,353 | mfu: 39.7% | epoch: 1 | remaining: 289s    
step 00046 (3.7%) | loss: 4.875929 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,663 | mfu: 39.8% | epoch: 1 | remaining: 289s    
step 00047 (3.8%) | loss: 4.840527 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,086 | mfu: 39.7% | epoch: 1 | remaining: 288s    
step 00048 (3.9%) | loss: 4.818574 | lrm: 1.00 | dt: 319ms | tok/sec: 1,646,023 | mfu: 39.8% | epoch: 1 | remaining: 288s    
