Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SLSLSLSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 26991ms | tok/sec: 9,712 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867323 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,266 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486196 | lrm: 1.00 | dt: 155ms | tok/sec: 1,689,630 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034183 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,344 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655201 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,473 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322733 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,533 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069831 | lrm: 1.00 | dt: 191ms | tok/sec: 1,369,647 | mfu: 33.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864913 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,419 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690532 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,447 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542321 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,266 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419132 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,877 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310184 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,871 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212631 | lrm: 1.00 | dt: 169ms | tok/sec: 1,551,965 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130565 | lrm: 1.00 | dt: 164ms | tok/sec: 1,600,248 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.057767 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,830 | mfu: 39.7% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.990716 | lrm: 1.00 | dt: 163ms | tok/sec: 1,612,726 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931563 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,475 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.874608 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,219 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.824587 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,725 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.777530 | lrm: 1.00 | dt: 163ms | tok/sec: 1,608,131 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.733245 | lrm: 1.00 | dt: 161ms | tok/sec: 1,631,279 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.693326 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,569 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.658599 | lrm: 1.00 | dt: 156ms | tok/sec: 1,676,790 | mfu: 40.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.624736 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,525 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.593178 | lrm: 1.00 | dt: 160ms | tok/sec: 1,640,741 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.561235 | lrm: 1.00 | dt: 163ms | tok/sec: 1,605,646 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.530413 | lrm: 1.00 | dt: 163ms | tok/sec: 1,612,979 | mfu: 39.0% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.500532 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,129 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.474388 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,975 | mfu: 40.2% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.447996 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,494 | mfu: 39.9% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.418363 | lrm: 1.00 | dt: 159ms | tok/sec: 1,651,196 | mfu: 39.9% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.392157 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,806 | mfu: 39.2% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.367136 | lrm: 1.00 | dt: 162ms | tok/sec: 1,621,889 | mfu: 39.2% | epoch: 1 | remaining: 296s    
step 00033 (1.2%) | loss: 5.342909 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,442 | mfu: 39.2% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.317589 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,026 | mfu: 40.1% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.290996 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,908 | mfu: 40.2% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.264967 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,155 | mfu: 39.7% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 5.240037 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,797 | mfu: 39.3% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.213556 | lrm: 1.00 | dt: 162ms | tok/sec: 1,616,793 | mfu: 39.1% | epoch: 1 | remaining: 296s    
step 00039 (1.5%) | loss: 5.187665 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,475 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00040 (1.6%) | loss: 5.165563 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,992 | mfu: 39.4% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.139985 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,658 | mfu: 40.2% | epoch: 1 | remaining: 295s    
step 00042 (1.7%) | loss: 5.117307 | lrm: 1.00 | dt: 160ms | tok/sec: 1,635,533 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 5.090834 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,562 | mfu: 39.6% | epoch: 1 | remaining: 295s    
step 00044 (1.8%) | loss: 5.067099 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,449 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 5.045160 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,333 | mfu: 40.3% | epoch: 1 | remaining: 294s    
step 00046 (1.9%) | loss: 5.019828 | lrm: 1.00 | dt: 159ms | tok/sec: 1,644,141 | mfu: 39.7% | epoch: 1 | remaining: 294s    
step 00047 (1.9%) | loss: 4.993003 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,769 | mfu: 39.8% | epoch: 1 | remaining: 294s    
step 00048 (2.0%) | loss: 4.968421 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,756 | mfu: 40.0% | epoch: 1 | remaining: 294s    
step 00049 (2.0%) | loss: 4.941266 | lrm: 1.00 | dt: 162ms | tok/sec: 1,621,480 | mfu: 39.2% | epoch: 1 | remaining: 294s    
step 00050 (2.1%) | loss: 4.920485 | lrm: 1.00 | dt: 163ms | tok/sec: 1,607,550 | mfu: 38.8% | epoch: 1 | remaining: 294s    
step 00051 (2.1%) | loss: 4.895896 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,924 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00052 (2.2%) | loss: 4.873163 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,647 | mfu: 40.0% | epoch: 1 | remaining: 293s    
step 00053 (2.2%) | loss: 4.849924 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,931 | mfu: 40.0% | epoch: 1 | remaining: 293s    
step 00054 (2.3%) | loss: 4.822750 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,398 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00055 (2.3%) | loss: 4.800069 | lrm: 1.00 | dt: 161ms | tok/sec: 1,627,432 | mfu: 39.3% | epoch: 1 | remaining: 293s    
step 00056 (2.4%) | loss: 4.777558 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,848 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00057 (2.5%) | loss: 4.755712 | lrm: 1.00 | dt: 160ms | tok/sec: 1,643,038 | mfu: 39.7% | epoch: 1 | remaining: 292s    
step 00058 (2.5%) | loss: 4.733479 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,619 | mfu: 39.3% | epoch: 1 | remaining: 292s    
step 00059 (2.6%) | loss: 4.713579 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,513 | mfu: 39.9% | epoch: 1 | remaining: 292s    
step 00060 (2.6%) | loss: 4.693489 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,094 | mfu: 40.4% | epoch: 1 | remaining: 292s    
step 00061 (2.7%) | loss: 4.668548 | lrm: 1.00 | dt: 161ms | tok/sec: 1,627,379 | mfu: 39.3% | epoch: 1 | remaining: 292s    
step 00062 (2.7%) | loss: 4.645337 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,564 | mfu: 39.3% | epoch: 1 | remaining: 292s    
step 00063 (2.8%) | loss: 4.621132 | lrm: 1.00 | dt: 161ms | tok/sec: 1,627,832 | mfu: 39.3% | epoch: 1 | remaining: 292s    
step 00064 (2.8%) | loss: 4.596717 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,949 | mfu: 39.7% | epoch: 1 | remaining: 291s    
step 00065 (2.9%) | loss: 4.571395 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,072 | mfu: 39.8% | epoch: 1 | remaining: 291s    
step 00066 (2.9%) | loss: 4.550527 | lrm: 1.00 | dt: 157ms | tok/sec: 1,666,103 | mfu: 40.3% | epoch: 1 | remaining: 291s    
step 00067 (3.0%) | loss: 4.529172 | lrm: 1.00 | dt: 159ms | tok/sec: 1,643,591 | mfu: 39.7% | epoch: 1 | remaining: 291s    
step 00068 (3.0%) | loss: 4.504388 | lrm: 1.00 | dt: 161ms | tok/sec: 1,627,673 | mfu: 39.3% | epoch: 1 | remaining: 291s    
step 00069 (3.1%) | loss: 4.481819 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,956 | mfu: 39.3% | epoch: 1 | remaining: 291s    
step 00070 (3.1%) | loss: 4.456615 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,035 | mfu: 39.6% | epoch: 1 | remaining: 290s    
step 00071 (3.2%) | loss: 4.434613 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,335 | mfu: 39.8% | epoch: 1 | remaining: 290s    
step 00072 (3.3%) | loss: 4.413590 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,351 | mfu: 40.3% | epoch: 1 | remaining: 290s    
step 00073 (3.3%) | loss: 4.393290 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,803 | mfu: 39.8% | epoch: 1 | remaining: 290s    
step 00074 (3.4%) | loss: 4.375433 | lrm: 1.00 | dt: 160ms | tok/sec: 1,640,795 | mfu: 39.6% | epoch: 1 | remaining: 290s    
step 00075 (3.4%) | loss: 4.356169 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,989 | mfu: 39.5% | epoch: 1 | remaining: 290s    
step 00076 (3.5%) | loss: 4.337635 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,739 | mfu: 39.3% | epoch: 1 | remaining: 289s    
step 00077 (3.5%) | loss: 4.317868 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,204 | mfu: 39.9% | epoch: 1 | remaining: 289s    
step 00078 (3.6%) | loss: 4.300642 | lrm: 1.00 | dt: 157ms | tok/sec: 1,666,257 | mfu: 40.3% | epoch: 1 | remaining: 289s    
step 00079 (3.6%) | loss: 4.283207 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,488 | mfu: 39.7% | epoch: 1 | remaining: 289s    
step 00080 (3.7%) | loss: 4.259185 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,625 | mfu: 39.7% | epoch: 1 | remaining: 289s    
step 00081 (3.7%) | loss: 4.237414 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,545 | mfu: 39.5% | epoch: 1 | remaining: 289s    
step 00082 (3.8%) | loss: 4.214486 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,807 | mfu: 39.4% | epoch: 1 | remaining: 288s    
step 00083 (3.8%) | loss: 4.195935 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,844 | mfu: 39.7% | epoch: 1 | remaining: 288s    
step 00084 (3.9%) | loss: 4.177616 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,603 | mfu: 39.9% | epoch: 1 | remaining: 288s    
step 00085 (3.9%) | loss: 4.160770 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,589 | mfu: 39.5% | epoch: 1 | remaining: 288s    
step 00086 (4.0%) | loss: 4.143789 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,494 | mfu: 39.5% | epoch: 1 | remaining: 288s    
step 00087 (4.1%) | loss: 4.125658 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,545 | mfu: 40.0% | epoch: 1 | remaining: 288s    
step 00088 (4.1%) | loss: 4.104511 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,097 | mfu: 39.5% | epoch: 1 | remaining: 288s    
step 00089 (4.2%) | loss: 4.089529 | lrm: 1.00 | dt: 164ms | tok/sec: 1,599,361 | mfu: 38.6% | epoch: 1 | remaining: 287s    
step 00090 (4.2%) | loss: 4.072105 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,066 | mfu: 40.8% | epoch: 1 | remaining: 287s    
step 00091 (4.3%) | loss: 4.057503 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,068 | mfu: 40.1% | epoch: 1 | remaining: 287s    
step 00092 (4.3%) | loss: 4.038101 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,792 | mfu: 39.7% | epoch: 1 | remaining: 287s    
step 00093 (4.4%) | loss: 4.023926 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,841 | mfu: 40.0% | epoch: 1 | remaining: 287s    
