Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLSSLL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.296412e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 26441ms | tok/sec: 9,914 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867313 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,380 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486094 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,716 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034105 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,172 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654835 | lrm: 1.00 | dt: 153ms | tok/sec: 1,718,290 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322340 | lrm: 1.00 | dt: 155ms | tok/sec: 1,695,997 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069436 | lrm: 1.00 | dt: 190ms | tok/sec: 1,377,192 | mfu: 32.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864436 | lrm: 1.00 | dt: 163ms | tok/sec: 1,605,757 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690005 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,391 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541731 | lrm: 1.00 | dt: 170ms | tok/sec: 1,543,867 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418451 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,109 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309360 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,432 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211552 | lrm: 1.00 | dt: 164ms | tok/sec: 1,597,474 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129154 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,805 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056029 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,029 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988598 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,075 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.928904 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,956 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871302 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,136 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.820468 | lrm: 1.00 | dt: 160ms | tok/sec: 1,640,063 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.772450 | lrm: 1.00 | dt: 160ms | tok/sec: 1,643,394 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.727290 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,691 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.686068 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,773 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.649795 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,670 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.614643 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,077 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.581942 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,912 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.548403 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,059 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.515654 | lrm: 1.00 | dt: 166ms | tok/sec: 1,579,088 | mfu: 36.6% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.483684 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,500 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.455487 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,816 | mfu: 38.6% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.427284 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,825 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.395851 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,436 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.367981 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,216 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.341106 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,315 | mfu: 37.9% | epoch: 1 | remaining: 297s    
step 00033 (1.2%) | loss: 5.315307 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,677 | mfu: 39.0% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.288680 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,062 | mfu: 39.1% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.260826 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,618 | mfu: 39.0% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.233458 | lrm: 1.00 | dt: 159ms | tok/sec: 1,644,235 | mfu: 38.2% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 5.207269 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,628 | mfu: 38.2% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.179828 | lrm: 1.00 | dt: 160ms | tok/sec: 1,635,623 | mfu: 38.0% | epoch: 1 | remaining: 296s    
step 00039 (1.5%) | loss: 5.153243 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,965 | mfu: 38.3% | epoch: 1 | remaining: 295s    
step 00040 (1.5%) | loss: 5.129778 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,929 | mfu: 38.5% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.102376 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,656 | mfu: 39.1% | epoch: 1 | remaining: 295s    
step 00042 (1.6%) | loss: 5.078842 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,469 | mfu: 38.3% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 5.051966 | lrm: 1.00 | dt: 156ms | tok/sec: 1,676,406 | mfu: 38.9% | epoch: 1 | remaining: 295s    
step 00044 (1.7%) | loss: 5.027310 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,803 | mfu: 38.4% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 5.004165 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,358 | mfu: 38.5% | epoch: 1 | remaining: 294s    
step 00046 (1.8%) | loss: 4.978548 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,023 | mfu: 38.5% | epoch: 1 | remaining: 294s    
step 00047 (1.9%) | loss: 4.951754 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,973 | mfu: 38.5% | epoch: 1 | remaining: 294s    
step 00048 (2.0%) | loss: 4.927190 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,099 | mfu: 39.1% | epoch: 1 | remaining: 294s    
step 00049 (2.0%) | loss: 4.899084 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,522 | mfu: 38.4% | epoch: 1 | remaining: 294s    
step 00050 (2.1%) | loss: 4.877444 | lrm: 1.00 | dt: 160ms | tok/sec: 1,640,430 | mfu: 38.1% | epoch: 1 | remaining: 294s    
step 00051 (2.1%) | loss: 4.852378 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,661 | mfu: 37.9% | epoch: 1 | remaining: 294s    
step 00052 (2.2%) | loss: 4.829243 | lrm: 1.00 | dt: 159ms | tok/sec: 1,651,873 | mfu: 38.3% | epoch: 1 | remaining: 293s    
step 00053 (2.2%) | loss: 4.805259 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,498 | mfu: 38.1% | epoch: 1 | remaining: 293s    
