Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLLSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.296412e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 23551ms | tok/sec: 11,130 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867326 | lrm: 1.00 | dt: 153ms | tok/sec: 1,711,302 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486222 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,955 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034262 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,614 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655043 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,807 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322534 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,668 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069590 | lrm: 1.00 | dt: 175ms | tok/sec: 1,500,267 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864589 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,768 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690146 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,944 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541849 | lrm: 1.00 | dt: 162ms | tok/sec: 1,616,158 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418552 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,709 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309441 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,394 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211626 | lrm: 1.00 | dt: 164ms | tok/sec: 1,602,209 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129226 | lrm: 1.00 | dt: 164ms | tok/sec: 1,602,443 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056088 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,460 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988638 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,749 | mfu: 38.2% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.928914 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,127 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871285 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,037 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.820481 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,790 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.772522 | lrm: 1.00 | dt: 164ms | tok/sec: 1,597,279 | mfu: 37.1% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.727411 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,182 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.686265 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,559 | mfu: 37.7% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.650062 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,066 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.614917 | lrm: 1.00 | dt: 160ms | tok/sec: 1,635,185 | mfu: 37.9% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.582265 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,250 | mfu: 38.0% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.548899 | lrm: 1.00 | dt: 164ms | tok/sec: 1,602,760 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.516275 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,967 | mfu: 37.9% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.484338 | lrm: 1.00 | dt: 162ms | tok/sec: 1,619,262 | mfu: 37.6% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.456206 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,823 | mfu: 38.2% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.428124 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,560 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.396792 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,647 | mfu: 37.9% | epoch: 1 | remaining: 297s    
