Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSLSSLSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.296412e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 26105ms | tok/sec: 10,041 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867309 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,854 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486127 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,959 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034092 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,944 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654932 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,233 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322400 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,729 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069461 | lrm: 1.00 | dt: 176ms | tok/sec: 1,491,737 | mfu: 34.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864395 | lrm: 1.00 | dt: 163ms | tok/sec: 1,611,376 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689951 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,174 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541670 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,012 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418400 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,369 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309306 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,284 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211491 | lrm: 1.00 | dt: 166ms | tok/sec: 1,580,643 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129132 | lrm: 1.00 | dt: 161ms | tok/sec: 1,623,616 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056071 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,705 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988696 | lrm: 1.00 | dt: 156ms | tok/sec: 1,676,317 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.929081 | lrm: 1.00 | dt: 157ms | tok/sec: 1,674,558 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871501 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,532 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.820686 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,398 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.772841 | lrm: 1.00 | dt: 164ms | tok/sec: 1,594,343 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.727860 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,601 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.686882 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,437 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.650912 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,329 | mfu: 39.0% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.615891 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,488 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.583026 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,762 | mfu: 38.0% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.549424 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,563 | mfu: 37.6% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.516699 | lrm: 1.00 | dt: 161ms | tok/sec: 1,627,813 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.484736 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,927 | mfu: 39.0% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.456533 | lrm: 1.00 | dt: 157ms | tok/sec: 1,674,364 | mfu: 38.9% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.428235 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,899 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.396757 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,073 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.368912 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,408 | mfu: 38.2% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.342240 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,146 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00033 (1.2%) | loss: 5.316547 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,125 | mfu: 38.0% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.289692 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,930 | mfu: 38.3% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.261630 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,921 | mfu: 38.7% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.234197 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,757 | mfu: 38.4% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 5.208001 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,064 | mfu: 38.2% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.180424 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,430 | mfu: 37.6% | epoch: 1 | remaining: 296s    
step 00039 (1.5%) | loss: 5.153545 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,647 | mfu: 37.8% | epoch: 1 | remaining: 295s    
step 00040 (1.5%) | loss: 5.130277 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,190 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.103481 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,409 | mfu: 38.5% | epoch: 1 | remaining: 295s    
step 00042 (1.6%) | loss: 5.079812 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,172 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 5.052213 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,625 | mfu: 38.3% | epoch: 1 | remaining: 295s    
step 00044 (1.7%) | loss: 5.027719 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,352 | mfu: 38.0% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 5.005237 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,176 | mfu: 38.0% | epoch: 1 | remaining: 294s    
step 00046 (1.9%) | loss: 4.979097 | lrm: 1.00 | dt: 159ms | tok/sec: 1,644,601 | mfu: 38.2% | epoch: 1 | remaining: 294s    
step 00047 (1.9%) | loss: 4.951094 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,219 | mfu: 38.4% | epoch: 1 | remaining: 294s    
step 00048 (2.0%) | loss: 4.925678 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,077 | mfu: 38.2% | epoch: 1 | remaining: 294s    
step 00049 (2.0%) | loss: 4.897963 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,321 | mfu: 38.3% | epoch: 1 | remaining: 294s    
step 00050 (2.1%) | loss: 4.876485 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,876 | mfu: 37.8% | epoch: 1 | remaining: 294s    
step 00051 (2.1%) | loss: 4.850681 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,587 | mfu: 38.0% | epoch: 1 | remaining: 293s    
step 00052 (2.2%) | loss: 4.827576 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,514 | mfu: 38.3% | epoch: 1 | remaining: 293s    
step 00053 (2.2%) | loss: 4.804260 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,288 | mfu: 38.9% | epoch: 1 | remaining: 293s    
step 00054 (2.3%) | loss: 4.776528 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,339 | mfu: 38.5% | epoch: 1 | remaining: 293s    
step 00055 (2.3%) | loss: 4.753346 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,948 | mfu: 38.5% | epoch: 1 | remaining: 293s    
step 00056 (2.4%) | loss: 4.730972 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,704 | mfu: 38.0% | epoch: 1 | remaining: 293s    
step 00057 (2.4%) | loss: 4.708728 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,838 | mfu: 38.3% | epoch: 1 | remaining: 293s    
step 00058 (2.5%) | loss: 4.685784 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,659 | mfu: 38.4% | epoch: 1 | remaining: 292s    
step 00059 (2.5%) | loss: 4.663772 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,631 | mfu: 38.7% | epoch: 1 | remaining: 292s    
step 00060 (2.6%) | loss: 4.643117 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,800 | mfu: 37.9% | epoch: 1 | remaining: 292s    
step 00061 (2.6%) | loss: 4.618980 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,173 | mfu: 38.0% | epoch: 1 | remaining: 292s    
step 00062 (2.7%) | loss: 4.596322 | lrm: 1.00 | dt: 159ms | tok/sec: 1,644,717 | mfu: 38.2% | epoch: 1 | remaining: 292s    
step 00063 (2.8%) | loss: 4.573283 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,782 | mfu: 38.1% | epoch: 1 | remaining: 292s    
step 00064 (2.8%) | loss: 4.549617 | lrm: 1.00 | dt: 160ms | tok/sec: 1,635,598 | mfu: 38.0% | epoch: 1 | remaining: 291s    
step 00065 (2.9%) | loss: 4.525683 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,574 | mfu: 38.4% | epoch: 1 | remaining: 291s    
step 00066 (2.9%) | loss: 4.505621 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,445 | mfu: 38.2% | epoch: 1 | remaining: 291s    
step 00067 (3.0%) | loss: 4.485006 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,473 | mfu: 38.2% | epoch: 1 | remaining: 291s    
step 00068 (3.0%) | loss: 4.460341 | lrm: 1.00 | dt: 160ms | tok/sec: 1,640,758 | mfu: 38.1% | epoch: 1 | remaining: 291s    
step 00069 (3.1%) | loss: 4.435142 | lrm: 1.00 | dt: 158ms | tok/sec: 1,653,992 | mfu: 38.4% | epoch: 1 | remaining: 291s    
