Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSSLLSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.296412e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 24883ms | tok/sec: 10,534 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867320 | lrm: 1.00 | dt: 153ms | tok/sec: 1,717,949 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486213 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,119 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034218 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,071 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654963 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,416 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322453 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,400 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069515 | lrm: 1.00 | dt: 179ms | tok/sec: 1,463,500 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864459 | lrm: 1.00 | dt: 169ms | tok/sec: 1,552,780 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690005 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,262 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541699 | lrm: 1.00 | dt: 155ms | tok/sec: 1,695,837 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418407 | lrm: 1.00 | dt: 154ms | tok/sec: 1,696,874 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309301 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,084 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211484 | lrm: 1.00 | dt: 165ms | tok/sec: 1,586,434 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129124 | lrm: 1.00 | dt: 168ms | tok/sec: 1,562,019 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056037 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,262 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988616 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,972 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.928932 | lrm: 1.00 | dt: 155ms | tok/sec: 1,695,466 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871328 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,370 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.820532 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,241 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.772692 | lrm: 1.00 | dt: 166ms | tok/sec: 1,582,308 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.727733 | lrm: 1.00 | dt: 161ms | tok/sec: 1,629,265 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.686820 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,190 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.650904 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,030 | mfu: 39.0% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.615843 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,987 | mfu: 39.0% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.582924 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,057 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.549310 | lrm: 1.00 | dt: 163ms | tok/sec: 1,603,487 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.516692 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,305 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.484803 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,165 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.456619 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,337 | mfu: 38.3% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.428329 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,120 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.396879 | lrm: 1.00 | dt: 160ms | tok/sec: 1,640,954 | mfu: 38.1% | epoch: 1 | remaining: 297s    
