Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SMSLSMSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.264955e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 26261ms | tok/sec: 9,982 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867315 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,496 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486176 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,890 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034154 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,615 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655148 | lrm: 1.00 | dt: 154ms | tok/sec: 1,696,737 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322655 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,883 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069745 | lrm: 1.00 | dt: 183ms | tok/sec: 1,434,730 | mfu: 32.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864803 | lrm: 1.00 | dt: 172ms | tok/sec: 1,520,352 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690413 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,351 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542189 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,703 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418981 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,214 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309991 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,288 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212384 | lrm: 1.00 | dt: 166ms | tok/sec: 1,583,051 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130252 | lrm: 1.00 | dt: 167ms | tok/sec: 1,574,214 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.057408 | lrm: 1.00 | dt: 161ms | tok/sec: 1,631,736 | mfu: 37.4% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.990267 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,455 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.930949 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,466 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.873792 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,359 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.823542 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,652 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.776242 | lrm: 1.00 | dt: 166ms | tok/sec: 1,578,501 | mfu: 36.1% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.731779 | lrm: 1.00 | dt: 160ms | tok/sec: 1,635,795 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.691560 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,363 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.656456 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,649 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.622239 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,669 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.590333 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,611 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.558004 | lrm: 1.00 | dt: 163ms | tok/sec: 1,607,482 | mfu: 36.8% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.526704 | lrm: 1.00 | dt: 163ms | tok/sec: 1,606,409 | mfu: 36.8% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.496165 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,980 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.469304 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,133 | mfu: 37.6% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.442385 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,869 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.412347 | lrm: 1.00 | dt: 160ms | tok/sec: 1,635,742 | mfu: 37.4% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.385817 | lrm: 1.00 | dt: 161ms | tok/sec: 1,630,829 | mfu: 37.3% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.360578 | lrm: 1.00 | dt: 162ms | tok/sec: 1,619,942 | mfu: 37.1% | epoch: 1 | remaining: 296s    
step 00033 (1.2%) | loss: 5.335786 | lrm: 1.00 | dt: 160ms | tok/sec: 1,640,964 | mfu: 37.6% | epoch: 1 | remaining: 296s    
