Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSMSMSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.170583e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 25736ms | tok/sec: 10,185 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867309 | lrm: 1.00 | dt: 151ms | tok/sec: 1,740,303 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486146 | lrm: 1.00 | dt: 154ms | tok/sec: 1,706,746 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034142 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,370 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654976 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,599 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322476 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,059 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069544 | lrm: 1.00 | dt: 210ms | tok/sec: 1,246,781 | mfu: 27.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864555 | lrm: 1.00 | dt: 183ms | tok/sec: 1,436,156 | mfu: 31.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690115 | lrm: 1.00 | dt: 152ms | tok/sec: 1,724,007 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541839 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,574 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418565 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,898 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309482 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,140 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211718 | lrm: 1.00 | dt: 162ms | tok/sec: 1,615,997 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129397 | lrm: 1.00 | dt: 165ms | tok/sec: 1,593,326 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056363 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,133 | mfu: 36.2% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988964 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,995 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.929312 | lrm: 1.00 | dt: 154ms | tok/sec: 1,697,694 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871807 | lrm: 1.00 | dt: 155ms | tok/sec: 1,691,803 | mfu: 37.1% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.821108 | lrm: 1.00 | dt: 159ms | tok/sec: 1,643,571 | mfu: 36.1% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.773302 | lrm: 1.00 | dt: 163ms | tok/sec: 1,611,962 | mfu: 35.4% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.728394 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,146 | mfu: 36.1% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.687586 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,610 | mfu: 36.1% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.651805 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,913 | mfu: 36.9% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.616980 | lrm: 1.00 | dt: 155ms | tok/sec: 1,691,925 | mfu: 37.1% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.584430 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,103 | mfu: 37.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.551241 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,627 | mfu: 36.5% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.518889 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,751 | mfu: 36.1% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.487229 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,819 | mfu: 36.3% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.459350 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,566 | mfu: 36.4% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.431415 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,103 | mfu: 36.5% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.400292 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,816 | mfu: 36.4% | epoch: 1 | remaining: 297s    
