Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSHSMSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.202040e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 24797ms | tok/sec: 10,571 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867316 | lrm: 1.00 | dt: 151ms | tok/sec: 1,734,724 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486159 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,494 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034139 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,166 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655042 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,427 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322547 | lrm: 1.00 | dt: 153ms | tok/sec: 1,718,690 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069622 | lrm: 1.00 | dt: 175ms | tok/sec: 1,495,386 | mfu: 33.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864650 | lrm: 1.00 | dt: 190ms | tok/sec: 1,378,433 | mfu: 30.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690224 | lrm: 1.00 | dt: 153ms | tok/sec: 1,717,109 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541945 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,035 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418675 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,161 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309602 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,203 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211850 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,496 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129528 | lrm: 1.00 | dt: 168ms | tok/sec: 1,564,887 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056477 | lrm: 1.00 | dt: 161ms | tok/sec: 1,630,543 | mfu: 36.3% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.989118 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,921 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.929513 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,672 | mfu: 37.8% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.872024 | lrm: 1.00 | dt: 153ms | tok/sec: 1,708,045 | mfu: 38.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.821380 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,565 | mfu: 37.1% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.773657 | lrm: 1.00 | dt: 165ms | tok/sec: 1,585,761 | mfu: 35.3% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.728781 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,086 | mfu: 36.2% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.687997 | lrm: 1.00 | dt: 159ms | tok/sec: 1,644,970 | mfu: 36.6% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.652254 | lrm: 1.00 | dt: 157ms | tok/sec: 1,666,143 | mfu: 37.1% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.617510 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,833 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.584986 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,582 | mfu: 36.9% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.551830 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,881 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.519629 | lrm: 1.00 | dt: 163ms | tok/sec: 1,606,369 | mfu: 35.7% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.488159 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,358 | mfu: 36.4% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.460419 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,110 | mfu: 36.7% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.432631 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,041 | mfu: 37.4% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.401678 | lrm: 1.00 | dt: 158ms | tok/sec: 1,664,302 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.374238 | lrm: 1.00 | dt: 161ms | tok/sec: 1,632,672 | mfu: 36.3% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.347836 | lrm: 1.00 | dt: 161ms | tok/sec: 1,629,717 | mfu: 36.3% | epoch: 1 | remaining: 297s    
step 00033 (1.2%) | loss: 5.322378 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,563 | mfu: 36.1% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.296060 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,870 | mfu: 36.8% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.268509 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,683 | mfu: 37.2% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.241443 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,376 | mfu: 37.1% | epoch: 1 | remaining: 296s    
