Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSXSMSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.217769e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 24950ms | tok/sec: 10,506 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867314 | lrm: 1.00 | dt: 151ms | tok/sec: 1,733,182 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486152 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,335 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034129 | lrm: 1.00 | dt: 154ms | tok/sec: 1,706,629 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655044 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,052 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322559 | lrm: 1.00 | dt: 153ms | tok/sec: 1,714,838 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069639 | lrm: 1.00 | dt: 177ms | tok/sec: 1,484,159 | mfu: 33.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864645 | lrm: 1.00 | dt: 181ms | tok/sec: 1,451,845 | mfu: 32.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690227 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,221 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541952 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,071 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418685 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,515 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309617 | lrm: 1.00 | dt: 155ms | tok/sec: 1,695,016 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211855 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,409 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129537 | lrm: 1.00 | dt: 164ms | tok/sec: 1,596,635 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056495 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,613 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.989125 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,993 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.929513 | lrm: 1.00 | dt: 154ms | tok/sec: 1,697,267 | mfu: 38.0% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.872034 | lrm: 1.00 | dt: 153ms | tok/sec: 1,710,450 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.821393 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,234 | mfu: 36.9% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.773660 | lrm: 1.00 | dt: 163ms | tok/sec: 1,608,569 | mfu: 36.1% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.728800 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,638 | mfu: 36.5% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.688049 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,526 | mfu: 37.1% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.652410 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,860 | mfu: 37.3% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.617672 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,901 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.585133 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,015 | mfu: 37.6% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.551935 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,818 | mfu: 37.1% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.519700 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,324 | mfu: 36.6% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.488262 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,456 | mfu: 36.8% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.460547 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,515 | mfu: 36.9% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.432720 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,026 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.401769 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,234 | mfu: 37.4% | epoch: 1 | remaining: 297s    
