Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSNSMSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.225633e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 24606ms | tok/sec: 10,653 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867315 | lrm: 1.00 | dt: 152ms | tok/sec: 1,727,368 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486160 | lrm: 1.00 | dt: 152ms | tok/sec: 1,721,157 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034138 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,873 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655048 | lrm: 1.00 | dt: 152ms | tok/sec: 1,725,920 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322546 | lrm: 1.00 | dt: 153ms | tok/sec: 1,715,191 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069622 | lrm: 1.00 | dt: 169ms | tok/sec: 1,552,410 | mfu: 34.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864653 | lrm: 1.00 | dt: 172ms | tok/sec: 1,523,544 | mfu: 34.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690241 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,431 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541972 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,200 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418706 | lrm: 1.00 | dt: 171ms | tok/sec: 1,532,251 | mfu: 34.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309637 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,421 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211887 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,169 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129565 | lrm: 1.00 | dt: 166ms | tok/sec: 1,578,116 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056512 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,029 | mfu: 36.9% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.989165 | lrm: 1.00 | dt: 155ms | tok/sec: 1,685,974 | mfu: 37.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.929589 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,037 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.872121 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,396 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.821498 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,361 | mfu: 37.9% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.773788 | lrm: 1.00 | dt: 164ms | tok/sec: 1,599,068 | mfu: 36.0% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.728922 | lrm: 1.00 | dt: 160ms | tok/sec: 1,643,021 | mfu: 37.0% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.688132 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,254 | mfu: 37.6% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.652389 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,216 | mfu: 37.3% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.617756 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,354 | mfu: 37.0% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.585244 | lrm: 1.00 | dt: 158ms | tok/sec: 1,661,822 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.552053 | lrm: 1.00 | dt: 162ms | tok/sec: 1,621,435 | mfu: 36.5% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.519871 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,609 | mfu: 36.4% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.488556 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,865 | mfu: 37.3% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.460988 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,411 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.433282 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,308 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.402304 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,212 | mfu: 37.9% | epoch: 1 | remaining: 297s    
