Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLNMNL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.202040e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 27795ms | tok/sec: 9,431 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867313 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,023 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486178 | lrm: 1.00 | dt: 151ms | tok/sec: 1,741,290 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034140 | lrm: 1.00 | dt: 165ms | tok/sec: 1,591,550 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655058 | lrm: 1.00 | dt: 151ms | tok/sec: 1,740,512 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322553 | lrm: 1.00 | dt: 152ms | tok/sec: 1,726,416 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069618 | lrm: 1.00 | dt: 183ms | tok/sec: 1,429,308 | mfu: 31.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864565 | lrm: 1.00 | dt: 188ms | tok/sec: 1,393,293 | mfu: 31.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690107 | lrm: 1.00 | dt: 181ms | tok/sec: 1,450,238 | mfu: 32.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541797 | lrm: 1.00 | dt: 169ms | tok/sec: 1,546,632 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418483 | lrm: 1.00 | dt: 185ms | tok/sec: 1,419,512 | mfu: 31.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309345 | lrm: 1.00 | dt: 151ms | tok/sec: 1,733,728 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211495 | lrm: 1.00 | dt: 168ms | tok/sec: 1,559,398 | mfu: 34.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129108 | lrm: 1.00 | dt: 161ms | tok/sec: 1,630,696 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056018 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,281 | mfu: 38.2% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988602 | lrm: 1.00 | dt: 164ms | tok/sec: 1,600,612 | mfu: 35.6% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.928887 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,058 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871255 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,939 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.820468 | lrm: 1.00 | dt: 155ms | tok/sec: 1,691,621 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.772596 | lrm: 1.00 | dt: 162ms | tok/sec: 1,613,874 | mfu: 35.9% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.727635 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,937 | mfu: 37.9% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.686739 | lrm: 1.00 | dt: 158ms | tok/sec: 1,664,189 | mfu: 37.0% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.650868 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,397 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.616020 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,579 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.583344 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,165 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.550025 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,696 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.517684 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,508 | mfu: 37.2% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.486141 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,123 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.458345 | lrm: 1.00 | dt: 158ms | tok/sec: 1,661,709 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.430464 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,100 | mfu: 36.7% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.399365 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,441 | mfu: 37.3% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.371783 | lrm: 1.00 | dt: 164ms | tok/sec: 1,595,247 | mfu: 35.5% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.345320 | lrm: 1.00 | dt: 154ms | tok/sec: 1,696,743 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00033 (1.2%) | loss: 5.319813 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,179 | mfu: 37.6% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.293344 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,762 | mfu: 36.7% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.265696 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,084 | mfu: 37.4% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.238565 | lrm: 1.00 | dt: 161ms | tok/sec: 1,625,587 | mfu: 36.2% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 5.212532 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,926 | mfu: 37.3% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.185131 | lrm: 1.00 | dt: 166ms | tok/sec: 1,576,333 | mfu: 35.1% | epoch: 1 | remaining: 296s    
step 00039 (1.5%) | loss: 5.158463 | lrm: 1.00 | dt: 153ms | tok/sec: 1,713,932 | mfu: 38.1% | epoch: 1 | remaining: 295s    
step 00040 (1.5%) | loss: 5.135513 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,769 | mfu: 36.8% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.109033 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,204 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00042 (1.6%) | loss: 5.085425 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,444 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 5.058049 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,417 | mfu: 37.2% | epoch: 1 | remaining: 295s    
step 00044 (1.7%) | loss: 5.033769 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,899 | mfu: 37.2% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 5.011589 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,054 | mfu: 37.7% | epoch: 1 | remaining: 294s    
step 00046 (1.8%) | loss: 4.985732 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,587 | mfu: 37.7% | epoch: 1 | remaining: 294s    
step 00047 (1.9%) | loss: 4.957868 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,754 | mfu: 36.8% | epoch: 1 | remaining: 294s    
step 00048 (1.9%) | loss: 4.932011 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,710 | mfu: 36.9% | epoch: 1 | remaining: 294s    
step 00049 (2.0%) | loss: 4.904017 | lrm: 1.00 | dt: 158ms | tok/sec: 1,664,199 | mfu: 37.0% | epoch: 1 | remaining: 294s    
step 00050 (2.1%) | loss: 4.882877 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,359 | mfu: 37.4% | epoch: 1 | remaining: 294s    
step 00051 (2.1%) | loss: 4.858372 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,424 | mfu: 37.0% | epoch: 1 | remaining: 294s    
step 00052 (2.2%) | loss: 4.835682 | lrm: 1.00 | dt: 154ms | tok/sec: 1,699,785 | mfu: 37.8% | epoch: 1 | remaining: 293s    
step 00053 (2.2%) | loss: 4.812487 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,081 | mfu: 37.5% | epoch: 1 | remaining: 293s    
step 00054 (2.3%) | loss: 4.785385 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,676 | mfu: 36.8% | epoch: 1 | remaining: 293s    
step 00055 (2.3%) | loss: 4.762935 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,983 | mfu: 37.2% | epoch: 1 | remaining: 293s    
step 00056 (2.4%) | loss: 4.740359 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,757 | mfu: 37.2% | epoch: 1 | remaining: 293s    
step 00057 (2.4%) | loss: 4.719026 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,010 | mfu: 37.3% | epoch: 1 | remaining: 293s    
step 00058 (2.5%) | loss: 4.697198 | lrm: 1.00 | dt: 165ms | tok/sec: 1,592,138 | mfu: 35.4% | epoch: 1 | remaining: 292s    
step 00059 (2.5%) | loss: 4.674762 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,845 | mfu: 38.1% | epoch: 1 | remaining: 292s    
