Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLTMSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.209905e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 27448ms | tok/sec: 9,550 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867319 | lrm: 1.00 | dt: 150ms | tok/sec: 1,746,487 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486169 | lrm: 1.00 | dt: 152ms | tok/sec: 1,725,465 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034124 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,458 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655081 | lrm: 1.00 | dt: 150ms | tok/sec: 1,744,287 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322558 | lrm: 1.00 | dt: 152ms | tok/sec: 1,720,026 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069616 | lrm: 1.00 | dt: 222ms | tok/sec: 1,179,567 | mfu: 26.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864564 | lrm: 1.00 | dt: 189ms | tok/sec: 1,387,776 | mfu: 31.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690108 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,958 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541781 | lrm: 1.00 | dt: 165ms | tok/sec: 1,587,059 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418455 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,315 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309299 | lrm: 1.00 | dt: 151ms | tok/sec: 1,735,392 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211433 | lrm: 1.00 | dt: 167ms | tok/sec: 1,571,168 | mfu: 35.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129011 | lrm: 1.00 | dt: 159ms | tok/sec: 1,651,317 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.055874 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,443 | mfu: 36.8% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988411 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,085 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.928652 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,319 | mfu: 38.5% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.870964 | lrm: 1.00 | dt: 152ms | tok/sec: 1,720,532 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.820129 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,130 | mfu: 37.5% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.772229 | lrm: 1.00 | dt: 161ms | tok/sec: 1,627,213 | mfu: 36.3% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.727213 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,056 | mfu: 37.1% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.686273 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,434 | mfu: 37.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.650417 | lrm: 1.00 | dt: 155ms | tok/sec: 1,691,965 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.615505 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,158 | mfu: 36.6% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.582795 | lrm: 1.00 | dt: 151ms | tok/sec: 1,732,583 | mfu: 38.7% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.549388 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,731 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.517027 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,345 | mfu: 36.9% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.485434 | lrm: 1.00 | dt: 158ms | tok/sec: 1,661,096 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.457510 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,505 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.429517 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,800 | mfu: 37.6% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.398392 | lrm: 1.00 | dt: 153ms | tok/sec: 1,714,664 | mfu: 38.3% | epoch: 1 | remaining: 297s    
step 00031 (1.0%) | loss: 5.370802 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,635 | mfu: 36.9% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.344375 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,558 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00033 (1.2%) | loss: 5.318869 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,214 | mfu: 37.7% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.292283 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,929 | mfu: 37.6% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.264509 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,627 | mfu: 37.2% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.237305 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,375 | mfu: 38.3% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 5.211183 | lrm: 1.00 | dt: 155ms | tok/sec: 1,691,155 | mfu: 37.8% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.183747 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,395 | mfu: 37.6% | epoch: 1 | remaining: 296s    
step 00039 (1.5%) | loss: 5.157205 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,496 | mfu: 37.5% | epoch: 1 | remaining: 295s    
step 00040 (1.5%) | loss: 5.134146 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,256 | mfu: 37.5% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.107476 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,060 | mfu: 37.8% | epoch: 1 | remaining: 295s    
step 00042 (1.6%) | loss: 5.083894 | lrm: 1.00 | dt: 154ms | tok/sec: 1,697,337 | mfu: 37.9% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 5.056518 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,592 | mfu: 38.1% | epoch: 1 | remaining: 295s    
step 00044 (1.7%) | loss: 5.032049 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,342 | mfu: 37.5% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 5.009805 | lrm: 1.00 | dt: 155ms | tok/sec: 1,691,023 | mfu: 37.8% | epoch: 1 | remaining: 295s    
step 00046 (1.8%) | loss: 4.983902 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,275 | mfu: 37.3% | epoch: 1 | remaining: 294s    
step 00047 (1.9%) | loss: 4.955980 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,630 | mfu: 37.7% | epoch: 1 | remaining: 294s    
step 00048 (1.9%) | loss: 4.930423 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,875 | mfu: 38.3% | epoch: 1 | remaining: 294s    
step 00049 (2.0%) | loss: 4.902985 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,690 | mfu: 37.6% | epoch: 1 | remaining: 294s    
step 00050 (2.0%) | loss: 4.882629 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,722 | mfu: 37.6% | epoch: 1 | remaining: 294s    
step 00051 (2.1%) | loss: 4.857703 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,188 | mfu: 38.0% | epoch: 1 | remaining: 294s    
step 00052 (2.1%) | loss: 4.833918 | lrm: 1.00 | dt: 154ms | tok/sec: 1,702,062 | mfu: 38.0% | epoch: 1 | remaining: 293s    
step 00053 (2.2%) | loss: 4.810434 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,090 | mfu: 37.4% | epoch: 1 | remaining: 293s    
step 00054 (2.2%) | loss: 4.783755 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,252 | mfu: 37.7% | epoch: 1 | remaining: 293s    
step 00055 (2.3%) | loss: 4.761488 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,227 | mfu: 38.0% | epoch: 1 | remaining: 293s    
step 00056 (2.3%) | loss: 4.739794 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,681 | mfu: 37.5% | epoch: 1 | remaining: 293s    
step 00057 (2.4%) | loss: 4.718316 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,969 | mfu: 37.9% | epoch: 1 | remaining: 293s    
step 00058 (2.4%) | loss: 4.696351 | lrm: 1.00 | dt: 157ms | tok/sec: 1,672,215 | mfu: 37.3% | epoch: 1 | remaining: 293s    
step 00059 (2.5%) | loss: 4.674387 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,346 | mfu: 37.8% | epoch: 1 | remaining: 292s    
