Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLNMSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.221701e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 29098ms | tok/sec: 9,009 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867317 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,046 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486208 | lrm: 1.00 | dt: 151ms | tok/sec: 1,733,277 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034179 | lrm: 1.00 | dt: 153ms | tok/sec: 1,707,796 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655071 | lrm: 1.00 | dt: 152ms | tok/sec: 1,721,958 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322565 | lrm: 1.00 | dt: 152ms | tok/sec: 1,727,762 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069634 | lrm: 1.00 | dt: 201ms | tok/sec: 1,304,431 | mfu: 29.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864652 | lrm: 1.00 | dt: 164ms | tok/sec: 1,599,108 | mfu: 35.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690225 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,238 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541943 | lrm: 1.00 | dt: 165ms | tok/sec: 1,589,328 | mfu: 35.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418657 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,957 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309560 | lrm: 1.00 | dt: 151ms | tok/sec: 1,732,330 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211763 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,550 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129420 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,269 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056368 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,372 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988998 | lrm: 1.00 | dt: 166ms | tok/sec: 1,582,664 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.929364 | lrm: 1.00 | dt: 152ms | tok/sec: 1,728,908 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871833 | lrm: 1.00 | dt: 151ms | tok/sec: 1,731,059 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.821143 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,043 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.773371 | lrm: 1.00 | dt: 169ms | tok/sec: 1,552,081 | mfu: 34.8% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.728471 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,546 | mfu: 38.0% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.687627 | lrm: 1.00 | dt: 169ms | tok/sec: 1,547,370 | mfu: 34.7% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.651825 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,889 | mfu: 37.0% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.617156 | lrm: 1.00 | dt: 163ms | tok/sec: 1,611,083 | mfu: 36.2% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.584620 | lrm: 1.00 | dt: 152ms | tok/sec: 1,729,050 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.551413 | lrm: 1.00 | dt: 156ms | tok/sec: 1,676,613 | mfu: 37.6% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.519230 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,217 | mfu: 37.2% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.487845 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,857 | mfu: 37.4% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.460126 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,056 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.432288 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,933 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.401290 | lrm: 1.00 | dt: 153ms | tok/sec: 1,708,512 | mfu: 38.4% | epoch: 1 | remaining: 297s    
