Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 1.997568e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 9473ms | tok/sec: 27,673 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867313 | lrm: 1.00 | dt: 146ms | tok/sec: 1,795,399 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486211 | lrm: 1.00 | dt: 148ms | tok/sec: 1,774,347 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034135 | lrm: 1.00 | dt: 149ms | tok/sec: 1,762,436 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654806 | lrm: 1.00 | dt: 149ms | tok/sec: 1,764,645 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322148 | lrm: 1.00 | dt: 150ms | tok/sec: 1,752,536 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069107 | lrm: 1.00 | dt: 161ms | tok/sec: 1,632,039 | mfu: 32.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.863771 | lrm: 1.00 | dt: 187ms | tok/sec: 1,404,500 | mfu: 28.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689184 | lrm: 1.00 | dt: 149ms | tok/sec: 1,760,886 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.540648 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,833 | mfu: 33.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.416961 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,606 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.307340 | lrm: 1.00 | dt: 150ms | tok/sec: 1,748,253 | mfu: 35.3% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.208797 | lrm: 1.00 | dt: 151ms | tok/sec: 1,731,675 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.125513 | lrm: 1.00 | dt: 160ms | tok/sec: 1,635,112 | mfu: 33.0% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.051558 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,418 | mfu: 34.0% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.983217 | lrm: 1.00 | dt: 154ms | tok/sec: 1,702,425 | mfu: 34.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.922086 | lrm: 1.00 | dt: 150ms | tok/sec: 1,748,573 | mfu: 35.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.862796 | lrm: 1.00 | dt: 149ms | tok/sec: 1,764,226 | mfu: 35.6% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.809929 | lrm: 1.00 | dt: 149ms | tok/sec: 1,756,947 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.759673 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,119 | mfu: 34.3% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.712378 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,628 | mfu: 33.5% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.668471 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,147 | mfu: 34.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.629244 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,241 | mfu: 34.8% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.590622 | lrm: 1.00 | dt: 151ms | tok/sec: 1,734,789 | mfu: 35.0% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.554011 | lrm: 1.00 | dt: 149ms | tok/sec: 1,756,139 | mfu: 35.5% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.516778 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,456 | mfu: 34.3% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.480946 | lrm: 1.00 | dt: 157ms | tok/sec: 1,672,711 | mfu: 33.8% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.445385 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,449 | mfu: 34.2% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.413887 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,713 | mfu: 34.2% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.383659 | lrm: 1.00 | dt: 152ms | tok/sec: 1,721,216 | mfu: 34.7% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.350185 | lrm: 1.00 | dt: 151ms | tok/sec: 1,733,616 | mfu: 35.0% | epoch: 1 | remaining: 297s    
