Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLSLSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.217769e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 23686ms | tok/sec: 11,067 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867312 | lrm: 1.00 | dt: 151ms | tok/sec: 1,737,767 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486249 | lrm: 1.00 | dt: 153ms | tok/sec: 1,714,822 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034192 | lrm: 1.00 | dt: 153ms | tok/sec: 1,711,451 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655146 | lrm: 1.00 | dt: 153ms | tok/sec: 1,717,549 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322542 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,225 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069537 | lrm: 1.00 | dt: 165ms | tok/sec: 1,584,297 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864349 | lrm: 1.00 | dt: 161ms | tok/sec: 1,625,183 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689828 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,253 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541453 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,723 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417998 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,629 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308675 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,729 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.210568 | lrm: 1.00 | dt: 157ms | tok/sec: 1,666,080 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.127818 | lrm: 1.00 | dt: 162ms | tok/sec: 1,621,710 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.054335 | lrm: 1.00 | dt: 159ms | tok/sec: 1,651,841 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.986550 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,843 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.926366 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,948 | mfu: 38.0% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.868165 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,107 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.816587 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,848 | mfu: 36.9% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.767835 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,825 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.722061 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,208 | mfu: 36.7% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.680169 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,336 | mfu: 37.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.643129 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,701 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.606974 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,436 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.572947 | lrm: 1.00 | dt: 157ms | tok/sec: 1,675,025 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.538180 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,101 | mfu: 36.9% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.504170 | lrm: 1.00 | dt: 161ms | tok/sec: 1,632,570 | mfu: 36.6% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.470832 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,534 | mfu: 36.9% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.441434 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,253 | mfu: 37.5% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.412143 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,999 | mfu: 37.9% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.379474 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,610 | mfu: 37.9% | epoch: 1 | remaining: 297s    
step 00031 (1.0%) | loss: 5.350307 | lrm: 1.00 | dt: 157ms | tok/sec: 1,666,318 | mfu: 37.3% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.322340 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,372 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00033 (1.2%) | loss: 5.295546 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,517 | mfu: 36.9% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.268173 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,754 | mfu: 37.0% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.239624 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,769 | mfu: 37.7% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.211452 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,363 | mfu: 37.6% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 5.184492 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,666 | mfu: 37.7% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.156229 | lrm: 1.00 | dt: 159ms | tok/sec: 1,644,328 | mfu: 36.9% | epoch: 1 | remaining: 296s    
step 00039 (1.5%) | loss: 5.128742 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,766 | mfu: 37.3% | epoch: 1 | remaining: 295s    
step 00040 (1.5%) | loss: 5.104765 | lrm: 1.00 | dt: 157ms | tok/sec: 1,666,856 | mfu: 37.4% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.077168 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,574 | mfu: 37.5% | epoch: 1 | remaining: 295s    
step 00042 (1.6%) | loss: 5.053213 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,718 | mfu: 37.8% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 5.025469 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,212 | mfu: 37.6% | epoch: 1 | remaining: 295s    
step 00044 (1.7%) | loss: 5.000482 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,193 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 4.977674 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,637 | mfu: 36.9% | epoch: 1 | remaining: 294s    
step 00046 (1.8%) | loss: 4.951998 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,005 | mfu: 36.9% | epoch: 1 | remaining: 294s    
step 00047 (1.9%) | loss: 4.924354 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,484 | mfu: 37.6% | epoch: 1 | remaining: 294s    
step 00048 (1.9%) | loss: 4.898591 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,972 | mfu: 37.8% | epoch: 1 | remaining: 294s    
step 00049 (2.0%) | loss: 4.870664 | lrm: 1.00 | dt: 157ms | tok/sec: 1,672,650 | mfu: 37.5% | epoch: 1 | remaining: 294s    
step 00050 (2.0%) | loss: 4.849449 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,872 | mfu: 37.4% | epoch: 1 | remaining: 294s    
step 00051 (2.1%) | loss: 4.823909 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,353 | mfu: 37.1% | epoch: 1 | remaining: 294s    
step 00052 (2.2%) | loss: 4.801577 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,351 | mfu: 37.2% | epoch: 1 | remaining: 293s    
step 00053 (2.2%) | loss: 4.779370 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,082 | mfu: 37.4% | epoch: 1 | remaining: 293s    
step 00054 (2.3%) | loss: 4.752527 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,517 | mfu: 37.2% | epoch: 1 | remaining: 293s    
step 00055 (2.3%) | loss: 4.730513 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,018 | mfu: 37.8% | epoch: 1 | remaining: 293s    
step 00056 (2.4%) | loss: 4.709104 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,365 | mfu: 37.6% | epoch: 1 | remaining: 293s    
step 00057 (2.4%) | loss: 4.687848 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,045 | mfu: 37.4% | epoch: 1 | remaining: 293s    
step 00058 (2.5%) | loss: 4.666057 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,771 | mfu: 37.3% | epoch: 1 | remaining: 292s    
