Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'local_window_divisor': 8, 'n_global_head': 1}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.107668e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 31264ms | tok/sec: 8,384 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867328 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,553 | mfu: 34.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486405 | lrm: 1.00 | dt: 147ms | tok/sec: 1,778,900 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034342 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,310 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655009 | lrm: 1.00 | dt: 148ms | tok/sec: 1,767,669 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322306 | lrm: 1.00 | dt: 150ms | tok/sec: 1,750,792 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069280 | lrm: 1.00 | dt: 212ms | tok/sec: 1,233,634 | mfu: 26.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.863856 | lrm: 1.00 | dt: 203ms | tok/sec: 1,292,957 | mfu: 27.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689262 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,747 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.540721 | lrm: 1.00 | dt: 163ms | tok/sec: 1,609,456 | mfu: 34.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417048 | lrm: 1.00 | dt: 166ms | tok/sec: 1,578,639 | mfu: 33.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.307433 | lrm: 1.00 | dt: 148ms | tok/sec: 1,767,348 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.208903 | lrm: 1.00 | dt: 155ms | tok/sec: 1,689,207 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.125633 | lrm: 1.00 | dt: 157ms | tok/sec: 1,674,451 | mfu: 35.7% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.051644 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,033 | mfu: 35.8% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.983097 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,114 | mfu: 34.7% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.921749 | lrm: 1.00 | dt: 151ms | tok/sec: 1,739,565 | mfu: 37.1% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.862363 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,916 | mfu: 36.6% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.809461 | lrm: 1.00 | dt: 150ms | tok/sec: 1,752,514 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.759119 | lrm: 1.00 | dt: 167ms | tok/sec: 1,571,846 | mfu: 33.5% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.711674 | lrm: 1.00 | dt: 152ms | tok/sec: 1,729,577 | mfu: 36.8% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.667611 | lrm: 1.00 | dt: 154ms | tok/sec: 1,706,221 | mfu: 36.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.628270 | lrm: 1.00 | dt: 153ms | tok/sec: 1,715,205 | mfu: 36.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.589692 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,873 | mfu: 35.9% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.553406 | lrm: 1.00 | dt: 149ms | tok/sec: 1,757,492 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.516636 | lrm: 1.00 | dt: 152ms | tok/sec: 1,721,219 | mfu: 36.7% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.480854 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,811 | mfu: 35.5% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.445453 | lrm: 1.00 | dt: 152ms | tok/sec: 1,723,275 | mfu: 36.7% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.414288 | lrm: 1.00 | dt: 155ms | tok/sec: 1,695,241 | mfu: 36.1% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.383295 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,842 | mfu: 36.2% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.348833 | lrm: 1.00 | dt: 150ms | tok/sec: 1,744,630 | mfu: 37.2% | epoch: 1 | remaining: 297s    
