Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSLSSSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.107668e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 26451ms | tok/sec: 9,910 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867312 | lrm: 1.00 | dt: 166ms | tok/sec: 1,579,290 | mfu: 33.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486160 | lrm: 1.00 | dt: 148ms | tok/sec: 1,765,798 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034102 | lrm: 1.00 | dt: 153ms | tok/sec: 1,711,113 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654840 | lrm: 1.00 | dt: 148ms | tok/sec: 1,768,465 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322215 | lrm: 1.00 | dt: 150ms | tok/sec: 1,748,603 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069197 | lrm: 1.00 | dt: 203ms | tok/sec: 1,288,525 | mfu: 27.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.863926 | lrm: 1.00 | dt: 194ms | tok/sec: 1,350,205 | mfu: 28.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689368 | lrm: 1.00 | dt: 155ms | tok/sec: 1,695,395 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.540881 | lrm: 1.00 | dt: 150ms | tok/sec: 1,750,505 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417257 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,953 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.307697 | lrm: 1.00 | dt: 149ms | tok/sec: 1,761,335 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.209240 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,787 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.126047 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,541 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.052142 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,056 | mfu: 35.4% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.983809 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,299 | mfu: 35.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.922694 | lrm: 1.00 | dt: 149ms | tok/sec: 1,755,382 | mfu: 37.4% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.863453 | lrm: 1.00 | dt: 152ms | tok/sec: 1,724,139 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.810693 | lrm: 1.00 | dt: 151ms | tok/sec: 1,734,056 | mfu: 36.9% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.760586 | lrm: 1.00 | dt: 157ms | tok/sec: 1,674,915 | mfu: 35.7% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.713386 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,085 | mfu: 35.1% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.669616 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,408 | mfu: 35.8% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.630511 | lrm: 1.00 | dt: 153ms | tok/sec: 1,714,354 | mfu: 36.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.592110 | lrm: 1.00 | dt: 164ms | tok/sec: 1,601,141 | mfu: 34.1% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.555976 | lrm: 1.00 | dt: 149ms | tok/sec: 1,760,658 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.519541 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,095 | mfu: 36.7% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.483780 | lrm: 1.00 | dt: 159ms | tok/sec: 1,644,896 | mfu: 35.0% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.448607 | lrm: 1.00 | dt: 152ms | tok/sec: 1,724,845 | mfu: 36.7% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.417164 | lrm: 1.00 | dt: 154ms | tok/sec: 1,699,930 | mfu: 36.2% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.386083 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,523 | mfu: 36.3% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.351459 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,079 | mfu: 36.3% | epoch: 1 | remaining: 297s    
