Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSML'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.139126e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 27351ms | tok/sec: 9,584 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867305 | lrm: 1.00 | dt: 153ms | tok/sec: 1,711,653 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486250 | lrm: 1.00 | dt: 151ms | tok/sec: 1,737,668 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034226 | lrm: 1.00 | dt: 161ms | tok/sec: 1,632,965 | mfu: 35.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655016 | lrm: 1.00 | dt: 149ms | tok/sec: 1,757,031 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322401 | lrm: 1.00 | dt: 150ms | tok/sec: 1,742,347 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069378 | lrm: 1.00 | dt: 213ms | tok/sec: 1,228,090 | mfu: 26.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864202 | lrm: 1.00 | dt: 239ms | tok/sec: 1,098,673 | mfu: 23.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689684 | lrm: 1.00 | dt: 170ms | tok/sec: 1,541,817 | mfu: 33.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541279 | lrm: 1.00 | dt: 167ms | tok/sec: 1,565,874 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417771 | lrm: 1.00 | dt: 167ms | tok/sec: 1,567,135 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308390 | lrm: 1.00 | dt: 150ms | tok/sec: 1,746,301 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.210205 | lrm: 1.00 | dt: 161ms | tok/sec: 1,627,278 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.127292 | lrm: 1.00 | dt: 161ms | tok/sec: 1,632,715 | mfu: 35.3% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.053570 | lrm: 1.00 | dt: 152ms | tok/sec: 1,719,986 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.985475 | lrm: 1.00 | dt: 156ms | tok/sec: 1,676,250 | mfu: 36.2% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.924841 | lrm: 1.00 | dt: 155ms | tok/sec: 1,689,526 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.866124 | lrm: 1.00 | dt: 154ms | tok/sec: 1,702,019 | mfu: 36.8% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.813962 | lrm: 1.00 | dt: 153ms | tok/sec: 1,709,883 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.764506 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,363 | mfu: 35.8% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.717980 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,098 | mfu: 36.5% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.675172 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,290 | mfu: 36.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.637231 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,524 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.600136 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,591 | mfu: 36.7% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.565199 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,627 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.529443 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,693 | mfu: 36.3% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.494327 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,093 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.459954 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,896 | mfu: 36.8% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.429387 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,919 | mfu: 36.4% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.399064 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,412 | mfu: 36.9% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.365374 | lrm: 1.00 | dt: 153ms | tok/sec: 1,709,349 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00031 (1.0%) | loss: 5.335403 | lrm: 1.00 | dt: 153ms | tok/sec: 1,709,410 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.306852 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,164 | mfu: 36.5% | epoch: 1 | remaining: 297s    
step 00033 (1.1%) | loss: 5.279620 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,248 | mfu: 36.5% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.251173 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,261 | mfu: 36.6% | epoch: 1 | remaining: 296s    
step 00035 (1.2%) | loss: 5.221375 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,767 | mfu: 36.6% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.192532 | lrm: 1.00 | dt: 154ms | tok/sec: 1,697,010 | mfu: 36.7% | epoch: 1 | remaining: 296s    
step 00037 (1.3%) | loss: 5.165127 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,356 | mfu: 36.9% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.136409 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,470 | mfu: 36.7% | epoch: 1 | remaining: 296s    
step 00039 (1.4%) | loss: 5.108743 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,379 | mfu: 36.3% | epoch: 1 | remaining: 296s    
step 00040 (1.5%) | loss: 5.084427 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,367 | mfu: 36.2% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.056502 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,885 | mfu: 36.6% | epoch: 1 | remaining: 295s    
step 00042 (1.6%) | loss: 5.032397 | lrm: 1.00 | dt: 152ms | tok/sec: 1,723,364 | mfu: 37.3% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 5.003952 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,799 | mfu: 36.6% | epoch: 1 | remaining: 295s    
step 00044 (1.7%) | loss: 4.978429 | lrm: 1.00 | dt: 154ms | tok/sec: 1,707,374 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 4.955058 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,629 | mfu: 36.6% | epoch: 1 | remaining: 295s    
step 00046 (1.8%) | loss: 4.929155 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,420 | mfu: 36.8% | epoch: 1 | remaining: 294s    
step 00047 (1.9%) | loss: 4.901587 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,652 | mfu: 36.1% | epoch: 1 | remaining: 294s    
step 00048 (1.9%) | loss: 4.875755 | lrm: 1.00 | dt: 154ms | tok/sec: 1,697,083 | mfu: 36.7% | epoch: 1 | remaining: 294s    
step 00049 (2.0%) | loss: 4.847427 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,804 | mfu: 36.5% | epoch: 1 | remaining: 294s    
step 00050 (2.0%) | loss: 4.826369 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,632 | mfu: 37.0% | epoch: 1 | remaining: 294s    
step 00051 (2.1%) | loss: 4.800941 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,092 | mfu: 36.3% | epoch: 1 | remaining: 294s    
step 00052 (2.1%) | loss: 4.778054 | lrm: 1.00 | dt: 153ms | tok/sec: 1,718,279 | mfu: 37.1% | epoch: 1 | remaining: 293s    
step 00053 (2.2%) | loss: 4.754251 | lrm: 1.00 | dt: 154ms | tok/sec: 1,697,840 | mfu: 36.7% | epoch: 1 | remaining: 293s    
step 00054 (2.2%) | loss: 4.726340 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,078 | mfu: 36.9% | epoch: 1 | remaining: 293s    
step 00055 (2.3%) | loss: 4.703808 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,331 | mfu: 36.3% | epoch: 1 | remaining: 293s    
step 00056 (2.3%) | loss: 4.681639 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,470 | mfu: 36.6% | epoch: 1 | remaining: 293s    
