Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSMLSSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.123397e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 28023ms | tok/sec: 9,354 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867303 | lrm: 1.00 | dt: 196ms | tok/sec: 1,337,688 | mfu: 28.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486197 | lrm: 1.00 | dt: 166ms | tok/sec: 1,580,184 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034166 | lrm: 1.00 | dt: 221ms | tok/sec: 1,185,811 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654969 | lrm: 1.00 | dt: 150ms | tok/sec: 1,751,246 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322355 | lrm: 1.00 | dt: 150ms | tok/sec: 1,742,435 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069331 | lrm: 1.00 | dt: 238ms | tok/sec: 1,100,391 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864115 | lrm: 1.00 | dt: 206ms | tok/sec: 1,270,323 | mfu: 27.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689579 | lrm: 1.00 | dt: 185ms | tok/sec: 1,415,493 | mfu: 30.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541161 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,244 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417636 | lrm: 1.00 | dt: 166ms | tok/sec: 1,583,468 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308216 | lrm: 1.00 | dt: 150ms | tok/sec: 1,753,053 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.209982 | lrm: 1.00 | dt: 152ms | tok/sec: 1,725,043 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.127046 | lrm: 1.00 | dt: 156ms | tok/sec: 1,676,872 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.053349 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,380 | mfu: 35.7% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.985249 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,123 | mfu: 36.2% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.924516 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,793 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.865694 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,092 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.813430 | lrm: 1.00 | dt: 152ms | tok/sec: 1,727,403 | mfu: 37.1% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.763914 | lrm: 1.00 | dt: 154ms | tok/sec: 1,696,934 | mfu: 36.4% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.717380 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,121 | mfu: 35.7% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.674464 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,463 | mfu: 36.0% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.636318 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,502 | mfu: 36.3% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.599017 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,544 | mfu: 35.5% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.564121 | lrm: 1.00 | dt: 151ms | tok/sec: 1,730,947 | mfu: 37.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.528488 | lrm: 1.00 | dt: 152ms | tok/sec: 1,724,386 | mfu: 37.0% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.493327 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,511 | mfu: 36.2% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.458858 | lrm: 1.00 | dt: 154ms | tok/sec: 1,707,634 | mfu: 36.6% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.428252 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,282 | mfu: 36.0% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.397868 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,578 | mfu: 36.2% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.364111 | lrm: 1.00 | dt: 154ms | tok/sec: 1,706,518 | mfu: 36.6% | epoch: 1 | remaining: 297s    
