Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'MMMLSSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.154854e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 11656ms | tok/sec: 22,489 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867306 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,390 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486143 | lrm: 1.00 | dt: 149ms | tok/sec: 1,755,303 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034106 | lrm: 1.00 | dt: 173ms | tok/sec: 1,515,716 | mfu: 33.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654957 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,134 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322409 | lrm: 1.00 | dt: 177ms | tok/sec: 1,480,724 | mfu: 32.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069436 | lrm: 1.00 | dt: 230ms | tok/sec: 1,139,284 | mfu: 24.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864340 | lrm: 1.00 | dt: 172ms | tok/sec: 1,528,260 | mfu: 33.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689859 | lrm: 1.00 | dt: 172ms | tok/sec: 1,527,260 | mfu: 33.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541496 | lrm: 1.00 | dt: 157ms | tok/sec: 1,666,691 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418075 | lrm: 1.00 | dt: 166ms | tok/sec: 1,580,564 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308810 | lrm: 1.00 | dt: 152ms | tok/sec: 1,725,601 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.210750 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,443 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.128037 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,957 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.054577 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,292 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.986786 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,565 | mfu: 36.6% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.926612 | lrm: 1.00 | dt: 157ms | tok/sec: 1,672,194 | mfu: 36.4% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.868409 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,377 | mfu: 37.1% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.816822 | lrm: 1.00 | dt: 152ms | tok/sec: 1,729,964 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.767964 | lrm: 1.00 | dt: 164ms | tok/sec: 1,598,682 | mfu: 34.8% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.721995 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,517 | mfu: 37.0% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.679856 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,431 | mfu: 36.8% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.642611 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,095 | mfu: 36.7% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.606241 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,101 | mfu: 35.8% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.572306 | lrm: 1.00 | dt: 153ms | tok/sec: 1,718,094 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.537744 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,650 | mfu: 36.6% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.503842 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,279 | mfu: 36.8% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.470555 | lrm: 1.00 | dt: 154ms | tok/sec: 1,702,655 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.441018 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,561 | mfu: 36.7% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.411673 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,759 | mfu: 36.7% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.379092 | lrm: 1.00 | dt: 154ms | tok/sec: 1,699,515 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00031 (1.0%) | loss: 5.350178 | lrm: 1.00 | dt: 165ms | tok/sec: 1,589,231 | mfu: 34.6% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.322561 | lrm: 1.00 | dt: 152ms | tok/sec: 1,730,285 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00033 (1.1%) | loss: 5.295957 | lrm: 1.00 | dt: 154ms | tok/sec: 1,699,305 | mfu: 37.0% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.268061 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,287 | mfu: 36.7% | epoch: 1 | remaining: 296s    
step 00035 (1.2%) | loss: 5.238976 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,679 | mfu: 36.8% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.210856 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,514 | mfu: 37.4% | epoch: 1 | remaining: 296s    
step 00037 (1.3%) | loss: 5.184138 | lrm: 1.00 | dt: 152ms | tok/sec: 1,719,970 | mfu: 37.5% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.156232 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,865 | mfu: 36.9% | epoch: 1 | remaining: 296s    
step 00039 (1.4%) | loss: 5.129468 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,400 | mfu: 37.5% | epoch: 1 | remaining: 296s    
step 00040 (1.5%) | loss: 5.105870 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,656 | mfu: 36.8% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.078363 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,395 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00042 (1.6%) | loss: 5.054256 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,053 | mfu: 37.0% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 5.026320 | lrm: 1.00 | dt: 153ms | tok/sec: 1,708,268 | mfu: 37.2% | epoch: 1 | remaining: 295s    
step 00044 (1.7%) | loss: 5.001531 | lrm: 1.00 | dt: 153ms | tok/sec: 1,714,977 | mfu: 37.3% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 4.978779 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,711 | mfu: 36.9% | epoch: 1 | remaining: 295s    
