Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSWLSSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.139126e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 24019ms | tok/sec: 10,913 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867314 | lrm: 1.00 | dt: 149ms | tok/sec: 1,761,309 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486194 | lrm: 1.00 | dt: 152ms | tok/sec: 1,730,290 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034145 | lrm: 1.00 | dt: 152ms | tok/sec: 1,728,941 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654932 | lrm: 1.00 | dt: 152ms | tok/sec: 1,724,380 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322337 | lrm: 1.00 | dt: 151ms | tok/sec: 1,732,641 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069334 | lrm: 1.00 | dt: 190ms | tok/sec: 1,382,485 | mfu: 29.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864166 | lrm: 1.00 | dt: 152ms | tok/sec: 1,723,261 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689640 | lrm: 1.00 | dt: 153ms | tok/sec: 1,715,478 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541236 | lrm: 1.00 | dt: 151ms | tok/sec: 1,739,070 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417727 | lrm: 1.00 | dt: 153ms | tok/sec: 1,718,497 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308326 | lrm: 1.00 | dt: 153ms | tok/sec: 1,718,319 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.210101 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,190 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.127181 | lrm: 1.00 | dt: 163ms | tok/sec: 1,605,836 | mfu: 34.7% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.053493 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,901 | mfu: 36.0% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.985412 | lrm: 1.00 | dt: 154ms | tok/sec: 1,707,668 | mfu: 36.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.924732 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,480 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.865966 | lrm: 1.00 | dt: 151ms | tok/sec: 1,732,540 | mfu: 37.5% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.813792 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,641 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.764295 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,055 | mfu: 35.4% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.717718 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,849 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.674845 | lrm: 1.00 | dt: 154ms | tok/sec: 1,696,813 | mfu: 36.7% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.636807 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,309 | mfu: 36.9% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.599598 | lrm: 1.00 | dt: 151ms | tok/sec: 1,732,559 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.564711 | lrm: 1.00 | dt: 154ms | tok/sec: 1,704,360 | mfu: 36.8% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.529110 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,118 | mfu: 35.4% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.494029 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,506 | mfu: 35.7% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.459594 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,194 | mfu: 36.3% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.429014 | lrm: 1.00 | dt: 153ms | tok/sec: 1,718,008 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.398712 | lrm: 1.00 | dt: 153ms | tok/sec: 1,713,953 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.365036 | lrm: 1.00 | dt: 153ms | tok/sec: 1,711,768 | mfu: 37.0% | epoch: 1 | remaining: 297s    
