Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SMMLSSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 24,904,192
  scalars                 : 16
  total                   : 50,070,032
Estimated FLOPs per token: 2.123397e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 32107ms | tok/sec: 8,164 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.865512 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,346 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.502254 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,625 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.061212 | lrm: 1.00 | dt: 155ms | tok/sec: 1,691,028 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.675749 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,192 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.340533 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,919 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.085380 | lrm: 1.00 | dt: 171ms | tok/sec: 1,529,714 | mfu: 32.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.880514 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,185 | mfu: 35.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.704812 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,819 | mfu: 35.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.554521 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,748 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.429805 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,998 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.319250 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,724 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.220005 | lrm: 1.00 | dt: 166ms | tok/sec: 1,578,490 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.136004 | lrm: 1.00 | dt: 165ms | tok/sec: 1,591,334 | mfu: 34.1% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.060966 | lrm: 1.00 | dt: 158ms | tok/sec: 1,664,207 | mfu: 35.7% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.991969 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,624 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.930464 | lrm: 1.00 | dt: 159ms | tok/sec: 1,643,539 | mfu: 35.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871565 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,426 | mfu: 35.8% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.819614 | lrm: 1.00 | dt: 162ms | tok/sec: 1,621,901 | mfu: 34.8% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.769978 | lrm: 1.00 | dt: 162ms | tok/sec: 1,613,268 | mfu: 34.6% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.723039 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,626 | mfu: 35.2% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.679935 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,232 | mfu: 35.5% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.641704 | lrm: 1.00 | dt: 157ms | tok/sec: 1,666,020 | mfu: 35.8% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.604676 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,313 | mfu: 35.5% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.569846 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,241 | mfu: 35.2% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.534456 | lrm: 1.00 | dt: 162ms | tok/sec: 1,614,303 | mfu: 34.6% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.499913 | lrm: 1.00 | dt: 163ms | tok/sec: 1,613,022 | mfu: 34.6% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.466251 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,209 | mfu: 35.5% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.436416 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,085 | mfu: 35.4% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.406785 | lrm: 1.00 | dt: 159ms | tok/sec: 1,644,068 | mfu: 35.3% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.373865 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,053 | mfu: 35.5% | epoch: 1 | remaining: 297s    
