Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'STMLSSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.131261e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 25746ms | tok/sec: 10,181 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867310 | lrm: 1.00 | dt: 148ms | tok/sec: 1,768,707 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486155 | lrm: 1.00 | dt: 152ms | tok/sec: 1,730,160 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034114 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,303 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654902 | lrm: 1.00 | dt: 152ms | tok/sec: 1,726,796 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322328 | lrm: 1.00 | dt: 151ms | tok/sec: 1,736,644 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069324 | lrm: 1.00 | dt: 175ms | tok/sec: 1,496,628 | mfu: 32.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864131 | lrm: 1.00 | dt: 210ms | tok/sec: 1,250,488 | mfu: 26.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689627 | lrm: 1.00 | dt: 151ms | tok/sec: 1,741,784 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541239 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,928 | mfu: 35.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417759 | lrm: 1.00 | dt: 152ms | tok/sec: 1,726,755 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308421 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,012 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.210300 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,362 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.127507 | lrm: 1.00 | dt: 163ms | tok/sec: 1,604,035 | mfu: 34.5% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.053954 | lrm: 1.00 | dt: 161ms | tok/sec: 1,625,979 | mfu: 35.0% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.986033 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,419 | mfu: 36.1% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.925613 | lrm: 1.00 | dt: 153ms | tok/sec: 1,710,953 | mfu: 36.9% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.867164 | lrm: 1.00 | dt: 152ms | tok/sec: 1,721,101 | mfu: 37.1% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.815328 | lrm: 1.00 | dt: 154ms | tok/sec: 1,696,910 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.766233 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,839 | mfu: 35.2% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.720071 | lrm: 1.00 | dt: 161ms | tok/sec: 1,625,421 | mfu: 35.0% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.677647 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,482 | mfu: 35.6% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.640198 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,134 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.603666 | lrm: 1.00 | dt: 152ms | tok/sec: 1,721,440 | mfu: 37.1% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.569306 | lrm: 1.00 | dt: 152ms | tok/sec: 1,724,832 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.534153 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,538 | mfu: 36.0% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.499696 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,515 | mfu: 35.6% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.465970 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,424 | mfu: 35.9% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.435977 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,617 | mfu: 36.4% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.406162 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,128 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.373056 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,096 | mfu: 36.5% | epoch: 1 | remaining: 297s    
step 00031 (1.0%) | loss: 5.343640 | lrm: 1.00 | dt: 152ms | tok/sec: 1,723,720 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.315609 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,117 | mfu: 36.2% | epoch: 1 | remaining: 297s    
step 00033 (1.1%) | loss: 5.288703 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,756 | mfu: 35.9% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.260651 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,400 | mfu: 35.5% | epoch: 1 | remaining: 296s    
step 00035 (1.2%) | loss: 5.231290 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,030 | mfu: 36.3% | epoch: 1 | remaining: 296s    
