Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'LLLL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 20004ms | tok/sec: 26,209 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854721 | lrm: 1.00 | dt: 733ms | tok/sec: 714,876 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442465 | lrm: 1.00 | dt: 637ms | tok/sec: 823,151 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971919 | lrm: 1.00 | dt: 556ms | tok/sec: 943,097 | mfu: 26.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578898 | lrm: 1.00 | dt: 368ms | tok/sec: 1,423,316 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248964 | lrm: 1.00 | dt: 415ms | tok/sec: 1,264,769 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998208 | lrm: 1.00 | dt: 490ms | tok/sec: 1,069,474 | mfu: 29.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787225 | lrm: 1.00 | dt: 420ms | tok/sec: 1,248,945 | mfu: 34.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607166 | lrm: 1.00 | dt: 419ms | tok/sec: 1,250,082 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455376 | lrm: 1.00 | dt: 489ms | tok/sec: 1,072,593 | mfu: 30.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325664 | lrm: 1.00 | dt: 422ms | tok/sec: 1,242,919 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217458 | lrm: 1.00 | dt: 456ms | tok/sec: 1,151,001 | mfu: 32.2% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 6.121203 | lrm: 1.00 | dt: 473ms | tok/sec: 1,108,824 | mfu: 31.0% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.035476 | lrm: 1.00 | dt: 492ms | tok/sec: 1,064,804 | mfu: 29.8% | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 5.963495 | lrm: 1.00 | dt: 511ms | tok/sec: 1,025,243 | mfu: 28.7% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 5.899142 | lrm: 1.00 | dt: 489ms | tok/sec: 1,072,690 | mfu: 30.0% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 5.843276 | lrm: 1.00 | dt: 442ms | tok/sec: 1,185,897 | mfu: 33.2% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 5.789034 | lrm: 1.00 | dt: 491ms | tok/sec: 1,068,037 | mfu: 29.9% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 5.740301 | lrm: 1.00 | dt: 413ms | tok/sec: 1,269,081 | mfu: 35.5% | epoch: 1 | remaining: 296s    
step 00019 (1.3%) | loss: 5.695057 | lrm: 1.00 | dt: 452ms | tok/sec: 1,160,868 | mfu: 32.5% | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 5.653185 | lrm: 1.00 | dt: 470ms | tok/sec: 1,114,730 | mfu: 31.2% | epoch: 1 | remaining: 295s    
step 00021 (1.6%) | loss: 5.613188 | lrm: 1.00 | dt: 396ms | tok/sec: 1,322,969 | mfu: 37.0% | epoch: 1 | remaining: 295s    
step 00022 (1.7%) | loss: 5.577818 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,747 | mfu: 34.3% | epoch: 1 | remaining: 294s    
step 00023 (1.8%) | loss: 5.541025 | lrm: 1.00 | dt: 375ms | tok/sec: 1,397,904 | mfu: 39.1% | epoch: 1 | remaining: 294s    
step 00024 (2.0%) | loss: 5.505902 | lrm: 1.00 | dt: 465ms | tok/sec: 1,128,319 | mfu: 31.6% | epoch: 1 | remaining: 294s    
step 00025 (2.1%) | loss: 5.473983 | lrm: 1.00 | dt: 395ms | tok/sec: 1,325,983 | mfu: 37.1% | epoch: 1 | remaining: 293s    
step 00026 (2.2%) | loss: 5.443645 | lrm: 1.00 | dt: 376ms | tok/sec: 1,392,747 | mfu: 39.0% | epoch: 1 | remaining: 293s    
step 00027 (2.4%) | loss: 5.413969 | lrm: 1.00 | dt: 438ms | tok/sec: 1,196,656 | mfu: 33.5% | epoch: 1 | remaining: 292s    
step 00028 (2.5%) | loss: 5.386711 | lrm: 1.00 | dt: 361ms | tok/sec: 1,453,725 | mfu: 40.7% | epoch: 1 | remaining: 292s    
step 00029 (2.6%) | loss: 5.358402 | lrm: 1.00 | dt: 484ms | tok/sec: 1,083,741 | mfu: 30.3% | epoch: 1 | remaining: 292s    
step 00030 (2.8%) | loss: 5.328056 | lrm: 1.00 | dt: 399ms | tok/sec: 1,313,099 | mfu: 36.7% | epoch: 1 | remaining: 291s    
