Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation pattern: (1, 2)
Average optimizer batch: 393,216 tokens

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 18763ms | tok/sec: 13,971 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867059 | lrm: 1.00 | dt: 971ms | tok/sec: 539,673 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.476590 | lrm: 1.00 | dt: 491ms | tok/sec: 533,602 | mfu: 12.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.014746 | lrm: 1.00 | dt: 718ms | tok/sec: 729,952 | mfu: 17.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.628355 | lrm: 1.00 | dt: 378ms | tok/sec: 693,259 | mfu: 16.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.299137 | lrm: 1.00 | dt: 396ms | tok/sec: 1,323,409 | mfu: 32.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.043680 | lrm: 1.00 | dt: 216ms | tok/sec: 1,211,978 | mfu: 29.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.836021 | lrm: 1.00 | dt: 452ms | tok/sec: 1,159,898 | mfu: 28.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.656284 | lrm: 1.00 | dt: 278ms | tok/sec: 943,862 | mfu: 22.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.508959 | lrm: 1.00 | dt: 466ms | tok/sec: 1,124,180 | mfu: 27.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.380280 | lrm: 1.00 | dt: 269ms | tok/sec: 974,780 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.267526 | lrm: 1.00 | dt: 459ms | tok/sec: 1,143,433 | mfu: 27.6% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 6.170777 | lrm: 1.00 | dt: 234ms | tok/sec: 1,121,070 | mfu: 27.1% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.083698 | lrm: 1.00 | dt: 400ms | tok/sec: 1,309,979 | mfu: 31.7% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.007147 | lrm: 1.00 | dt: 233ms | tok/sec: 1,123,577 | mfu: 27.1% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.942483 | lrm: 1.00 | dt: 502ms | tok/sec: 1,044,176 | mfu: 25.2% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.883644 | lrm: 1.00 | dt: 256ms | tok/sec: 1,024,706 | mfu: 24.8% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.828674 | lrm: 1.00 | dt: 471ms | tok/sec: 1,113,666 | mfu: 26.9% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 5.777628 | lrm: 1.00 | dt: 211ms | tok/sec: 1,240,973 | mfu: 30.0% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.734114 | lrm: 1.00 | dt: 479ms | tok/sec: 1,095,004 | mfu: 26.5% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 5.690177 | lrm: 1.00 | dt: 217ms | tok/sec: 1,209,413 | mfu: 29.2% | epoch: 1 | remaining: 297s    
step 00021 (1.2%) | loss: 5.652141 | lrm: 1.00 | dt: 447ms | tok/sec: 1,173,596 | mfu: 28.4% | epoch: 1 | remaining: 296s    
step 00022 (1.3%) | loss: 5.618172 | lrm: 1.00 | dt: 253ms | tok/sec: 1,036,175 | mfu: 25.0% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 5.583032 | lrm: 1.00 | dt: 484ms | tok/sec: 1,083,396 | mfu: 26.2% | epoch: 1 | remaining: 295s    
step 00024 (1.5%) | loss: 5.549353 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,484 | mfu: 24.3% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.516499 | lrm: 1.00 | dt: 439ms | tok/sec: 1,193,318 | mfu: 28.8% | epoch: 1 | remaining: 295s    
step 00026 (1.8%) | loss: 5.484683 | lrm: 1.00 | dt: 236ms | tok/sec: 1,110,888 | mfu: 26.8% | epoch: 1 | remaining: 294s    
step 00027 (1.9%) | loss: 5.454091 | lrm: 1.00 | dt: 486ms | tok/sec: 1,078,098 | mfu: 26.0% | epoch: 1 | remaining: 294s    
step 00028 (2.0%) | loss: 5.426554 | lrm: 1.00 | dt: 206ms | tok/sec: 1,274,550 | mfu: 30.8% | epoch: 1 | remaining: 294s    
step 00029 (2.1%) | loss: 5.398367 | lrm: 1.00 | dt: 405ms | tok/sec: 1,294,837 | mfu: 31.3% | epoch: 1 | remaining: 293s    
step 00030 (2.2%) | loss: 5.371770 | lrm: 1.00 | dt: 212ms | tok/sec: 1,234,901 | mfu: 29.8% | epoch: 1 | remaining: 293s    
step 00031 (2.3%) | loss: 5.341526 | lrm: 1.00 | dt: 438ms | tok/sec: 1,196,340 | mfu: 28.9% | epoch: 1 | remaining: 293s    
step 00032 (2.4%) | loss: 5.313636 | lrm: 1.00 | dt: 222ms | tok/sec: 1,180,141 | mfu: 28.5% | epoch: 1 | remaining: 292s    
step 00033 (2.5%) | loss: 5.288521 | lrm: 1.00 | dt: 383ms | tok/sec: 1,367,385 | mfu: 33.0% | epoch: 1 | remaining: 292s    
step 00034 (2.6%) | loss: 5.260427 | lrm: 1.00 | dt: 231ms | tok/sec: 1,133,150 | mfu: 27.4% | epoch: 1 | remaining: 292s    
step 00035 (2.7%) | loss: 5.233368 | lrm: 1.00 | dt: 382ms | tok/sec: 1,374,052 | mfu: 33.2% | epoch: 1 | remaining: 291s    
step 00036 (2.8%) | loss: 5.203316 | lrm: 1.00 | dt: 205ms | tok/sec: 1,281,071 | mfu: 31.0% | epoch: 1 | remaining: 291s    
step 00037 (2.9%) | loss: 5.178032 | lrm: 1.00 | dt: 424ms | tok/sec: 1,235,212 | mfu: 29.8% | epoch: 1 | remaining: 291s    
