Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSSSSML'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.139126e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 27802ms | tok/sec: 18,858 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854689 | lrm: 1.00 | dt: 299ms | tok/sec: 1,750,651 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442127 | lrm: 1.00 | dt: 303ms | tok/sec: 1,731,405 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971534 | lrm: 1.00 | dt: 349ms | tok/sec: 1,503,224 | mfu: 32.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578397 | lrm: 1.00 | dt: 312ms | tok/sec: 1,680,908 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248488 | lrm: 1.00 | dt: 314ms | tok/sec: 1,671,057 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997708 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,877 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.786593 | lrm: 1.00 | dt: 311ms | tok/sec: 1,687,902 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606448 | lrm: 1.00 | dt: 309ms | tok/sec: 1,698,315 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.454416 | lrm: 1.00 | dt: 309ms | tok/sec: 1,698,532 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.324452 | lrm: 1.00 | dt: 314ms | tok/sec: 1,669,952 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.215776 | lrm: 1.00 | dt: 311ms | tok/sec: 1,686,873 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.118963 | lrm: 1.00 | dt: 309ms | tok/sec: 1,695,955 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.032439 | lrm: 1.00 | dt: 314ms | tok/sec: 1,669,310 | mfu: 36.1% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.959514 | lrm: 1.00 | dt: 311ms | tok/sec: 1,684,824 | mfu: 36.4% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.894357 | lrm: 1.00 | dt: 309ms | tok/sec: 1,694,399 | mfu: 36.6% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.837498 | lrm: 1.00 | dt: 313ms | tok/sec: 1,675,625 | mfu: 36.2% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.782039 | lrm: 1.00 | dt: 313ms | tok/sec: 1,672,662 | mfu: 36.2% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.731976 | lrm: 1.00 | dt: 311ms | tok/sec: 1,685,452 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00019 (0.8%) | loss: 5.685048 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,105 | mfu: 36.2% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 5.641058 | lrm: 1.00 | dt: 310ms | tok/sec: 1,690,267 | mfu: 36.5% | epoch: 1 | remaining: 297s    
step 00021 (1.0%) | loss: 5.598513 | lrm: 1.00 | dt: 313ms | tok/sec: 1,677,020 | mfu: 36.3% | epoch: 1 | remaining: 297s    
step 00022 (1.1%) | loss: 5.560493 | lrm: 1.00 | dt: 312ms | tok/sec: 1,680,943 | mfu: 36.3% | epoch: 1 | remaining: 296s    
step 00023 (1.2%) | loss: 5.520756 | lrm: 1.00 | dt: 313ms | tok/sec: 1,673,243 | mfu: 36.2% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.482465 | lrm: 1.00 | dt: 313ms | tok/sec: 1,672,968 | mfu: 36.2% | epoch: 1 | remaining: 296s    
step 00025 (1.5%) | loss: 5.447283 | lrm: 1.00 | dt: 311ms | tok/sec: 1,684,513 | mfu: 36.4% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.413583 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,525 | mfu: 36.2% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.380517 | lrm: 1.00 | dt: 311ms | tok/sec: 1,686,781 | mfu: 36.5% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.350284 | lrm: 1.00 | dt: 310ms | tok/sec: 1,689,149 | mfu: 36.5% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.319244 | lrm: 1.00 | dt: 312ms | tok/sec: 1,681,214 | mfu: 36.3% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.286393 | lrm: 1.00 | dt: 313ms | tok/sec: 1,676,194 | mfu: 36.2% | epoch: 1 | remaining: 294s    
step 00031 (2.1%) | loss: 5.254281 | lrm: 1.00 | dt: 312ms | tok/sec: 1,681,857 | mfu: 36.4% | epoch: 1 | remaining: 293s    
step 00032 (2.2%) | loss: 5.224217 | lrm: 1.00 | dt: 309ms | tok/sec: 1,695,770 | mfu: 36.7% | epoch: 1 | remaining: 293s    
step 00033 (2.3%) | loss: 5.195831 | lrm: 1.00 | dt: 313ms | tok/sec: 1,677,474 | mfu: 36.3% | epoch: 1 | remaining: 293s    
step 00034 (2.4%) | loss: 5.162795 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,333 | mfu: 36.0% | epoch: 1 | remaining: 293s    
step 00035 (2.5%) | loss: 5.133679 | lrm: 1.00 | dt: 313ms | tok/sec: 1,677,309 | mfu: 36.3% | epoch: 1 | remaining: 292s    
step 00036 (2.6%) | loss: 5.104265 | lrm: 1.00 | dt: 312ms | tok/sec: 1,680,570 | mfu: 36.3% | epoch: 1 | remaining: 292s    
step 00037 (2.7%) | loss: 5.075283 | lrm: 1.00 | dt: 311ms | tok/sec: 1,687,089 | mfu: 36.5% | epoch: 1 | remaining: 292s    
step 00038 (2.8%) | loss: 5.046505 | lrm: 1.00 | dt: 312ms | tok/sec: 1,680,940 | mfu: 36.3% | epoch: 1 | remaining: 291s    
step 00039 (2.9%) | loss: 5.018872 | lrm: 1.00 | dt: 310ms | tok/sec: 1,689,175 | mfu: 36.5% | epoch: 1 | remaining: 291s    
step 00040 (3.0%) | loss: 4.987924 | lrm: 1.00 | dt: 310ms | tok/sec: 1,690,759 | mfu: 36.6% | epoch: 1 | remaining: 291s    
step 00041 (3.1%) | loss: 4.958527 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,826 | mfu: 36.2% | epoch: 1 | remaining: 290s    
step 00042 (3.2%) | loss: 4.931027 | lrm: 1.00 | dt: 311ms | tok/sec: 1,686,011 | mfu: 36.4% | epoch: 1 | remaining: 290s    
step 00043 (3.3%) | loss: 4.901745 | lrm: 1.00 | dt: 309ms | tok/sec: 1,694,246 | mfu: 36.6% | epoch: 1 | remaining: 290s    
step 00044 (3.4%) | loss: 4.873584 | lrm: 1.00 | dt: 312ms | tok/sec: 1,681,494 | mfu: 36.4% | epoch: 1 | remaining: 289s    
step 00045 (3.5%) | loss: 4.845887 | lrm: 1.00 | dt: 311ms | tok/sec: 1,685,368 | mfu: 36.4% | epoch: 1 | remaining: 289s    
step 00046 (3.6%) | loss: 4.816498 | lrm: 1.00 | dt: 308ms | tok/sec: 1,699,545 | mfu: 36.7% | epoch: 1 | remaining: 289s    
step 00047 (3.7%) | loss: 4.779652 | lrm: 1.00 | dt: 311ms | tok/sec: 1,686,597 | mfu: 36.5% | epoch: 1 | remaining: 288s    
step 00048 (3.8%) | loss: 4.755954 | lrm: 1.00 | dt: 312ms | tok/sec: 1,681,389 | mfu: 36.3% | epoch: 1 | remaining: 288s    
step 00049 (3.9%) | loss: 4.725821 | lrm: 1.00 | dt: 310ms | tok/sec: 1,690,876 | mfu: 36.6% | epoch: 1 | remaining: 288s    
step 00050 (4.1%) | loss: 4.695249 | lrm: 1.00 | dt: 308ms | tok/sec: 1,701,997 | mfu: 36.8% | epoch: 1 | remaining: 288s    
step 00051 (4.2%) | loss: 4.669559 | lrm: 1.00 | dt: 309ms | tok/sec: 1,694,594 | mfu: 36.6% | epoch: 1 | remaining: 287s    
step 00052 (4.3%) | loss: 4.640835 | lrm: 1.00 | dt: 313ms | tok/sec: 1,677,115 | mfu: 36.3% | epoch: 1 | remaining: 287s    
step 00053 (4.4%) | loss: 4.614568 | lrm: 1.00 | dt: 311ms | tok/sec: 1,685,952 | mfu: 36.4% | epoch: 1 | remaining: 287s    
step 00054 (4.5%) | loss: 4.586485 | lrm: 1.00 | dt: 312ms | tok/sec: 1,682,890 | mfu: 36.4% | epoch: 1 | remaining: 286s    
