Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.052618e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 26345ms | tok/sec: 19,900 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854719 | lrm: 1.00 | dt: 294ms | tok/sec: 1,782,620 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442264 | lrm: 1.00 | dt: 296ms | tok/sec: 1,774,045 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971642 | lrm: 1.00 | dt: 341ms | tok/sec: 1,537,546 | mfu: 31.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578580 | lrm: 1.00 | dt: 307ms | tok/sec: 1,707,310 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248569 | lrm: 1.00 | dt: 303ms | tok/sec: 1,730,728 | mfu: 35.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997675 | lrm: 1.00 | dt: 302ms | tok/sec: 1,737,933 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.786519 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,449 | mfu: 34.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606269 | lrm: 1.00 | dt: 300ms | tok/sec: 1,745,643 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.454103 | lrm: 1.00 | dt: 303ms | tok/sec: 1,727,663 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.323987 | lrm: 1.00 | dt: 311ms | tok/sec: 1,684,031 | mfu: 34.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.215069 | lrm: 1.00 | dt: 309ms | tok/sec: 1,698,962 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.118035 | lrm: 1.00 | dt: 302ms | tok/sec: 1,736,821 | mfu: 36.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.031469 | lrm: 1.00 | dt: 307ms | tok/sec: 1,706,802 | mfu: 35.4% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.958680 | lrm: 1.00 | dt: 308ms | tok/sec: 1,700,845 | mfu: 35.3% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.892941 | lrm: 1.00 | dt: 305ms | tok/sec: 1,718,266 | mfu: 35.6% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.835060 | lrm: 1.00 | dt: 310ms | tok/sec: 1,693,929 | mfu: 35.1% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.778921 | lrm: 1.00 | dt: 308ms | tok/sec: 1,701,896 | mfu: 35.3% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.728354 | lrm: 1.00 | dt: 306ms | tok/sec: 1,712,005 | mfu: 35.5% | epoch: 1 | remaining: 298s    
step 00019 (0.8%) | loss: 5.680390 | lrm: 1.00 | dt: 309ms | tok/sec: 1,696,300 | mfu: 35.2% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 5.635219 | lrm: 1.00 | dt: 305ms | tok/sec: 1,718,082 | mfu: 35.6% | epoch: 1 | remaining: 297s    
step 00021 (1.0%) | loss: 5.591629 | lrm: 1.00 | dt: 307ms | tok/sec: 1,706,676 | mfu: 35.4% | epoch: 1 | remaining: 297s    
step 00022 (1.1%) | loss: 5.552631 | lrm: 1.00 | dt: 303ms | tok/sec: 1,729,282 | mfu: 35.9% | epoch: 1 | remaining: 296s    
step 00023 (1.2%) | loss: 5.512027 | lrm: 1.00 | dt: 307ms | tok/sec: 1,709,996 | mfu: 35.5% | epoch: 1 | remaining: 296s    
step 00024 (1.3%) | loss: 5.472854 | lrm: 1.00 | dt: 308ms | tok/sec: 1,702,199 | mfu: 35.3% | epoch: 1 | remaining: 296s    
step 00025 (1.4%) | loss: 5.436529 | lrm: 1.00 | dt: 309ms | tok/sec: 1,696,181 | mfu: 35.2% | epoch: 1 | remaining: 295s    
step 00026 (1.5%) | loss: 5.401626 | lrm: 1.00 | dt: 308ms | tok/sec: 1,703,845 | mfu: 35.3% | epoch: 1 | remaining: 295s    
step 00027 (1.6%) | loss: 5.367416 | lrm: 1.00 | dt: 312ms | tok/sec: 1,679,079 | mfu: 34.8% | epoch: 1 | remaining: 295s    
step 00028 (1.7%) | loss: 5.336302 | lrm: 1.00 | dt: 307ms | tok/sec: 1,706,347 | mfu: 35.4% | epoch: 1 | remaining: 294s    
step 00029 (1.8%) | loss: 5.304355 | lrm: 1.00 | dt: 307ms | tok/sec: 1,707,861 | mfu: 35.4% | epoch: 1 | remaining: 294s    
step 00030 (1.9%) | loss: 5.270655 | lrm: 1.00 | dt: 307ms | tok/sec: 1,707,485 | mfu: 35.4% | epoch: 1 | remaining: 294s    
