Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  bigram_embeds           : 2,097,152
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 26,739,200
  scalars                 : 16
  total                   : 54,002,192
Estimated FLOPs per token: 2.485156e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.010978 | lrm: 1.00 | dt: 34405ms | tok/sec: 15,238 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.850665 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,396 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.412671 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,989 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.945934 | lrm: 1.00 | dt: 353ms | tok/sec: 1,484,682 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.550512 | lrm: 1.00 | dt: 340ms | tok/sec: 1,544,047 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.227957 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,259 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.978208 | lrm: 1.00 | dt: 346ms | tok/sec: 1,514,960 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.765426 | lrm: 1.00 | dt: 340ms | tok/sec: 1,542,049 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.582769 | lrm: 1.00 | dt: 330ms | tok/sec: 1,586,513 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.427685 | lrm: 1.00 | dt: 343ms | tok/sec: 1,529,827 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.294372 | lrm: 1.00 | dt: 340ms | tok/sec: 1,542,972 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.181686 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,733 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.080912 | lrm: 1.00 | dt: 344ms | tok/sec: 1,523,415 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 5.990093 | lrm: 1.00 | dt: 340ms | tok/sec: 1,541,646 | mfu: 38.7% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.912625 | lrm: 1.00 | dt: 336ms | tok/sec: 1,558,916 | mfu: 39.2% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.841140 | lrm: 1.00 | dt: 342ms | tok/sec: 1,531,308 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.778881 | lrm: 1.00 | dt: 340ms | tok/sec: 1,542,994 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.718187 | lrm: 1.00 | dt: 337ms | tok/sec: 1,555,741 | mfu: 39.1% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.663424 | lrm: 1.00 | dt: 337ms | tok/sec: 1,554,350 | mfu: 39.0% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.610748 | lrm: 1.00 | dt: 339ms | tok/sec: 1,546,589 | mfu: 38.8% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.561339 | lrm: 1.00 | dt: 335ms | tok/sec: 1,563,533 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.514614 | lrm: 1.00 | dt: 340ms | tok/sec: 1,542,413 | mfu: 38.7% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.473163 | lrm: 1.00 | dt: 338ms | tok/sec: 1,549,926 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 5.429910 | lrm: 1.00 | dt: 338ms | tok/sec: 1,549,612 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 5.388755 | lrm: 1.00 | dt: 339ms | tok/sec: 1,545,102 | mfu: 38.8% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.350162 | lrm: 1.00 | dt: 339ms | tok/sec: 1,545,459 | mfu: 38.8% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.314925 | lrm: 1.00 | dt: 340ms | tok/sec: 1,543,143 | mfu: 38.8% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.280880 | lrm: 1.00 | dt: 340ms | tok/sec: 1,542,825 | mfu: 38.7% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.249154 | lrm: 1.00 | dt: 340ms | tok/sec: 1,543,175 | mfu: 38.8% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.217196 | lrm: 1.00 | dt: 342ms | tok/sec: 1,534,204 | mfu: 38.5% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.184015 | lrm: 1.00 | dt: 339ms | tok/sec: 1,544,952 | mfu: 38.8% | epoch: 1 | remaining: 293s    
step 00031 (2.3%) | loss: 5.151676 | lrm: 1.00 | dt: 343ms | tok/sec: 1,528,123 | mfu: 38.4% | epoch: 1 | remaining: 293s    
step 00032 (2.4%) | loss: 5.123279 | lrm: 1.00 | dt: 339ms | tok/sec: 1,544,782 | mfu: 38.8% | epoch: 1 | remaining: 293s    
