Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'bigram_rank': 64}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  bigram                  : 1,048,576
  transformer_matrices    : 26,739,200
  scalars                 : 16
  total                   : 52,953,616
Estimated FLOPs per token: 2.516613e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 32174ms | tok/sec: 8,147 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854921 | lrm: 1.00 | dt: 170ms | tok/sec: 1,538,432 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.463539 | lrm: 1.00 | dt: 168ms | tok/sec: 1,556,995 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.002569 | lrm: 1.00 | dt: 172ms | tok/sec: 1,523,208 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.618977 | lrm: 1.00 | dt: 168ms | tok/sec: 1,556,451 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.289659 | lrm: 1.00 | dt: 172ms | tok/sec: 1,526,173 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.039802 | lrm: 1.00 | dt: 197ms | tok/sec: 1,333,311 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.837321 | lrm: 1.00 | dt: 232ms | tok/sec: 1,130,885 | mfu: 28.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.664737 | lrm: 1.00 | dt: 168ms | tok/sec: 1,561,262 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.518483 | lrm: 1.00 | dt: 170ms | tok/sec: 1,545,364 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.397443 | lrm: 1.00 | dt: 176ms | tok/sec: 1,488,544 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.290281 | lrm: 1.00 | dt: 170ms | tok/sec: 1,542,124 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.194344 | lrm: 1.00 | dt: 174ms | tok/sec: 1,508,420 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.113552 | lrm: 1.00 | dt: 184ms | tok/sec: 1,426,862 | mfu: 36.3% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.041845 | lrm: 1.00 | dt: 174ms | tok/sec: 1,508,014 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.976050 | lrm: 1.00 | dt: 171ms | tok/sec: 1,528,887 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.917897 | lrm: 1.00 | dt: 171ms | tok/sec: 1,535,446 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.862031 | lrm: 1.00 | dt: 171ms | tok/sec: 1,532,089 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.813052 | lrm: 1.00 | dt: 180ms | tok/sec: 1,454,965 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.766954 | lrm: 1.00 | dt: 178ms | tok/sec: 1,474,204 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.723512 | lrm: 1.00 | dt: 174ms | tok/sec: 1,507,208 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.684214 | lrm: 1.00 | dt: 171ms | tok/sec: 1,534,396 | mfu: 39.0% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.650191 | lrm: 1.00 | dt: 170ms | tok/sec: 1,544,900 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.616874 | lrm: 1.00 | dt: 174ms | tok/sec: 1,507,212 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.585843 | lrm: 1.00 | dt: 175ms | tok/sec: 1,495,199 | mfu: 38.0% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.554391 | lrm: 1.00 | dt: 175ms | tok/sec: 1,494,931 | mfu: 38.0% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.523982 | lrm: 1.00 | dt: 175ms | tok/sec: 1,498,507 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.494514 | lrm: 1.00 | dt: 171ms | tok/sec: 1,529,731 | mfu: 38.9% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.468621 | lrm: 1.00 | dt: 173ms | tok/sec: 1,519,594 | mfu: 38.6% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.442389 | lrm: 1.00 | dt: 175ms | tok/sec: 1,496,946 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.413089 | lrm: 1.00 | dt: 174ms | tok/sec: 1,509,822 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00031 (1.2%) | loss: 5.387572 | lrm: 1.00 | dt: 176ms | tok/sec: 1,490,012 | mfu: 37.9% | epoch: 1 | remaining: 296s    
step 00032 (1.2%) | loss: 5.363191 | lrm: 1.00 | dt: 175ms | tok/sec: 1,501,985 | mfu: 38.2% | epoch: 1 | remaining: 296s    
