Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 20530ms | tok/sec: 25,538 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854721 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,354 | mfu: 46.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442468 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,293 | mfu: 45.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971922 | lrm: 1.00 | dt: 337ms | tok/sec: 1,557,680 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578904 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,328 | mfu: 45.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248969 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,323 | mfu: 45.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998214 | lrm: 1.00 | dt: 333ms | tok/sec: 1,573,888 | mfu: 44.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787234 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,035 | mfu: 44.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607174 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,152 | mfu: 46.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455384 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,727 | mfu: 44.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325668 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,682 | mfu: 44.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217468 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,772 | mfu: 45.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.121218 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,680 | mfu: 44.7% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.035494 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,131 | mfu: 44.4% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.963507 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,858 | mfu: 45.4% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.899164 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,954 | mfu: 44.7% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.843305 | lrm: 1.00 | dt: 334ms | tok/sec: 1,570,931 | mfu: 43.9% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.789063 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,922 | mfu: 45.3% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.740331 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,803 | mfu: 44.6% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.695058 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,162 | mfu: 44.4% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.653157 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,950 | mfu: 45.0% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.613185 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,184 | mfu: 44.6% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.577825 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,078 | mfu: 44.5% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.541003 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,028 | mfu: 45.0% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.505940 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,704 | mfu: 44.8% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.474113 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,628 | mfu: 44.3% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.443757 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,939 | mfu: 45.2% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.414104 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,360 | mfu: 45.0% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.386843 | lrm: 1.00 | dt: 333ms | tok/sec: 1,575,616 | mfu: 44.1% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.358454 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,824 | mfu: 44.7% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.328094 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,424 | mfu: 44.7% | epoch: 1 | remaining: 293s    
