Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLSLSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.269379e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 27921ms | tok/sec: 9,388 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867339 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,198 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485992 | lrm: 1.00 | dt: 153ms | tok/sec: 1,717,072 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033872 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,485 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654817 | lrm: 1.00 | dt: 153ms | tok/sec: 1,713,627 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322411 | lrm: 1.00 | dt: 153ms | tok/sec: 1,713,350 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069493 | lrm: 1.00 | dt: 202ms | tok/sec: 1,295,663 | mfu: 29.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864482 | lrm: 1.00 | dt: 184ms | tok/sec: 1,424,754 | mfu: 32.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690062 | lrm: 1.00 | dt: 169ms | tok/sec: 1,549,845 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541804 | lrm: 1.00 | dt: 188ms | tok/sec: 1,396,598 | mfu: 32.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418538 | lrm: 1.00 | dt: 172ms | tok/sec: 1,526,255 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309473 | lrm: 1.00 | dt: 153ms | tok/sec: 1,710,314 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211704 | lrm: 1.00 | dt: 158ms | tok/sec: 1,661,438 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.129339 | lrm: 1.00 | dt: 155ms | tok/sec: 1,695,244 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.056222 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,529 | mfu: 37.8% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988792 | lrm: 1.00 | dt: 163ms | tok/sec: 1,606,477 | mfu: 36.8% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.929167 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,476 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871731 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,731 | mfu: 37.8% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.821066 | lrm: 1.00 | dt: 157ms | tok/sec: 1,674,573 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.773324 | lrm: 1.00 | dt: 165ms | tok/sec: 1,589,015 | mfu: 36.4% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.728504 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,212 | mfu: 38.6% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.687806 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,995 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.652070 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,842 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.617227 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,886 | mfu: 37.3% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.584642 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,597 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.551430 | lrm: 1.00 | dt: 156ms | tok/sec: 1,676,762 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.519175 | lrm: 1.00 | dt: 170ms | tok/sec: 1,544,739 | mfu: 35.4% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.487676 | lrm: 1.00 | dt: 165ms | tok/sec: 1,593,044 | mfu: 36.5% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.459908 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,884 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.431959 | lrm: 1.00 | dt: 166ms | tok/sec: 1,579,122 | mfu: 36.2% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.400817 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,447 | mfu: 38.9% | epoch: 1 | remaining: 297s    
