Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  readout_gate            : 16,384
  scalars                 : 528
  total                   : 50,349,072
Estimated FLOPs per token: 2.391767e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011219 | lrm: 1.00 | dt: 31833ms | tok/sec: 16,469 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.856343 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,366 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.444082 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,307 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.973830 | lrm: 1.00 | dt: 390ms | tok/sec: 1,342,937 | mfu: 32.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.580084 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,948 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.249695 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,232 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998824 | lrm: 1.00 | dt: 340ms | tok/sec: 1,543,741 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787799 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,280 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607619 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,368 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455650 | lrm: 1.00 | dt: 337ms | tok/sec: 1,556,309 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325785 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,189 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217350 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,635 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120878 | lrm: 1.00 | dt: 333ms | tok/sec: 1,572,436 | mfu: 38.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034897 | lrm: 1.00 | dt: 332ms | tok/sec: 1,581,553 | mfu: 38.2% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962567 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,283 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.897900 | lrm: 1.00 | dt: 334ms | tok/sec: 1,569,956 | mfu: 37.9% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.841779 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,858 | mfu: 38.6% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.787170 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,262 | mfu: 38.9% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.738063 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,521 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.692388 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,608 | mfu: 38.6% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.649912 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,072 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.609205 | lrm: 1.00 | dt: 333ms | tok/sec: 1,576,648 | mfu: 38.1% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.573176 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,476 | mfu: 38.7% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.535526 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,979 | mfu: 38.7% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.499491 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,946 | mfu: 38.3% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.466466 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,147 | mfu: 38.4% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.435135 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,767 | mfu: 38.5% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.404579 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,628 | mfu: 38.7% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.376295 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,974 | mfu: 38.6% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.347250 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,867 | mfu: 38.5% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.316309 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,878 | mfu: 38.3% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.286010 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,899 | mfu: 38.3% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.257297 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,984 | mfu: 38.4% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.230263 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,697 | mfu: 38.4% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.197917 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,775 | mfu: 38.4% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.170017 | lrm: 1.00 | dt: 330ms | tok/sec: 1,586,979 | mfu: 38.4% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.142652 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,657 | mfu: 38.8% | epoch: 1 | remaining: 291s    
step 00037 (2.9%) | loss: 5.115932 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,033 | mfu: 38.5% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.087707 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,326 | mfu: 38.4% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 5.059471 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,997 | mfu: 38.3% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 5.029260 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,769 | mfu: 38.6% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 5.002416 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,899 | mfu: 38.2% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 4.977772 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,297 | mfu: 38.5% | epoch: 1 | remaining: 289s    
step 00043 (3.5%) | loss: 4.951285 | lrm: 1.00 | dt: 332ms | tok/sec: 1,580,992 | mfu: 38.2% | epoch: 1 | remaining: 289s    
step 00044 (3.6%) | loss: 4.923222 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,524 | mfu: 38.3% | epoch: 1 | remaining: 289s    
step 00045 (3.7%) | loss: 4.895444 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,637 | mfu: 38.4% | epoch: 1 | remaining: 288s    
step 00046 (3.8%) | loss: 4.867187 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,158 | mfu: 38.6% | epoch: 1 | remaining: 288s    
step 00047 (4.0%) | loss: 4.831380 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,591 | mfu: 38.5% | epoch: 1 | remaining: 288s    
step 00048 (4.1%) | loss: 4.807401 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,920 | mfu: 38.3% | epoch: 1 | remaining: 287s    
step 00049 (4.2%) | loss: 4.777561 | lrm: 1.00 | dt: 330ms | tok/sec: 1,586,857 | mfu: 38.4% | epoch: 1 | remaining: 287s    
step 00050 (4.3%) | loss: 4.747340 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,097 | mfu: 38.3% | epoch: 1 | remaining: 287s    
step 00051 (4.4%) | loss: 4.720420 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,742 | mfu: 38.5% | epoch: 1 | remaining: 286s    
step 00052 (4.5%) | loss: 4.692213 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,137 | mfu: 38.4% | epoch: 1 | remaining: 286s    
step 00053 (4.6%) | loss: 4.665820 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,304 | mfu: 38.4% | epoch: 1 | remaining: 286s    
step 00054 (4.7%) | loss: 4.638084 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,534 | mfu: 38.6% | epoch: 1 | remaining: 285s    
step 00055 (4.8%) | loss: 4.611201 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,740 | mfu: 38.6% | epoch: 1 | remaining: 285s    
step 00056 (4.9%) | loss: 4.587979 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,306 | mfu: 38.2% | epoch: 1 | remaining: 285s    
step 00057 (5.1%) | loss: 4.563120 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,750 | mfu: 38.5% | epoch: 1 | remaining: 285s    
step 00058 (5.2%) | loss: 4.533839 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,443 | mfu: 38.6% | epoch: 1 | remaining: 284s    
step 00059 (5.3%) | loss: 4.511542 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,297 | mfu: 38.4% | epoch: 1 | remaining: 284s    
step 00060 (5.4%) | loss: 4.489034 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,897 | mfu: 38.6% | epoch: 1 | remaining: 284s    
step 00061 (5.5%) | loss: 4.463332 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,136 | mfu: 38.3% | epoch: 1 | remaining: 283s    
step 00062 (5.6%) | loss: 4.441522 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,320 | mfu: 38.2% | epoch: 1 | remaining: 283s    
step 00063 (5.7%) | loss: 4.416256 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,196 | mfu: 38.2% | epoch: 1 | remaining: 283s    
step 00064 (5.8%) | loss: 4.390621 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,436 | mfu: 38.6% | epoch: 1 | remaining: 282s    
step 00065 (5.9%) | loss: 4.361070 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,430 | mfu: 38.3% | epoch: 1 | remaining: 282s    
step 00066 (6.0%) | loss: 4.337512 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,253 | mfu: 38.4% | epoch: 1 | remaining: 282s    
step 00067 (6.2%) | loss: 4.315005 | lrm: 1.00 | dt: 333ms | tok/sec: 1,576,693 | mfu: 38.1% | epoch: 1 | remaining: 281s    
step 00068 (6.3%) | loss: 4.295220 | lrm: 1.00 | dt: 334ms | tok/sec: 1,571,516 | mfu: 38.0% | epoch: 1 | remaining: 281s    
step 00069 (6.4%) | loss: 4.274195 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,945 | mfu: 38.3% | epoch: 1 | remaining: 281s    
step 00070 (6.5%) | loss: 4.253679 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,506 | mfu: 38.4% | epoch: 1 | remaining: 280s    
step 00071 (6.6%) | loss: 4.237661 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,849 | mfu: 38.4% | epoch: 1 | remaining: 280s    
step 00072 (6.7%) | loss: 4.213659 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,226 | mfu: 38.3% | epoch: 1 | remaining: 280s    
step 00073 (6.8%) | loss: 4.186574 | lrm: 1.00 | dt: 331ms | tok/sec: 1,581,684 | mfu: 38.2% | epoch: 1 | remaining: 279s    
step 00074 (6.9%) | loss: 4.162325 | lrm: 1.00 | dt: 332ms | tok/sec: 1,580,234 | mfu: 38.2% | epoch: 1 | remaining: 279s    
step 00075 (7.0%) | loss: 4.144924 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,801 | mfu: 38.2% | epoch: 1 | remaining: 279s    
step 00076 (7.1%) | loss: 4.127245 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,233 | mfu: 38.4% | epoch: 1 | remaining: 278s    
