Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  bigram_embed            : 4,194,304
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 528
  total                   : 54,526,992
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011219 | lrm: 1.00 | dt: 28421ms | tok/sec: 18,447 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.856339 | lrm: 1.00 | dt: 316ms | tok/sec: 1,657,974 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.444063 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,434 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.973899 | lrm: 1.00 | dt: 369ms | tok/sec: 1,422,085 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.580171 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,633 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.249697 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,095 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998784 | lrm: 1.00 | dt: 336ms | tok/sec: 1,560,660 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787535 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,489 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607361 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,259 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455444 | lrm: 1.00 | dt: 334ms | tok/sec: 1,570,765 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325629 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,134 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217228 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,854 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120760 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,921 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034634 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,729 | mfu: 38.5% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.961653 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,156 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.895748 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,157 | mfu: 38.7% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.840417 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,181 | mfu: 38.6% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.786793 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,187 | mfu: 38.7% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.738291 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,148 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.691910 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,955 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.649232 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,487 | mfu: 39.0% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.608720 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,435 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.572631 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,172 | mfu: 38.3% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.534557 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,741 | mfu: 38.8% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.498210 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,934 | mfu: 38.5% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.464805 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,440 | mfu: 38.3% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.433465 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,543 | mfu: 38.8% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.402770 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,516 | mfu: 39.0% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.374327 | lrm: 1.00 | dt: 331ms | tok/sec: 1,581,923 | mfu: 38.2% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.345806 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,340 | mfu: 38.8% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.316824 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,066 | mfu: 38.6% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.286746 | lrm: 1.00 | dt: 332ms | tok/sec: 1,580,119 | mfu: 38.2% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.258351 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,319 | mfu: 38.3% | epoch: 1 | remaining: 293s    
