Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 1,040
  total                   : 50,333,200
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011280 | lrm: 1.00 | dt: 26950ms | tok/sec: 9,727 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.868358 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,514 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.487298 | lrm: 1.00 | dt: 162ms | tok/sec: 1,619,400 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.036253 | lrm: 1.00 | dt: 162ms | tok/sec: 1,616,940 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655620 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,528 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.323039 | lrm: 1.00 | dt: 162ms | tok/sec: 1,616,655 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069992 | lrm: 1.00 | dt: 183ms | tok/sec: 1,433,228 | mfu: 34.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.865237 | lrm: 1.00 | dt: 195ms | tok/sec: 1,347,435 | mfu: 32.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690918 | lrm: 1.00 | dt: 162ms | tok/sec: 1,614,732 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542676 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,754 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419493 | lrm: 1.00 | dt: 162ms | tok/sec: 1,619,317 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310425 | lrm: 1.00 | dt: 163ms | tok/sec: 1,613,152 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212763 | lrm: 1.00 | dt: 172ms | tok/sec: 1,520,725 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130585 | lrm: 1.00 | dt: 173ms | tok/sec: 1,513,661 | mfu: 36.6% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.057669 | lrm: 1.00 | dt: 168ms | tok/sec: 1,558,503 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.990626 | lrm: 1.00 | dt: 164ms | tok/sec: 1,597,902 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931446 | lrm: 1.00 | dt: 164ms | tok/sec: 1,600,586 | mfu: 38.7% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.874285 | lrm: 1.00 | dt: 166ms | tok/sec: 1,575,558 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.823931 | lrm: 1.00 | dt: 169ms | tok/sec: 1,547,100 | mfu: 37.4% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.776507 | lrm: 1.00 | dt: 172ms | tok/sec: 1,524,609 | mfu: 36.8% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.731889 | lrm: 1.00 | dt: 167ms | tok/sec: 1,568,042 | mfu: 37.9% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.691445 | lrm: 1.00 | dt: 162ms | tok/sec: 1,615,726 | mfu: 39.0% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.656145 | lrm: 1.00 | dt: 165ms | tok/sec: 1,593,326 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.621870 | lrm: 1.00 | dt: 165ms | tok/sec: 1,586,319 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.589990 | lrm: 1.00 | dt: 172ms | tok/sec: 1,527,273 | mfu: 36.9% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.557764 | lrm: 1.00 | dt: 171ms | tok/sec: 1,529,423 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00026 (0.8%) | loss: 5.526361 | lrm: 1.00 | dt: 166ms | tok/sec: 1,577,842 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.495608 | lrm: 1.00 | dt: 166ms | tok/sec: 1,578,177 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.468664 | lrm: 1.00 | dt: 165ms | tok/sec: 1,589,700 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.441597 | lrm: 1.00 | dt: 166ms | tok/sec: 1,580,830 | mfu: 38.2% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.411323 | lrm: 1.00 | dt: 170ms | tok/sec: 1,543,377 | mfu: 37.3% | epoch: 1 | remaining: 297s    
