Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SLSSSSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.063432e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 27387ms | tok/sec: 9,571 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867425 | lrm: 1.00 | dt: 150ms | tok/sec: 1,753,274 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485955 | lrm: 1.00 | dt: 148ms | tok/sec: 1,769,037 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033686 | lrm: 1.00 | dt: 151ms | tok/sec: 1,737,981 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654190 | lrm: 1.00 | dt: 149ms | tok/sec: 1,758,439 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.321559 | lrm: 1.00 | dt: 148ms | tok/sec: 1,768,161 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.068505 | lrm: 1.00 | dt: 186ms | tok/sec: 1,407,412 | mfu: 29.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.863011 | lrm: 1.00 | dt: 185ms | tok/sec: 1,417,347 | mfu: 29.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.688396 | lrm: 1.00 | dt: 154ms | tok/sec: 1,702,705 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.539829 | lrm: 1.00 | dt: 171ms | tok/sec: 1,529,523 | mfu: 31.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.416079 | lrm: 1.00 | dt: 164ms | tok/sec: 1,596,354 | mfu: 33.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.306370 | lrm: 1.00 | dt: 149ms | tok/sec: 1,757,846 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.207757 | lrm: 1.00 | dt: 149ms | tok/sec: 1,754,709 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.124328 | lrm: 1.00 | dt: 161ms | tok/sec: 1,632,851 | mfu: 34.1% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.050131 | lrm: 1.00 | dt: 156ms | tok/sec: 1,683,524 | mfu: 35.1% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.981471 | lrm: 1.00 | dt: 162ms | tok/sec: 1,621,751 | mfu: 33.8% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.920192 | lrm: 1.00 | dt: 149ms | tok/sec: 1,762,749 | mfu: 36.8% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.860656 | lrm: 1.00 | dt: 153ms | tok/sec: 1,713,216 | mfu: 35.7% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.807441 | lrm: 1.00 | dt: 150ms | tok/sec: 1,748,998 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.756694 | lrm: 1.00 | dt: 154ms | tok/sec: 1,702,778 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.708839 | lrm: 1.00 | dt: 155ms | tok/sec: 1,689,002 | mfu: 35.2% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.664546 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,507 | mfu: 35.0% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.625141 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,522 | mfu: 35.7% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.586674 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,317 | mfu: 35.0% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.550242 | lrm: 1.00 | dt: 150ms | tok/sec: 1,745,985 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.512955 | lrm: 1.00 | dt: 150ms | tok/sec: 1,748,826 | mfu: 36.5% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.476298 | lrm: 1.00 | dt: 162ms | tok/sec: 1,616,657 | mfu: 33.7% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.440409 | lrm: 1.00 | dt: 152ms | tok/sec: 1,721,386 | mfu: 35.9% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.408451 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,393 | mfu: 34.8% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.377115 | lrm: 1.00 | dt: 153ms | tok/sec: 1,710,170 | mfu: 35.7% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.342261 | lrm: 1.00 | dt: 151ms | tok/sec: 1,737,405 | mfu: 36.2% | epoch: 1 | remaining: 297s    
