Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSLSSSLS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.063432e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 23446ms | tok/sec: 11,180 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867401 | lrm: 1.00 | dt: 151ms | tok/sec: 1,740,242 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485771 | lrm: 1.00 | dt: 149ms | tok/sec: 1,758,380 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033456 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,523 | mfu: 34.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654081 | lrm: 1.00 | dt: 149ms | tok/sec: 1,764,798 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.321440 | lrm: 1.00 | dt: 150ms | tok/sec: 1,745,134 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.068375 | lrm: 1.00 | dt: 206ms | tok/sec: 1,275,155 | mfu: 26.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.862819 | lrm: 1.00 | dt: 197ms | tok/sec: 1,331,497 | mfu: 27.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.688109 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,142 | mfu: 34.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.539396 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,437 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.415429 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,033 | mfu: 35.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.305380 | lrm: 1.00 | dt: 150ms | tok/sec: 1,749,366 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.206263 | lrm: 1.00 | dt: 150ms | tok/sec: 1,752,385 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.122188 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,519 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.047372 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,573 | mfu: 34.6% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.978014 | lrm: 1.00 | dt: 163ms | tok/sec: 1,604,842 | mfu: 33.5% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.915591 | lrm: 1.00 | dt: 152ms | tok/sec: 1,727,064 | mfu: 36.0% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.854828 | lrm: 1.00 | dt: 150ms | tok/sec: 1,749,761 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.800222 | lrm: 1.00 | dt: 150ms | tok/sec: 1,747,542 | mfu: 36.4% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.747840 | lrm: 1.00 | dt: 152ms | tok/sec: 1,728,775 | mfu: 36.1% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.698345 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,655 | mfu: 34.8% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.651811 | lrm: 1.00 | dt: 154ms | tok/sec: 1,697,246 | mfu: 35.4% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.610135 | lrm: 1.00 | dt: 157ms | tok/sec: 1,674,999 | mfu: 34.9% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.569679 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,810 | mfu: 35.0% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.531375 | lrm: 1.00 | dt: 149ms | tok/sec: 1,755,289 | mfu: 36.6% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.491613 | lrm: 1.00 | dt: 152ms | tok/sec: 1,728,153 | mfu: 36.0% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.452670 | lrm: 1.00 | dt: 153ms | tok/sec: 1,715,943 | mfu: 35.8% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.414658 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,872 | mfu: 35.6% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.380955 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,267 | mfu: 35.1% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.347934 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,322 | mfu: 35.5% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.311209 | lrm: 1.00 | dt: 152ms | tok/sec: 1,722,352 | mfu: 35.9% | epoch: 1 | remaining: 297s    
