Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.202040e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 32294ms | tok/sec: 16,234 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854665 | lrm: 1.00 | dt: 303ms | tok/sec: 1,729,527 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442099 | lrm: 1.00 | dt: 305ms | tok/sec: 1,716,770 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971443 | lrm: 1.00 | dt: 375ms | tok/sec: 1,399,020 | mfu: 31.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578868 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,145 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248876 | lrm: 1.00 | dt: 306ms | tok/sec: 1,715,741 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998190 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,061 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787210 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,094 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607075 | lrm: 1.00 | dt: 311ms | tok/sec: 1,685,965 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455079 | lrm: 1.00 | dt: 312ms | tok/sec: 1,679,865 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325125 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,482 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.216490 | lrm: 1.00 | dt: 310ms | tok/sec: 1,692,100 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.119699 | lrm: 1.00 | dt: 312ms | tok/sec: 1,677,835 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.033144 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,565 | mfu: 36.2% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.959947 | lrm: 1.00 | dt: 316ms | tok/sec: 1,659,631 | mfu: 36.9% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.894667 | lrm: 1.00 | dt: 312ms | tok/sec: 1,682,785 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.838418 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,844 | mfu: 36.7% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.783369 | lrm: 1.00 | dt: 317ms | tok/sec: 1,652,300 | mfu: 36.8% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.733553 | lrm: 1.00 | dt: 311ms | tok/sec: 1,683,326 | mfu: 37.5% | epoch: 1 | remaining: 297s    
step 00019 (0.8%) | loss: 5.687214 | lrm: 1.00 | dt: 314ms | tok/sec: 1,669,502 | mfu: 37.2% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 5.643991 | lrm: 1.00 | dt: 315ms | tok/sec: 1,662,226 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00021 (1.0%) | loss: 5.602153 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,139 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00022 (1.2%) | loss: 5.564764 | lrm: 1.00 | dt: 313ms | tok/sec: 1,672,875 | mfu: 37.2% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.525691 | lrm: 1.00 | dt: 317ms | tok/sec: 1,656,114 | mfu: 36.9% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.488007 | lrm: 1.00 | dt: 315ms | tok/sec: 1,664,576 | mfu: 37.0% | epoch: 1 | remaining: 296s    
step 00025 (1.5%) | loss: 5.453278 | lrm: 1.00 | dt: 316ms | tok/sec: 1,658,216 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.419879 | lrm: 1.00 | dt: 316ms | tok/sec: 1,658,402 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.386992 | lrm: 1.00 | dt: 316ms | tok/sec: 1,656,879 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.356832 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,164 | mfu: 37.1% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.326019 | lrm: 1.00 | dt: 314ms | tok/sec: 1,669,300 | mfu: 37.1% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.293231 | lrm: 1.00 | dt: 314ms | tok/sec: 1,667,587 | mfu: 37.1% | epoch: 1 | remaining: 294s    
step 00031 (2.1%) | loss: 5.260907 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,230 | mfu: 36.7% | epoch: 1 | remaining: 293s    
step 00032 (2.2%) | loss: 5.230986 | lrm: 1.00 | dt: 318ms | tok/sec: 1,651,223 | mfu: 36.7% | epoch: 1 | remaining: 293s    
step 00033 (2.3%) | loss: 5.203260 | lrm: 1.00 | dt: 311ms | tok/sec: 1,685,137 | mfu: 37.5% | epoch: 1 | remaining: 293s    
step 00034 (2.4%) | loss: 5.170271 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,860 | mfu: 37.0% | epoch: 1 | remaining: 292s    
