Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  future_head             : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 54,526,480
Estimated FLOPs per token: 2.264955e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 10.813417 | lrm: 1.00 | dt: 37688ms | tok/sec: 13,911 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.644810 | lrm: 1.00 | dt: 310ms | tok/sec: 1,692,409 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 10.177845 | lrm: 1.00 | dt: 316ms | tok/sec: 1,657,749 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.655641 | lrm: 1.00 | dt: 345ms | tok/sec: 1,521,348 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.216621 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,136 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.851869 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,453 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.574878 | lrm: 1.00 | dt: 332ms | tok/sec: 1,581,216 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.341614 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,099 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.141526 | lrm: 1.00 | dt: 318ms | tok/sec: 1,650,477 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.971689 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,517 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.827035 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,004 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.706043 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,041 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.598635 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,759 | mfu: 36.9% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 7.503725 | lrm: 1.00 | dt: 331ms | tok/sec: 1,581,720 | mfu: 36.2% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 7.422723 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,275 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 7.347273 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,574 | mfu: 36.9% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 7.282623 | lrm: 1.00 | dt: 333ms | tok/sec: 1,576,283 | mfu: 36.1% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 7.219847 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,699 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 7.163238 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,090 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 7.108150 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,766 | mfu: 36.1% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 7.057349 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,749 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 7.009194 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,221 | mfu: 37.4% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 6.966553 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,105 | mfu: 36.5% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 6.921216 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,162 | mfu: 36.8% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 6.877711 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,114 | mfu: 36.8% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 6.836779 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,470 | mfu: 36.5% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 6.798230 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,329 | mfu: 36.8% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 6.760072 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,885 | mfu: 37.1% | epoch: 1 | remaining: 294s    
step 00028 (1.8%) | loss: 6.726258 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,869 | mfu: 36.8% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 6.691658 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,065 | mfu: 36.5% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 6.655360 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,833 | mfu: 37.0% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 6.620272 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,784 | mfu: 36.6% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 6.587713 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,266 | mfu: 36.8% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 6.557025 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,506 | mfu: 37.1% | epoch: 1 | remaining: 293s    
step 00034 (2.5%) | loss: 6.519448 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,703 | mfu: 36.9% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 6.486389 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,963 | mfu: 36.4% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 6.454258 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,208 | mfu: 37.1% | epoch: 1 | remaining: 292s    
step 00037 (2.8%) | loss: 6.421836 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,696 | mfu: 37.2% | epoch: 1 | remaining: 291s    
step 00038 (2.9%) | loss: 6.388716 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,489 | mfu: 36.3% | epoch: 1 | remaining: 291s    
step 00039 (3.0%) | loss: 6.357045 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,482 | mfu: 36.9% | epoch: 1 | remaining: 291s    
step 00040 (3.1%) | loss: 6.324570 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,679 | mfu: 37.0% | epoch: 1 | remaining: 290s    
