Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 2, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 8,388,608
  lm_head                 : 4,194,304
  transformer_matrices    : 23,068,928
  scalars                 : 16
  total                   : 39,846,160
Estimated FLOPs per token: 2.264940e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011336 | lrm: 1.00 | dt: 224382ms | tok/sec: 876 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.874871 | lrm: 1.00 | dt: 121ms | tok/sec: 1,625,406 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.508314 | lrm: 1.00 | dt: 117ms | tok/sec: 1,682,857 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.060611 | lrm: 1.00 | dt: 117ms | tok/sec: 1,683,623 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.694114 | lrm: 1.00 | dt: 111ms | tok/sec: 1,766,787 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.370689 | lrm: 1.00 | dt: 112ms | tok/sec: 1,756,430 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.118241 | lrm: 1.00 | dt: 128ms | tok/sec: 1,536,990 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.905846 | lrm: 1.00 | dt: 130ms | tok/sec: 1,514,712 | mfu: 34.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.730933 | lrm: 1.00 | dt: 114ms | tok/sec: 1,722,526 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.579947 | lrm: 1.00 | dt: 141ms | tok/sec: 1,390,306 | mfu: 31.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.457971 | lrm: 1.00 | dt: 126ms | tok/sec: 1,558,420 | mfu: 35.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.348636 | lrm: 1.00 | dt: 111ms | tok/sec: 1,769,064 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.255393 | lrm: 1.00 | dt: 140ms | tok/sec: 1,401,563 | mfu: 32.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.172767 | lrm: 1.00 | dt: 116ms | tok/sec: 1,689,445 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.102506 | lrm: 1.00 | dt: 125ms | tok/sec: 1,571,347 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00015 (0.2%) | loss: 6.035282 | lrm: 1.00 | dt: 112ms | tok/sec: 1,753,193 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 5.974857 | lrm: 1.00 | dt: 113ms | tok/sec: 1,744,710 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00017 (0.2%) | loss: 5.918044 | lrm: 1.00 | dt: 135ms | tok/sec: 1,461,631 | mfu: 33.5% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 5.872924 | lrm: 1.00 | dt: 120ms | tok/sec: 1,632,634 | mfu: 37.4% | epoch: 1 | remaining: 299s    
step 00019 (0.3%) | loss: 5.827904 | lrm: 1.00 | dt: 124ms | tok/sec: 1,583,188 | mfu: 36.2% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.785455 | lrm: 1.00 | dt: 112ms | tok/sec: 1,752,962 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00021 (0.4%) | loss: 5.745853 | lrm: 1.00 | dt: 124ms | tok/sec: 1,587,507 | mfu: 36.3% | epoch: 1 | remaining: 299s    
step 00022 (0.4%) | loss: 5.712567 | lrm: 1.00 | dt: 127ms | tok/sec: 1,552,573 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00023 (0.5%) | loss: 5.675025 | lrm: 1.00 | dt: 134ms | tok/sec: 1,464,479 | mfu: 33.5% | epoch: 1 | remaining: 298s    
step 00024 (0.5%) | loss: 5.643749 | lrm: 1.00 | dt: 114ms | tok/sec: 1,728,491 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00025 (0.6%) | loss: 5.610392 | lrm: 1.00 | dt: 125ms | tok/sec: 1,573,440 | mfu: 36.0% | epoch: 1 | remaining: 298s    
step 00026 (0.6%) | loss: 5.579704 | lrm: 1.00 | dt: 129ms | tok/sec: 1,526,443 | mfu: 34.9% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 5.550319 | lrm: 1.00 | dt: 112ms | tok/sec: 1,759,808 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00028 (0.7%) | loss: 5.523447 | lrm: 1.00 | dt: 121ms | tok/sec: 1,625,964 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00029 (0.7%) | loss: 5.495369 | lrm: 1.00 | dt: 142ms | tok/sec: 1,384,433 | mfu: 31.7% | epoch: 1 | remaining: 298s    
step 00030 (0.8%) | loss: 5.472257 | lrm: 1.00 | dt: 132ms | tok/sec: 1,488,298 | mfu: 34.1% | epoch: 1 | remaining: 298s    
step 00031 (0.8%) | loss: 5.445909 | lrm: 1.00 | dt: 144ms | tok/sec: 1,367,055 | mfu: 31.3% | epoch: 1 | remaining: 297s    
step 00032 (0.9%) | loss: 5.420840 | lrm: 1.00 | dt: 140ms | tok/sec: 1,403,968 | mfu: 32.1% | epoch: 1 | remaining: 297s    
step 00033 (0.9%) | loss: 5.399069 | lrm: 1.00 | dt: 149ms | tok/sec: 1,321,390 | mfu: 30.2% | epoch: 1 | remaining: 297s    
step 00034 (1.0%) | loss: 5.373511 | lrm: 1.00 | dt: 117ms | tok/sec: 1,681,176 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00035 (1.0%) | loss: 5.348611 | lrm: 1.00 | dt: 150ms | tok/sec: 1,310,910 | mfu: 30.0% | epoch: 1 | remaining: 297s    
step 00036 (1.1%) | loss: 5.324424 | lrm: 1.00 | dt: 112ms | tok/sec: 1,754,607 | mfu: 40.2% | epoch: 1 | remaining: 297s    
step 00037 (1.1%) | loss: 5.300797 | lrm: 1.00 | dt: 162ms | tok/sec: 1,210,901 | mfu: 27.7% | epoch: 1 | remaining: 297s    
step 00038 (1.1%) | loss: 5.281877 | lrm: 1.00 | dt: 121ms | tok/sec: 1,627,771 | mfu: 37.3% | epoch: 1 | remaining: 296s    
step 00039 (1.2%) | loss: 5.258570 | lrm: 1.00 | dt: 116ms | tok/sec: 1,697,758 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00040 (1.2%) | loss: 5.233747 | lrm: 1.00 | dt: 133ms | tok/sec: 1,474,166 | mfu: 33.7% | epoch: 1 | remaining: 296s    
step 00041 (1.3%) | loss: 5.210010 | lrm: 1.00 | dt: 124ms | tok/sec: 1,590,044 | mfu: 36.4% | epoch: 1 | remaining: 296s    
step 00042 (1.3%) | loss: 5.189854 | lrm: 1.00 | dt: 127ms | tok/sec: 1,548,651 | mfu: 35.4% | epoch: 1 | remaining: 296s    
step 00043 (1.4%) | loss: 5.167378 | lrm: 1.00 | dt: 112ms | tok/sec: 1,762,418 | mfu: 40.3% | epoch: 1 | remaining: 296s    
