Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.296412e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 18959ms | tok/sec: 27,653 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854698 | lrm: 1.00 | dt: 302ms | tok/sec: 1,733,682 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442259 | lrm: 1.00 | dt: 304ms | tok/sec: 1,725,151 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971654 | lrm: 1.00 | dt: 316ms | tok/sec: 1,661,555 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578627 | lrm: 1.00 | dt: 317ms | tok/sec: 1,654,877 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248680 | lrm: 1.00 | dt: 308ms | tok/sec: 1,702,048 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997865 | lrm: 1.00 | dt: 313ms | tok/sec: 1,675,415 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.786794 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,598 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606667 | lrm: 1.00 | dt: 307ms | tok/sec: 1,706,963 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.454699 | lrm: 1.00 | dt: 311ms | tok/sec: 1,683,654 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.324786 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,915 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.216224 | lrm: 1.00 | dt: 311ms | tok/sec: 1,688,058 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.119547 | lrm: 1.00 | dt: 311ms | tok/sec: 1,684,653 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.033271 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,579 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.960719 | lrm: 1.00 | dt: 313ms | tok/sec: 1,675,276 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.895760 | lrm: 1.00 | dt: 310ms | tok/sec: 1,692,057 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.839047 | lrm: 1.00 | dt: 314ms | tok/sec: 1,667,484 | mfu: 38.7% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.783927 | lrm: 1.00 | dt: 314ms | tok/sec: 1,671,903 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.734263 | lrm: 1.00 | dt: 309ms | tok/sec: 1,694,355 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00019 (0.8%) | loss: 5.687650 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,301 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 5.644125 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,508 | mfu: 38.3% | epoch: 1 | remaining: 297s    
step 00021 (1.0%) | loss: 5.602217 | lrm: 1.00 | dt: 313ms | tok/sec: 1,673,405 | mfu: 38.8% | epoch: 1 | remaining: 297s    
step 00022 (1.1%) | loss: 5.564869 | lrm: 1.00 | dt: 313ms | tok/sec: 1,677,162 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.525810 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,109 | mfu: 38.7% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.488219 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,791 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00025 (1.5%) | loss: 5.453791 | lrm: 1.00 | dt: 315ms | tok/sec: 1,661,935 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.420785 | lrm: 1.00 | dt: 312ms | tok/sec: 1,678,199 | mfu: 38.9% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.388383 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,179 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.358751 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,239 | mfu: 38.7% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.328177 | lrm: 1.00 | dt: 311ms | tok/sec: 1,683,453 | mfu: 39.1% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.295650 | lrm: 1.00 | dt: 314ms | tok/sec: 1,670,332 | mfu: 38.8% | epoch: 1 | remaining: 294s    
