Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSSLSSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.202040e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 58783ms | tok/sec: 8,919 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854705 | lrm: 1.00 | dt: 820ms | tok/sec: 639,038 | mfu: 14.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442213 | lrm: 1.00 | dt: 592ms | tok/sec: 886,221 | mfu: 19.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971619 | lrm: 1.00 | dt: 543ms | tok/sec: 965,449 | mfu: 21.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578536 | lrm: 1.00 | dt: 411ms | tok/sec: 1,274,423 | mfu: 28.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248589 | lrm: 1.00 | dt: 456ms | tok/sec: 1,148,616 | mfu: 25.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997801 | lrm: 1.00 | dt: 471ms | tok/sec: 1,113,094 | mfu: 24.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.786696 | lrm: 1.00 | dt: 412ms | tok/sec: 1,273,476 | mfu: 28.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606542 | lrm: 1.00 | dt: 479ms | tok/sec: 1,094,077 | mfu: 24.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.454513 | lrm: 1.00 | dt: 441ms | tok/sec: 1,187,727 | mfu: 26.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.324546 | lrm: 1.00 | dt: 388ms | tok/sec: 1,351,823 | mfu: 30.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.215865 | lrm: 1.00 | dt: 489ms | tok/sec: 1,072,857 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 6.119045 | lrm: 1.00 | dt: 404ms | tok/sec: 1,298,035 | mfu: 28.9% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.032517 | lrm: 1.00 | dt: 454ms | tok/sec: 1,154,270 | mfu: 25.7% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 5.959577 | lrm: 1.00 | dt: 500ms | tok/sec: 1,048,379 | mfu: 23.3% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 5.894389 | lrm: 1.00 | dt: 511ms | tok/sec: 1,026,580 | mfu: 22.8% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 5.837517 | lrm: 1.00 | dt: 403ms | tok/sec: 1,300,460 | mfu: 28.9% | epoch: 1 | remaining: 297s    
step 00017 (0.9%) | loss: 5.782087 | lrm: 1.00 | dt: 531ms | tok/sec: 986,815 | mfu: 22.0% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 5.732038 | lrm: 1.00 | dt: 450ms | tok/sec: 1,164,120 | mfu: 25.9% | epoch: 1 | remaining: 296s    
step 00019 (1.2%) | loss: 5.685097 | lrm: 1.00 | dt: 456ms | tok/sec: 1,150,841 | mfu: 25.6% | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 5.641140 | lrm: 1.00 | dt: 518ms | tok/sec: 1,012,393 | mfu: 22.5% | epoch: 1 | remaining: 295s    
step 00021 (1.6%) | loss: 5.598614 | lrm: 1.00 | dt: 442ms | tok/sec: 1,186,597 | mfu: 26.4% | epoch: 1 | remaining: 295s    
step 00022 (1.7%) | loss: 5.560643 | lrm: 1.00 | dt: 467ms | tok/sec: 1,122,768 | mfu: 25.0% | epoch: 1 | remaining: 294s    
step 00023 (1.9%) | loss: 5.520969 | lrm: 1.00 | dt: 401ms | tok/sec: 1,307,930 | mfu: 29.1% | epoch: 1 | remaining: 294s    
step 00024 (2.0%) | loss: 5.482691 | lrm: 1.00 | dt: 433ms | tok/sec: 1,211,937 | mfu: 27.0% | epoch: 1 | remaining: 294s    
step 00025 (2.2%) | loss: 5.447487 | lrm: 1.00 | dt: 398ms | tok/sec: 1,318,599 | mfu: 29.3% | epoch: 1 | remaining: 293s    
step 00026 (2.3%) | loss: 5.413818 | lrm: 1.00 | dt: 345ms | tok/sec: 1,521,749 | mfu: 33.9% | epoch: 1 | remaining: 293s    
step 00027 (2.4%) | loss: 5.380820 | lrm: 1.00 | dt: 410ms | tok/sec: 1,277,401 | mfu: 28.4% | epoch: 1 | remaining: 292s    
step 00028 (2.5%) | loss: 5.350589 | lrm: 1.00 | dt: 365ms | tok/sec: 1,436,055 | mfu: 32.0% | epoch: 1 | remaining: 292s    
step 00029 (2.7%) | loss: 5.319550 | lrm: 1.00 | dt: 346ms | tok/sec: 1,516,446 | mfu: 33.7% | epoch: 1 | remaining: 292s    
step 00030 (2.8%) | loss: 5.286771 | lrm: 1.00 | dt: 357ms | tok/sec: 1,469,977 | mfu: 32.7% | epoch: 1 | remaining: 291s    
