Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSM'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.139126e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 62078ms | tok/sec: 8,445 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854694 | lrm: 1.00 | dt: 821ms | tok/sec: 638,889 | mfu: 13.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442145 | lrm: 1.00 | dt: 574ms | tok/sec: 913,428 | mfu: 19.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971572 | lrm: 1.00 | dt: 538ms | tok/sec: 975,306 | mfu: 21.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578447 | lrm: 1.00 | dt: 392ms | tok/sec: 1,337,494 | mfu: 28.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248511 | lrm: 1.00 | dt: 417ms | tok/sec: 1,256,609 | mfu: 27.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997720 | lrm: 1.00 | dt: 515ms | tok/sec: 1,018,427 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.786632 | lrm: 1.00 | dt: 449ms | tok/sec: 1,167,827 | mfu: 25.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606489 | lrm: 1.00 | dt: 405ms | tok/sec: 1,296,117 | mfu: 28.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.454491 | lrm: 1.00 | dt: 515ms | tok/sec: 1,018,690 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.324557 | lrm: 1.00 | dt: 435ms | tok/sec: 1,204,087 | mfu: 26.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.215932 | lrm: 1.00 | dt: 530ms | tok/sec: 988,317 | mfu: 21.4% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.119228 | lrm: 1.00 | dt: 455ms | tok/sec: 1,151,611 | mfu: 24.9% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.033014 | lrm: 1.00 | dt: 531ms | tok/sec: 988,168 | mfu: 21.4% | epoch: 1 | remaining: 298s    
step 00014 (0.5%) | loss: 5.960584 | lrm: 1.00 | dt: 551ms | tok/sec: 950,852 | mfu: 20.6% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 5.895463 | lrm: 1.00 | dt: 563ms | tok/sec: 931,346 | mfu: 20.1% | epoch: 1 | remaining: 297s    
step 00016 (0.9%) | loss: 5.838466 | lrm: 1.00 | dt: 480ms | tok/sec: 1,091,730 | mfu: 23.6% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 5.783158 | lrm: 1.00 | dt: 549ms | tok/sec: 954,840 | mfu: 20.6% | epoch: 1 | remaining: 296s    
step 00018 (1.2%) | loss: 5.733416 | lrm: 1.00 | dt: 529ms | tok/sec: 991,714 | mfu: 21.4% | epoch: 1 | remaining: 296s    
step 00019 (1.4%) | loss: 5.686694 | lrm: 1.00 | dt: 523ms | tok/sec: 1,002,263 | mfu: 21.7% | epoch: 1 | remaining: 295s    
step 00020 (1.6%) | loss: 5.642858 | lrm: 1.00 | dt: 510ms | tok/sec: 1,027,860 | mfu: 22.2% | epoch: 1 | remaining: 295s    
step 00021 (1.7%) | loss: 5.600681 | lrm: 1.00 | dt: 485ms | tok/sec: 1,081,175 | mfu: 23.4% | epoch: 1 | remaining: 294s    
step 00022 (1.9%) | loss: 5.563066 | lrm: 1.00 | dt: 546ms | tok/sec: 961,027 | mfu: 20.8% | epoch: 1 | remaining: 294s    
step 00023 (2.1%) | loss: 5.523706 | lrm: 1.00 | dt: 502ms | tok/sec: 1,045,159 | mfu: 22.6% | epoch: 1 | remaining: 293s    
step 00024 (2.3%) | loss: 5.485807 | lrm: 1.00 | dt: 511ms | tok/sec: 1,026,878 | mfu: 22.2% | epoch: 1 | remaining: 293s    
step 00025 (2.4%) | loss: 5.451125 | lrm: 1.00 | dt: 470ms | tok/sec: 1,114,665 | mfu: 24.1% | epoch: 1 | remaining: 292s    
step 00026 (2.6%) | loss: 5.417997 | lrm: 1.00 | dt: 374ms | tok/sec: 1,402,437 | mfu: 30.3% | epoch: 1 | remaining: 292s    
step 00027 (2.7%) | loss: 5.385452 | lrm: 1.00 | dt: 502ms | tok/sec: 1,045,418 | mfu: 22.6% | epoch: 1 | remaining: 291s    
step 00028 (2.9%) | loss: 5.355625 | lrm: 1.00 | dt: 384ms | tok/sec: 1,367,066 | mfu: 29.6% | epoch: 1 | remaining: 291s    
step 00029 (3.0%) | loss: 5.325067 | lrm: 1.00 | dt: 485ms | tok/sec: 1,079,931 | mfu: 23.3% | epoch: 1 | remaining: 291s    
step 00030 (3.2%) | loss: 5.292564 | lrm: 1.00 | dt: 433ms | tok/sec: 1,210,272 | mfu: 26.2% | epoch: 1 | remaining: 290s    
step 00031 (3.3%) | loss: 5.260675 | lrm: 1.00 | dt: 453ms | tok/sec: 1,156,544 | mfu: 25.0% | epoch: 1 | remaining: 290s    
step 00032 (3.5%) | loss: 5.230767 | lrm: 1.00 | dt: 454ms | tok/sec: 1,155,504 | mfu: 25.0% | epoch: 1 | remaining: 289s    
step 00033 (3.6%) | loss: 5.202637 | lrm: 1.00 | dt: 529ms | tok/sec: 990,183 | mfu: 21.4% | epoch: 1 | remaining: 289s    
step 00034 (3.8%) | loss: 5.169750 | lrm: 1.00 | dt: 427ms | tok/sec: 1,228,677 | mfu: 26.6% | epoch: 1 | remaining: 288s    
step 00035 (3.9%) | loss: 5.141402 | lrm: 1.00 | dt: 506ms | tok/sec: 1,036,249 | mfu: 22.4% | epoch: 1 | remaining: 288s    
step 00036 (4.1%) | loss: 5.113467 | lrm: 1.00 | dt: 469ms | tok/sec: 1,117,519 | mfu: 24.2% | epoch: 1 | remaining: 287s    
step 00037 (4.3%) | loss: 5.085020 | lrm: 1.00 | dt: 427ms | tok/sec: 1,228,669 | mfu: 26.6% | epoch: 1 | remaining: 287s    
step 00038 (4.4%) | loss: 5.056136 | lrm: 1.00 | dt: 467ms | tok/sec: 1,122,075 | mfu: 24.3% | epoch: 1 | remaining: 286s    
step 00039 (4.5%) | loss: 5.029126 | lrm: 1.00 | dt: 408ms | tok/sec: 1,286,405 | mfu: 27.8% | epoch: 1 | remaining: 286s    
step 00040 (4.7%) | loss: 4.998808 | lrm: 1.00 | dt: 364ms | tok/sec: 1,439,970 | mfu: 31.1% | epoch: 1 | remaining: 286s    
step 00041 (4.8%) | loss: 4.970043 | lrm: 1.00 | dt: 407ms | tok/sec: 1,286,936 | mfu: 27.8% | epoch: 1 | remaining: 285s    
step 00042 (4.9%) | loss: 4.943431 | lrm: 1.00 | dt: 417ms | tok/sec: 1,256,038 | mfu: 27.2% | epoch: 1 | remaining: 285s    
step 00043 (5.1%) | loss: 4.914817 | lrm: 1.00 | dt: 445ms | tok/sec: 1,176,997 | mfu: 25.4% | epoch: 1 | remaining: 284s    
step 00044 (5.2%) | loss: 4.886802 | lrm: 1.00 | dt: 449ms | tok/sec: 1,167,193 | mfu: 25.2% | epoch: 1 | remaining: 284s    
step 00045 (5.4%) | loss: 4.859817 | lrm: 1.00 | dt: 460ms | tok/sec: 1,139,575 | mfu: 24.6% | epoch: 1 | remaining: 283s    
step 00046 (5.5%) | loss: 4.831260 | lrm: 1.00 | dt: 448ms | tok/sec: 1,171,535 | mfu: 25.3% | epoch: 1 | remaining: 283s    
step 00047 (5.7%) | loss: 4.794819 | lrm: 1.00 | dt: 461ms | tok/sec: 1,136,840 | mfu: 24.6% | epoch: 1 | remaining: 282s    
step 00048 (5.8%) | loss: 4.772702 | lrm: 1.00 | dt: 441ms | tok/sec: 1,190,122 | mfu: 25.7% | epoch: 1 | remaining: 282s    
step 00049 (6.0%) | loss: 4.744619 | lrm: 1.00 | dt: 419ms | tok/sec: 1,250,831 | mfu: 27.0% | epoch: 1 | remaining: 282s    
step 00050 (6.1%) | loss: 4.713573 | lrm: 1.00 | dt: 414ms | tok/sec: 1,267,208 | mfu: 27.4% | epoch: 1 | remaining: 281s    
step 00051 (6.3%) | loss: 4.686139 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,668 | mfu: 34.8% | epoch: 1 | remaining: 281s    
step 00052 (6.4%) | loss: 4.657238 | lrm: 1.00 | dt: 442ms | tok/sec: 1,187,335 | mfu: 25.7% | epoch: 1 | remaining: 280s    
step 00053 (6.5%) | loss: 4.630824 | lrm: 1.00 | dt: 396ms | tok/sec: 1,323,046 | mfu: 28.6% | epoch: 1 | remaining: 280s    
step 00054 (6.6%) | loss: 4.603608 | lrm: 1.00 | dt: 439ms | tok/sec: 1,193,913 | mfu: 25.8% | epoch: 1 | remaining: 280s    
step 00055 (6.8%) | loss: 4.577554 | lrm: 1.00 | dt: 428ms | tok/sec: 1,224,838 | mfu: 26.5% | epoch: 1 | remaining: 279s    
step 00056 (6.9%) | loss: 4.554887 | lrm: 1.00 | dt: 375ms | tok/sec: 1,397,824 | mfu: 30.2% | epoch: 1 | remaining: 279s    
step 00057 (7.1%) | loss: 4.529808 | lrm: 1.00 | dt: 383ms | tok/sec: 1,368,441 | mfu: 29.6% | epoch: 1 | remaining: 278s    
step 00058 (7.2%) | loss: 4.499789 | lrm: 1.00 | dt: 426ms | tok/sec: 1,231,600 | mfu: 26.6% | epoch: 1 | remaining: 278s    
step 00059 (7.3%) | loss: 4.475879 | lrm: 1.00 | dt: 407ms | tok/sec: 1,289,104 | mfu: 27.9% | epoch: 1 | remaining: 278s    
step 00060 (7.5%) | loss: 4.450462 | lrm: 1.00 | dt: 406ms | tok/sec: 1,290,157 | mfu: 27.9% | epoch: 1 | remaining: 277s    
step 00061 (7.6%) | loss: 4.423047 | lrm: 1.00 | dt: 460ms | tok/sec: 1,139,753 | mfu: 24.6% | epoch: 1 | remaining: 277s    
step 00062 (7.8%) | loss: 4.401029 | lrm: 1.00 | dt: 428ms | tok/sec: 1,224,625 | mfu: 26.5% | epoch: 1 | remaining: 276s    
step 00063 (7.9%) | loss: 4.375942 | lrm: 1.00 | dt: 467ms | tok/sec: 1,122,637 | mfu: 24.3% | epoch: 1 | remaining: 276s    
step 00064 (8.1%) | loss: 4.350562 | lrm: 1.00 | dt: 372ms | tok/sec: 1,408,895 | mfu: 30.5% | epoch: 1 | remaining: 275s    
step 00065 (8.2%) | loss: 4.322581 | lrm: 1.00 | dt: 393ms | tok/sec: 1,334,123 | mfu: 28.8% | epoch: 1 | remaining: 275s    
step 00066 (8.3%) | loss: 4.299998 | lrm: 1.00 | dt: 440ms | tok/sec: 1,192,860 | mfu: 25.8% | epoch: 1 | remaining: 275s    
step 00067 (8.5%) | loss: 4.278704 | lrm: 1.00 | dt: 411ms | tok/sec: 1,275,057 | mfu: 27.6% | epoch: 1 | remaining: 274s    
step 00068 (8.6%) | loss: 4.258808 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,225 | mfu: 26.3% | epoch: 1 | remaining: 274s    
step 00069 (8.7%) | loss: 4.239750 | lrm: 1.00 | dt: 430ms | tok/sec: 1,219,757 | mfu: 26.4% | epoch: 1 | remaining: 273s    
step 00070 (8.9%) | loss: 4.220461 | lrm: 1.00 | dt: 403ms | tok/sec: 1,302,482 | mfu: 28.2% | epoch: 1 | remaining: 273s    
step 00071 (9.0%) | loss: 4.204896 | lrm: 1.00 | dt: 452ms | tok/sec: 1,160,339 | mfu: 25.1% | epoch: 1 | remaining: 273s    
step 00072 (9.2%) | loss: 4.181582 | lrm: 1.00 | dt: 389ms | tok/sec: 1,347,461 | mfu: 29.1% | epoch: 1 | remaining: 272s    
step 00073 (9.3%) | loss: 4.155601 | lrm: 1.00 | dt: 388ms | tok/sec: 1,352,034 | mfu: 29.2% | epoch: 1 | remaining: 272s    
step 00074 (9.4%) | loss: 4.131530 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,833 | mfu: 26.3% | epoch: 1 | remaining: 271s    
step 00075 (9.6%) | loss: 4.113052 | lrm: 1.00 | dt: 390ms | tok/sec: 1,344,427 | mfu: 29.1% | epoch: 1 | remaining: 271s    
step 00076 (9.7%) | loss: 4.094622 | lrm: 1.00 | dt: 415ms | tok/sec: 1,262,133 | mfu: 27.3% | epoch: 1 | remaining: 270s    
step 00077 (9.8%) | loss: 4.078478 | lrm: 1.00 | dt: 374ms | tok/sec: 1,400,761 | mfu: 30.3% | epoch: 1 | remaining: 270s    
step 00078 (10.0%) | loss: 4.055710 | lrm: 1.00 | dt: 397ms | tok/sec: 1,322,289 | mfu: 28.6% | epoch: 1 | remaining: 270s    
step 00079 (10.1%) | loss: 4.036722 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,460 | mfu: 26.5% | epoch: 1 | remaining: 269s    
step 00080 (10.2%) | loss: 4.018014 | lrm: 1.00 | dt: 402ms | tok/sec: 1,303,039 | mfu: 28.2% | epoch: 1 | remaining: 269s    
step 00081 (10.4%) | loss: 3.998365 | lrm: 1.00 | dt: 447ms | tok/sec: 1,172,497 | mfu: 25.3% | epoch: 1 | remaining: 268s    
step 00082 (10.5%) | loss: 3.981509 | lrm: 1.00 | dt: 424ms | tok/sec: 1,236,056 | mfu: 26.7% | epoch: 1 | remaining: 268s    
step 00083 (10.7%) | loss: 3.963437 | lrm: 1.00 | dt: 411ms | tok/sec: 1,276,461 | mfu: 27.6% | epoch: 1 | remaining: 268s    
step 00084 (10.8%) | loss: 3.948159 | lrm: 1.00 | dt: 408ms | tok/sec: 1,285,492 | mfu: 27.8% | epoch: 1 | remaining: 267s    
step 00085 (10.9%) | loss: 3.937944 | lrm: 1.00 | dt: 424ms | tok/sec: 1,235,737 | mfu: 26.7% | epoch: 1 | remaining: 267s    
step 00086 (11.1%) | loss: 3.924510 | lrm: 1.00 | dt: 478ms | tok/sec: 1,095,839 | mfu: 23.7% | epoch: 1 | remaining: 266s    
step 00087 (11.2%) | loss: 3.909870 | lrm: 1.00 | dt: 416ms | tok/sec: 1,259,897 | mfu: 27.2% | epoch: 1 | remaining: 266s    
step 00088 (11.4%) | loss: 3.889453 | lrm: 1.00 | dt: 464ms | tok/sec: 1,130,285 | mfu: 24.4% | epoch: 1 | remaining: 265s    
step 00089 (11.5%) | loss: 3.870106 | lrm: 1.00 | dt: 416ms | tok/sec: 1,259,800 | mfu: 27.2% | epoch: 1 | remaining: 265s    
step 00090 (11.7%) | loss: 3.857495 | lrm: 1.00 | dt: 377ms | tok/sec: 1,388,860 | mfu: 30.0% | epoch: 1 | remaining: 265s    
step 00091 (11.8%) | loss: 3.842428 | lrm: 1.00 | dt: 413ms | tok/sec: 1,268,791 | mfu: 27.4% | epoch: 1 | remaining: 264s    
step 00092 (11.9%) | loss: 3.827168 | lrm: 1.00 | dt: 405ms | tok/sec: 1,293,689 | mfu: 28.0% | epoch: 1 | remaining: 264s    
step 00093 (12.1%) | loss: 3.818001 | lrm: 1.00 | dt: 409ms | tok/sec: 1,280,669 | mfu: 27.7% | epoch: 1 | remaining: 263s    
step 00094 (12.2%) | loss: 3.806890 | lrm: 1.00 | dt: 428ms | tok/sec: 1,224,186 | mfu: 26.5% | epoch: 1 | remaining: 263s    
step 00095 (12.3%) | loss: 3.798397 | lrm: 1.00 | dt: 414ms | tok/sec: 1,265,563 | mfu: 27.4% | epoch: 1 | remaining: 263s    
step 00096 (12.5%) | loss: 3.792224 | lrm: 1.00 | dt: 441ms | tok/sec: 1,190,174 | mfu: 25.7% | epoch: 1 | remaining: 262s    
step 00097 (12.6%) | loss: 3.779848 | lrm: 1.00 | dt: 426ms | tok/sec: 1,230,710 | mfu: 26.6% | epoch: 1 | remaining: 262s    
step 00098 (12.8%) | loss: 3.771019 | lrm: 1.00 | dt: 422ms | tok/sec: 1,241,425 | mfu: 26.8% | epoch: 1 | remaining: 261s    
step 00099 (12.9%) | loss: 3.759263 | lrm: 1.00 | dt: 360ms | tok/sec: 1,455,341 | mfu: 31.5% | epoch: 1 | remaining: 261s    
step 00100 (13.0%) | loss: 3.750683 | lrm: 1.00 | dt: 442ms | tok/sec: 1,186,199 | mfu: 25.6% | epoch: 1 | remaining: 260s    
step 00101 (13.2%) | loss: 3.739123 | lrm: 1.00 | dt: 415ms | tok/sec: 1,263,976 | mfu: 27.3% | epoch: 1 | remaining: 260s    
step 00102 (13.3%) | loss: 3.727372 | lrm: 1.00 | dt: 460ms | tok/sec: 1,140,610 | mfu: 24.7% | epoch: 1 | remaining: 260s    
step 00103 (13.5%) | loss: 3.718029 | lrm: 1.00 | dt: 434ms | tok/sec: 1,208,543 | mfu: 26.1% | epoch: 1 | remaining: 259s    
step 00104 (13.6%) | loss: 3.701053 | lrm: 1.00 | dt: 436ms | tok/sec: 1,202,237 | mfu: 26.0% | epoch: 1 | remaining: 259s    
step 00105 (13.8%) | loss: 3.693344 | lrm: 1.00 | dt: 414ms | tok/sec: 1,267,106 | mfu: 27.4% | epoch: 1 | remaining: 258s    
step 00106 (13.9%) | loss: 3.685438 | lrm: 1.00 | dt: 406ms | tok/sec: 1,289,858 | mfu: 27.9% | epoch: 1 | remaining: 258s    
step 00107 (14.0%) | loss: 3.674475 | lrm: 1.00 | dt: 463ms | tok/sec: 1,131,807 | mfu: 24.5% | epoch: 1 | remaining: 257s    
step 00108 (14.2%) | loss: 3.669096 | lrm: 1.00 | dt: 428ms | tok/sec: 1,223,548 | mfu: 26.5% | epoch: 1 | remaining: 257s    
step 00109 (14.3%) | loss: 3.655632 | lrm: 1.00 | dt: 485ms | tok/sec: 1,081,202 | mfu: 23.4% | epoch: 1 | remaining: 257s    
step 00110 (14.5%) | loss: 3.648993 | lrm: 1.00 | dt: 433ms | tok/sec: 1,211,224 | mfu: 26.2% | epoch: 1 | remaining: 256s    
step 00111 (14.6%) | loss: 3.644019 | lrm: 1.00 | dt: 432ms | tok/sec: 1,213,897 | mfu: 26.2% | epoch: 1 | remaining: 256s    
step 00112 (14.8%) | loss: 3.638930 | lrm: 1.00 | dt: 423ms | tok/sec: 1,240,553 | mfu: 26.8% | epoch: 1 | remaining: 255s    
step 00113 (14.9%) | loss: 3.629624 | lrm: 1.00 | dt: 399ms | tok/sec: 1,313,610 | mfu: 28.4% | epoch: 1 | remaining: 255s    
step 00114 (15.1%) | loss: 3.619562 | lrm: 1.00 | dt: 386ms | tok/sec: 1,359,365 | mfu: 29.4% | epoch: 1 | remaining: 254s    
step 00115 (15.2%) | loss: 3.615611 | lrm: 1.00 | dt: 426ms | tok/sec: 1,230,405 | mfu: 26.6% | epoch: 1 | remaining: 254s    
step 00116 (15.3%) | loss: 3.610261 | lrm: 1.00 | dt: 431ms | tok/sec: 1,216,835 | mfu: 26.3% | epoch: 1 | remaining: 254s    
step 00117 (15.5%) | loss: 3.608459 | lrm: 1.00 | dt: 462ms | tok/sec: 1,134,103 | mfu: 24.5% | epoch: 1 | remaining: 253s    
step 00118 (15.6%) | loss: 3.604956 | lrm: 1.00 | dt: 414ms | tok/sec: 1,267,081 | mfu: 27.4% | epoch: 1 | remaining: 253s    
step 00119 (15.8%) | loss: 3.595811 | lrm: 1.00 | dt: 458ms | tok/sec: 1,144,550 | mfu: 24.7% | epoch: 1 | remaining: 252s    
step 00120 (15.9%) | loss: 3.590900 | lrm: 1.00 | dt: 380ms | tok/sec: 1,380,375 | mfu: 29.8% | epoch: 1 | remaining: 252s    
step 00121 (16.0%) | loss: 3.583485 | lrm: 1.00 | dt: 337ms | tok/sec: 1,555,943 | mfu: 33.6% | epoch: 1 | remaining: 252s    
step 00122 (16.2%) | loss: 3.572897 | lrm: 1.00 | dt: 372ms | tok/sec: 1,409,214 | mfu: 30.5% | epoch: 1 | remaining: 251s    
step 00123 (16.3%) | loss: 3.567984 | lrm: 1.00 | dt: 398ms | tok/sec: 1,315,707 | mfu: 28.4% | epoch: 1 | remaining: 251s    
step 00124 (16.4%) | loss: 3.566564 | lrm: 1.00 | dt: 406ms | tok/sec: 1,292,493 | mfu: 27.9% | epoch: 1 | remaining: 250s    
step 00125 (16.5%) | loss: 3.562664 | lrm: 1.00 | dt: 422ms | tok/sec: 1,243,337 | mfu: 26.9% | epoch: 1 | remaining: 250s    
step 00126 (16.7%) | loss: 3.556770 | lrm: 1.00 | dt: 392ms | tok/sec: 1,337,575 | mfu: 28.9% | epoch: 1 | remaining: 250s    
step 00127 (16.8%) | loss: 3.555982 | lrm: 1.00 | dt: 392ms | tok/sec: 1,336,669 | mfu: 28.9% | epoch: 1 | remaining: 249s    
step 00128 (16.9%) | loss: 3.549052 | lrm: 1.00 | dt: 336ms | tok/sec: 1,558,777 | mfu: 33.7% | epoch: 1 | remaining: 249s    
step 00129 (17.1%) | loss: 3.541144 | lrm: 1.00 | dt: 410ms | tok/sec: 1,280,000 | mfu: 27.7% | epoch: 1 | remaining: 248s    
step 00130 (17.2%) | loss: 3.535927 | lrm: 1.00 | dt: 392ms | tok/sec: 1,336,885 | mfu: 28.9% | epoch: 1 | remaining: 248s    
step 00131 (17.3%) | loss: 3.530370 | lrm: 1.00 | dt: 391ms | tok/sec: 1,340,598 | mfu: 29.0% | epoch: 1 | remaining: 248s    
step 00132 (17.5%) | loss: 3.525917 | lrm: 1.00 | dt: 388ms | tok/sec: 1,351,784 | mfu: 29.2% | epoch: 1 | remaining: 247s    
step 00133 (17.6%) | loss: 3.519465 | lrm: 1.00 | dt: 353ms | tok/sec: 1,483,206 | mfu: 32.1% | epoch: 1 | remaining: 247s    
step 00134 (17.7%) | loss: 3.514601 | lrm: 1.00 | dt: 409ms | tok/sec: 1,280,958 | mfu: 27.7% | epoch: 1 | remaining: 246s    
step 00135 (17.8%) | loss: 3.512652 | lrm: 1.00 | dt: 433ms | tok/sec: 1,212,149 | mfu: 26.2% | epoch: 1 | remaining: 246s    
step 00136 (18.0%) | loss: 3.505539 | lrm: 1.00 | dt: 468ms | tok/sec: 1,121,223 | mfu: 24.2% | epoch: 1 | remaining: 246s    
step 00137 (18.1%) | loss: 3.502823 | lrm: 1.00 | dt: 440ms | tok/sec: 1,191,449 | mfu: 25.8% | epoch: 1 | remaining: 245s    
