Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SLSSLSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.296412e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011255 | lrm: 1.00 | dt: 26694ms | tok/sec: 8,592 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.870250 | lrm: 1.00 | dt: 274ms | tok/sec: 835,709 | mfu: 19.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.496041 | lrm: 1.00 | dt: 264ms | tok/sec: 868,074 | mfu: 20.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.046697 | lrm: 1.00 | dt: 212ms | tok/sec: 1,081,807 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.671602 | lrm: 1.00 | dt: 184ms | tok/sec: 1,244,795 | mfu: 28.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.345565 | lrm: 1.00 | dt: 235ms | tok/sec: 976,646 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.086654 | lrm: 1.00 | dt: 219ms | tok/sec: 1,048,333 | mfu: 24.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.881233 | lrm: 1.00 | dt: 225ms | tok/sec: 1,020,846 | mfu: 23.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.706872 | lrm: 1.00 | dt: 210ms | tok/sec: 1,093,740 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.561039 | lrm: 1.00 | dt: 163ms | tok/sec: 1,410,463 | mfu: 32.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.436134 | lrm: 1.00 | dt: 174ms | tok/sec: 1,318,164 | mfu: 30.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.327413 | lrm: 1.00 | dt: 137ms | tok/sec: 1,670,836 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.234629 | lrm: 1.00 | dt: 194ms | tok/sec: 1,182,716 | mfu: 27.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.150234 | lrm: 1.00 | dt: 151ms | tok/sec: 1,517,617 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.072482 | lrm: 1.00 | dt: 147ms | tok/sec: 1,562,039 | mfu: 36.3% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.007432 | lrm: 1.00 | dt: 161ms | tok/sec: 1,428,166 | mfu: 33.1% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.948925 | lrm: 1.00 | dt: 136ms | tok/sec: 1,681,812 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.894718 | lrm: 1.00 | dt: 137ms | tok/sec: 1,669,592 | mfu: 38.7% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.843117 | lrm: 1.00 | dt: 138ms | tok/sec: 1,667,431 | mfu: 38.7% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.796734 | lrm: 1.00 | dt: 148ms | tok/sec: 1,548,316 | mfu: 35.9% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.753666 | lrm: 1.00 | dt: 141ms | tok/sec: 1,630,924 | mfu: 37.9% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 5.711966 | lrm: 1.00 | dt: 139ms | tok/sec: 1,649,703 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 5.672120 | lrm: 1.00 | dt: 143ms | tok/sec: 1,609,153 | mfu: 37.3% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.635653 | lrm: 1.00 | dt: 137ms | tok/sec: 1,674,500 | mfu: 38.9% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.601463 | lrm: 1.00 | dt: 137ms | tok/sec: 1,672,128 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.568646 | lrm: 1.00 | dt: 140ms | tok/sec: 1,637,300 | mfu: 38.0% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.538440 | lrm: 1.00 | dt: 141ms | tok/sec: 1,621,119 | mfu: 37.6% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.508607 | lrm: 1.00 | dt: 142ms | tok/sec: 1,615,080 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.479330 | lrm: 1.00 | dt: 139ms | tok/sec: 1,652,534 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.450198 | lrm: 1.00 | dt: 140ms | tok/sec: 1,643,456 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.420644 | lrm: 1.00 | dt: 139ms | tok/sec: 1,652,741 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00031 (1.0%) | loss: 5.391406 | lrm: 1.00 | dt: 137ms | tok/sec: 1,670,392 | mfu: 38.8% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.365564 | lrm: 1.00 | dt: 139ms | tok/sec: 1,649,805 | mfu: 38.3% | epoch: 1 | remaining: 297s    
step 00033 (1.1%) | loss: 5.340438 | lrm: 1.00 | dt: 141ms | tok/sec: 1,623,526 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00034 (1.1%) | loss: 5.311637 | lrm: 1.00 | dt: 143ms | tok/sec: 1,608,661 | mfu: 37.3% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 5.284463 | lrm: 1.00 | dt: 140ms | tok/sec: 1,643,807 | mfu: 38.1% | epoch: 1 | remaining: 296s    
step 00036 (1.2%) | loss: 5.261152 | lrm: 1.00 | dt: 140ms | tok/sec: 1,637,877 | mfu: 38.0% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 5.234992 | lrm: 1.00 | dt: 139ms | tok/sec: 1,650,612 | mfu: 38.3% | epoch: 1 | remaining: 296s    
step 00038 (1.3%) | loss: 5.211638 | lrm: 1.00 | dt: 140ms | tok/sec: 1,642,045 | mfu: 38.1% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 5.186610 | lrm: 1.00 | dt: 139ms | tok/sec: 1,646,476 | mfu: 38.2% | epoch: 1 | remaining: 296s    
step 00040 (1.4%) | loss: 5.161778 | lrm: 1.00 | dt: 141ms | tok/sec: 1,631,248 | mfu: 37.9% | epoch: 1 | remaining: 296s    
step 00041 (1.4%) | loss: 5.135877 | lrm: 1.00 | dt: 141ms | tok/sec: 1,631,679 | mfu: 37.9% | epoch: 1 | remaining: 296s    
step 00042 (1.5%) | loss: 5.112003 | lrm: 1.00 | dt: 139ms | tok/sec: 1,653,312 | mfu: 38.4% | epoch: 1 | remaining: 295s    
step 00043 (1.5%) | loss: 5.087307 | lrm: 1.00 | dt: 140ms | tok/sec: 1,634,874 | mfu: 37.9% | epoch: 1 | remaining: 295s    
step 00044 (1.6%) | loss: 5.060902 | lrm: 1.00 | dt: 138ms | tok/sec: 1,666,529 | mfu: 38.7% | epoch: 1 | remaining: 295s    
step 00045 (1.6%) | loss: 5.036703 | lrm: 1.00 | dt: 140ms | tok/sec: 1,634,576 | mfu: 37.9% | epoch: 1 | remaining: 295s    
step 00046 (1.7%) | loss: 5.015495 | lrm: 1.00 | dt: 141ms | tok/sec: 1,628,266 | mfu: 37.8% | epoch: 1 | remaining: 295s    
step 00047 (1.7%) | loss: 4.988994 | lrm: 1.00 | dt: 141ms | tok/sec: 1,627,126 | mfu: 37.8% | epoch: 1 | remaining: 295s    
step 00048 (1.8%) | loss: 4.965885 | lrm: 1.00 | dt: 139ms | tok/sec: 1,654,626 | mfu: 38.4% | epoch: 1 | remaining: 295s    
