Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLSLLL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011255 | lrm: 1.00 | dt: 28750ms | tok/sec: 7,978 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.870224 | lrm: 1.00 | dt: 140ms | tok/sec: 1,635,313 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.495886 | lrm: 1.00 | dt: 149ms | tok/sec: 1,544,086 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.046468 | lrm: 1.00 | dt: 136ms | tok/sec: 1,690,373 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.671749 | lrm: 1.00 | dt: 137ms | tok/sec: 1,676,657 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.345721 | lrm: 1.00 | dt: 138ms | tok/sec: 1,657,417 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.086890 | lrm: 1.00 | dt: 144ms | tok/sec: 1,590,263 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.881566 | lrm: 1.00 | dt: 162ms | tok/sec: 1,416,147 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.707272 | lrm: 1.00 | dt: 208ms | tok/sec: 1,100,152 | mfu: 26.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.561487 | lrm: 1.00 | dt: 150ms | tok/sec: 1,528,392 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.436642 | lrm: 1.00 | dt: 189ms | tok/sec: 1,215,252 | mfu: 29.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.327951 | lrm: 1.00 | dt: 151ms | tok/sec: 1,520,582 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.235182 | lrm: 1.00 | dt: 162ms | tok/sec: 1,414,224 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.150810 | lrm: 1.00 | dt: 135ms | tok/sec: 1,694,729 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.073110 | lrm: 1.00 | dt: 149ms | tok/sec: 1,538,939 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.008032 | lrm: 1.00 | dt: 152ms | tok/sec: 1,512,257 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 5.949610 | lrm: 1.00 | dt: 153ms | tok/sec: 1,501,062 | mfu: 36.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.895697 | lrm: 1.00 | dt: 138ms | tok/sec: 1,658,051 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 5.844434 | lrm: 1.00 | dt: 138ms | tok/sec: 1,656,586 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.798453 | lrm: 1.00 | dt: 145ms | tok/sec: 1,586,356 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.755769 | lrm: 1.00 | dt: 145ms | tok/sec: 1,585,368 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 5.714297 | lrm: 1.00 | dt: 138ms | tok/sec: 1,662,506 | mfu: 40.2% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 5.674859 | lrm: 1.00 | dt: 155ms | tok/sec: 1,475,098 | mfu: 35.6% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.638930 | lrm: 1.00 | dt: 138ms | tok/sec: 1,656,409 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.605320 | lrm: 1.00 | dt: 142ms | tok/sec: 1,617,480 | mfu: 39.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.573094 | lrm: 1.00 | dt: 141ms | tok/sec: 1,621,242 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.543456 | lrm: 1.00 | dt: 140ms | tok/sec: 1,633,311 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.514005 | lrm: 1.00 | dt: 140ms | tok/sec: 1,634,257 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.485084 | lrm: 1.00 | dt: 140ms | tok/sec: 1,637,350 | mfu: 39.6% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.456209 | lrm: 1.00 | dt: 143ms | tok/sec: 1,609,290 | mfu: 38.9% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.427084 | lrm: 1.00 | dt: 139ms | tok/sec: 1,646,668 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00031 (1.0%) | loss: 5.398278 | lrm: 1.00 | dt: 147ms | tok/sec: 1,560,620 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.372737 | lrm: 1.00 | dt: 139ms | tok/sec: 1,654,222 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00033 (1.1%) | loss: 5.347747 | lrm: 1.00 | dt: 139ms | tok/sec: 1,649,257 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00034 (1.1%) | loss: 5.319330 | lrm: 1.00 | dt: 148ms | tok/sec: 1,545,230 | mfu: 37.3% | epoch: 1 | remaining: 297s    
step 00035 (1.2%) | loss: 5.292521 | lrm: 1.00 | dt: 138ms | tok/sec: 1,660,334 | mfu: 40.1% | epoch: 1 | remaining: 296s    
step 00036 (1.2%) | loss: 5.269493 | lrm: 1.00 | dt: 143ms | tok/sec: 1,604,516 | mfu: 38.8% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 5.243611 | lrm: 1.00 | dt: 140ms | tok/sec: 1,638,250 | mfu: 39.6% | epoch: 1 | remaining: 296s    
step 00038 (1.3%) | loss: 5.220536 | lrm: 1.00 | dt: 140ms | tok/sec: 1,635,357 | mfu: 39.5% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 5.195674 | lrm: 1.00 | dt: 149ms | tok/sec: 1,536,481 | mfu: 37.1% | epoch: 1 | remaining: 296s    
step 00040 (1.4%) | loss: 5.170874 | lrm: 1.00 | dt: 138ms | tok/sec: 1,658,883 | mfu: 40.1% | epoch: 1 | remaining: 296s    
step 00041 (1.4%) | loss: 5.144732 | lrm: 1.00 | dt: 139ms | tok/sec: 1,655,967 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00042 (1.5%) | loss: 5.121257 | lrm: 1.00 | dt: 144ms | tok/sec: 1,595,866 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00043 (1.5%) | loss: 5.097017 | lrm: 1.00 | dt: 138ms | tok/sec: 1,657,562 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00044 (1.6%) | loss: 5.070849 | lrm: 1.00 | dt: 139ms | tok/sec: 1,644,290 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00045 (1.6%) | loss: 5.046656 | lrm: 1.00 | dt: 140ms | tok/sec: 1,633,713 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00046 (1.7%) | loss: 5.025336 | lrm: 1.00 | dt: 141ms | tok/sec: 1,629,491 | mfu: 39.4% | epoch: 1 | remaining: 295s    
step 00047 (1.7%) | loss: 4.999074 | lrm: 1.00 | dt: 140ms | tok/sec: 1,642,157 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00048 (1.8%) | loss: 4.976380 | lrm: 1.00 | dt: 146ms | tok/sec: 1,567,136 | mfu: 37.9% | epoch: 1 | remaining: 295s    
step 00049 (1.8%) | loss: 4.954503 | lrm: 1.00 | dt: 142ms | tok/sec: 1,620,657 | mfu: 39.2% | epoch: 1 | remaining: 294s    
step 00050 (1.9%) | loss: 4.930492 | lrm: 1.00 | dt: 141ms | tok/sec: 1,630,380 | mfu: 39.4% | epoch: 1 | remaining: 294s    
step 00051 (1.9%) | loss: 4.906350 | lrm: 1.00 | dt: 141ms | tok/sec: 1,623,940 | mfu: 39.2% | epoch: 1 | remaining: 294s    
step 00052 (2.0%) | loss: 4.885509 | lrm: 1.00 | dt: 141ms | tok/sec: 1,632,443 | mfu: 39.4% | epoch: 1 | remaining: 294s    
step 00053 (2.0%) | loss: 4.861417 | lrm: 1.00 | dt: 140ms | tok/sec: 1,641,115 | mfu: 39.7% | epoch: 1 | remaining: 294s    
step 00054 (2.0%) | loss: 4.833980 | lrm: 1.00 | dt: 140ms | tok/sec: 1,635,796 | mfu: 39.5% | epoch: 1 | remaining: 294s    
step 00055 (2.1%) | loss: 4.811724 | lrm: 1.00 | dt: 146ms | tok/sec: 1,568,948 | mfu: 37.9% | epoch: 1 | remaining: 294s    
step 00056 (2.1%) | loss: 4.786531 | lrm: 1.00 | dt: 139ms | tok/sec: 1,653,676 | mfu: 40.0% | epoch: 1 | remaining: 293s    
step 00057 (2.2%) | loss: 4.764326 | lrm: 1.00 | dt: 138ms | tok/sec: 1,660,948 | mfu: 40.1% | epoch: 1 | remaining: 293s    
step 00058 (2.2%) | loss: 4.744547 | lrm: 1.00 | dt: 140ms | tok/sec: 1,635,107 | mfu: 39.5% | epoch: 1 | remaining: 293s    
step 00059 (2.3%) | loss: 4.720116 | lrm: 1.00 | dt: 140ms | tok/sec: 1,637,562 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00060 (2.3%) | loss: 4.697308 | lrm: 1.00 | dt: 139ms | tok/sec: 1,646,640 | mfu: 39.8% | epoch: 1 | remaining: 293s    
step 00061 (2.4%) | loss: 4.675425 | lrm: 1.00 | dt: 139ms | tok/sec: 1,649,158 | mfu: 39.8% | epoch: 1 | remaining: 293s    
step 00062 (2.4%) | loss: 4.649748 | lrm: 1.00 | dt: 142ms | tok/sec: 1,619,310 | mfu: 39.1% | epoch: 1 | remaining: 293s    
step 00063 (2.5%) | loss: 4.629914 | lrm: 1.00 | dt: 140ms | tok/sec: 1,639,046 | mfu: 39.6% | epoch: 1 | remaining: 292s    
step 00064 (2.5%) | loss: 4.609852 | lrm: 1.00 | dt: 138ms | tok/sec: 1,665,571 | mfu: 40.2% | epoch: 1 | remaining: 292s    
step 00065 (2.6%) | loss: 4.587813 | lrm: 1.00 | dt: 139ms | tok/sec: 1,654,908 | mfu: 40.0% | epoch: 1 | remaining: 292s    
