Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLMLML'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.359327e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011255 | lrm: 1.00 | dt: 26137ms | tok/sec: 8,775 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.870233 | lrm: 1.00 | dt: 134ms | tok/sec: 1,708,711 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.495900 | lrm: 1.00 | dt: 138ms | tok/sec: 1,667,543 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.046503 | lrm: 1.00 | dt: 134ms | tok/sec: 1,706,537 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.671699 | lrm: 1.00 | dt: 137ms | tok/sec: 1,672,809 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.345689 | lrm: 1.00 | dt: 137ms | tok/sec: 1,676,932 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.086864 | lrm: 1.00 | dt: 138ms | tok/sec: 1,662,374 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.881532 | lrm: 1.00 | dt: 156ms | tok/sec: 1,473,569 | mfu: 35.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.707267 | lrm: 1.00 | dt: 202ms | tok/sec: 1,135,435 | mfu: 27.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.561493 | lrm: 1.00 | dt: 137ms | tok/sec: 1,677,867 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.436654 | lrm: 1.00 | dt: 147ms | tok/sec: 1,561,398 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.327971 | lrm: 1.00 | dt: 137ms | tok/sec: 1,678,878 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.235225 | lrm: 1.00 | dt: 144ms | tok/sec: 1,588,766 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.150865 | lrm: 1.00 | dt: 137ms | tok/sec: 1,678,227 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.073117 | lrm: 1.00 | dt: 139ms | tok/sec: 1,652,333 | mfu: 39.4% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.007766 | lrm: 1.00 | dt: 153ms | tok/sec: 1,496,737 | mfu: 35.7% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 5.949389 | lrm: 1.00 | dt: 143ms | tok/sec: 1,605,163 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.895785 | lrm: 1.00 | dt: 142ms | tok/sec: 1,618,356 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 5.844540 | lrm: 1.00 | dt: 139ms | tok/sec: 1,647,452 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.798553 | lrm: 1.00 | dt: 140ms | tok/sec: 1,640,986 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.756016 | lrm: 1.00 | dt: 139ms | tok/sec: 1,653,167 | mfu: 39.4% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 5.714691 | lrm: 1.00 | dt: 142ms | tok/sec: 1,613,945 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 5.675304 | lrm: 1.00 | dt: 146ms | tok/sec: 1,571,852 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.639365 | lrm: 1.00 | dt: 140ms | tok/sec: 1,641,084 | mfu: 39.1% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.605709 | lrm: 1.00 | dt: 142ms | tok/sec: 1,616,564 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.573524 | lrm: 1.00 | dt: 140ms | tok/sec: 1,642,586 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.543962 | lrm: 1.00 | dt: 138ms | tok/sec: 1,664,923 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.514646 | lrm: 1.00 | dt: 138ms | tok/sec: 1,663,291 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.485747 | lrm: 1.00 | dt: 141ms | tok/sec: 1,628,092 | mfu: 38.8% | epoch: 1 | remaining: 297s    
step 00029 (0.8%) | loss: 5.456854 | lrm: 1.00 | dt: 143ms | tok/sec: 1,600,735 | mfu: 38.2% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.427841 | lrm: 1.00 | dt: 141ms | tok/sec: 1,621,105 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 5.399150 | lrm: 1.00 | dt: 144ms | tok/sec: 1,587,819 | mfu: 37.9% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.373667 | lrm: 1.00 | dt: 139ms | tok/sec: 1,654,228 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 5.348555 | lrm: 1.00 | dt: 138ms | tok/sec: 1,663,596 | mfu: 39.7% | epoch: 1 | remaining: 297s    
