Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSSLSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.154854e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 28041ms | tok/sec: 9,348 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867330 | lrm: 1.00 | dt: 149ms | tok/sec: 1,756,470 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486347 | lrm: 1.00 | dt: 150ms | tok/sec: 1,748,567 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034333 | lrm: 1.00 | dt: 154ms | tok/sec: 1,702,391 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654927 | lrm: 1.00 | dt: 150ms | tok/sec: 1,743,665 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322310 | lrm: 1.00 | dt: 151ms | tok/sec: 1,732,024 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069259 | lrm: 1.00 | dt: 191ms | tok/sec: 1,374,901 | mfu: 29.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864032 | lrm: 1.00 | dt: 184ms | tok/sec: 1,423,419 | mfu: 31.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689525 | lrm: 1.00 | dt: 165ms | tok/sec: 1,590,765 | mfu: 34.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541137 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,883 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417687 | lrm: 1.00 | dt: 178ms | tok/sec: 1,469,357 | mfu: 32.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308376 | lrm: 1.00 | dt: 150ms | tok/sec: 1,744,221 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.210252 | lrm: 1.00 | dt: 165ms | tok/sec: 1,591,661 | mfu: 34.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.127500 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,401 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.054021 | lrm: 1.00 | dt: 154ms | tok/sec: 1,697,751 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.986098 | lrm: 1.00 | dt: 169ms | tok/sec: 1,551,728 | mfu: 33.8% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.925705 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,082 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.867343 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,740 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.815583 | lrm: 1.00 | dt: 153ms | tok/sec: 1,710,676 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.766628 | lrm: 1.00 | dt: 163ms | tok/sec: 1,603,415 | mfu: 34.9% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.720542 | lrm: 1.00 | dt: 151ms | tok/sec: 1,733,471 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.678127 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,045 | mfu: 36.1% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.640599 | lrm: 1.00 | dt: 155ms | tok/sec: 1,689,331 | mfu: 36.8% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.604041 | lrm: 1.00 | dt: 161ms | tok/sec: 1,632,567 | mfu: 35.6% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.569805 | lrm: 1.00 | dt: 151ms | tok/sec: 1,731,541 | mfu: 37.7% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.534693 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,500 | mfu: 36.6% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.500197 | lrm: 1.00 | dt: 167ms | tok/sec: 1,572,339 | mfu: 34.2% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.466371 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,790 | mfu: 36.3% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.436420 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,938 | mfu: 36.9% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.406716 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,809 | mfu: 35.6% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.373671 | lrm: 1.00 | dt: 153ms | tok/sec: 1,717,570 | mfu: 37.4% | epoch: 1 | remaining: 297s    
step 00031 (1.0%) | loss: 5.344230 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,308 | mfu: 36.1% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.315943 | lrm: 1.00 | dt: 154ms | tok/sec: 1,699,184 | mfu: 37.0% | epoch: 1 | remaining: 297s    
step 00033 (1.2%) | loss: 5.289001 | lrm: 1.00 | dt: 161ms | tok/sec: 1,623,705 | mfu: 35.4% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.261222 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,944 | mfu: 36.5% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.231960 | lrm: 1.00 | dt: 153ms | tok/sec: 1,715,943 | mfu: 37.4% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.203295 | lrm: 1.00 | dt: 154ms | tok/sec: 1,699,825 | mfu: 37.0% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 5.176252 | lrm: 1.00 | dt: 153ms | tok/sec: 1,710,897 | mfu: 37.3% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.147913 | lrm: 1.00 | dt: 158ms | tok/sec: 1,655,945 | mfu: 36.1% | epoch: 1 | remaining: 296s    
step 00039 (1.5%) | loss: 5.119947 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,677 | mfu: 36.8% | epoch: 1 | remaining: 295s    
step 00040 (1.5%) | loss: 5.095271 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,498 | mfu: 36.8% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.066920 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,217 | mfu: 37.4% | epoch: 1 | remaining: 295s    
step 00042 (1.6%) | loss: 5.042722 | lrm: 1.00 | dt: 153ms | tok/sec: 1,711,624 | mfu: 37.3% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 5.015065 | lrm: 1.00 | dt: 155ms | tok/sec: 1,695,746 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00044 (1.7%) | loss: 4.989535 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,594 | mfu: 36.4% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 4.965324 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,959 | mfu: 36.6% | epoch: 1 | remaining: 295s    
step 00046 (1.8%) | loss: 4.938445 | lrm: 1.00 | dt: 154ms | tok/sec: 1,707,040 | mfu: 37.2% | epoch: 1 | remaining: 294s    
step 00047 (1.9%) | loss: 4.909993 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,911 | mfu: 37.1% | epoch: 1 | remaining: 294s    
step 00048 (1.9%) | loss: 4.883815 | lrm: 1.00 | dt: 155ms | tok/sec: 1,686,398 | mfu: 36.7% | epoch: 1 | remaining: 294s    
step 00049 (2.0%) | loss: 4.855058 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,214 | mfu: 36.9% | epoch: 1 | remaining: 294s    
step 00050 (2.0%) | loss: 4.832678 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,145 | mfu: 37.1% | epoch: 1 | remaining: 294s    
step 00051 (2.1%) | loss: 4.805652 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,090 | mfu: 36.7% | epoch: 1 | remaining: 294s    
step 00052 (2.1%) | loss: 4.781702 | lrm: 1.00 | dt: 158ms | tok/sec: 1,662,440 | mfu: 36.2% | epoch: 1 | remaining: 293s    
step 00053 (2.2%) | loss: 4.758099 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,737 | mfu: 37.0% | epoch: 1 | remaining: 293s    
step 00054 (2.2%) | loss: 4.732027 | lrm: 1.00 | dt: 153ms | tok/sec: 1,715,044 | mfu: 37.3% | epoch: 1 | remaining: 293s    
step 00055 (2.3%) | loss: 4.709734 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,329 | mfu: 36.9% | epoch: 1 | remaining: 293s    
step 00056 (2.3%) | loss: 4.687439 | lrm: 1.00 | dt: 155ms | tok/sec: 1,690,323 | mfu: 36.8% | epoch: 1 | remaining: 293s    
step 00057 (2.4%) | loss: 4.665274 | lrm: 1.00 | dt: 154ms | tok/sec: 1,699,885 | mfu: 37.0% | epoch: 1 | remaining: 293s    
step 00058 (2.4%) | loss: 4.642352 | lrm: 1.00 | dt: 157ms | tok/sec: 1,672,243 | mfu: 36.4% | epoch: 1 | remaining: 293s    
step 00059 (2.5%) | loss: 4.619584 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,235 | mfu: 36.9% | epoch: 1 | remaining: 292s    
step 00060 (2.5%) | loss: 4.599009 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,633 | mfu: 36.8% | epoch: 1 | remaining: 292s    
step 00061 (2.6%) | loss: 4.574461 | lrm: 1.00 | dt: 153ms | tok/sec: 1,713,841 | mfu: 37.3% | epoch: 1 | remaining: 292s    
step 00062 (2.7%) | loss: 4.550973 | lrm: 1.00 | dt: 153ms | tok/sec: 1,711,651 | mfu: 37.3% | epoch: 1 | remaining: 292s    
step 00063 (2.7%) | loss: 4.527529 | lrm: 1.00 | dt: 153ms | tok/sec: 1,707,812 | mfu: 37.2% | epoch: 1 | remaining: 292s    
step 00064 (2.8%) | loss: 4.504460 | lrm: 1.00 | dt: 158ms | tok/sec: 1,661,767 | mfu: 36.2% | epoch: 1 | remaining: 292s    
step 00065 (2.8%) | loss: 4.480743 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,409 | mfu: 36.7% | epoch: 1 | remaining: 291s    
