Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,848
  context_mix             : 1,024
  scalars                 : 16
  total                   : 50,333,712
Estimated FLOPs per token: 2.390815e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 10471ms | tok/sec: 50,070 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854217 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,217 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.440670 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,893 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.973660 | lrm: 1.00 | dt: 344ms | tok/sec: 1,524,439 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.581645 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,399 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.252143 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,229 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.999981 | lrm: 1.00 | dt: 340ms | tok/sec: 1,543,513 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.789067 | lrm: 1.00 | dt: 336ms | tok/sec: 1,558,433 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.609170 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,630 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.456889 | lrm: 1.00 | dt: 338ms | tok/sec: 1,549,129 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.326372 | lrm: 1.00 | dt: 337ms | tok/sec: 1,556,364 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217120 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,100 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120068 | lrm: 1.00 | dt: 339ms | tok/sec: 1,547,856 | mfu: 37.4% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.033410 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,835 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.959786 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,287 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.892702 | lrm: 1.00 | dt: 339ms | tok/sec: 1,546,647 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.834712 | lrm: 1.00 | dt: 338ms | tok/sec: 1,551,444 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.778507 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,351 | mfu: 37.7% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.727615 | lrm: 1.00 | dt: 336ms | tok/sec: 1,559,517 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.679746 | lrm: 1.00 | dt: 335ms | tok/sec: 1,563,161 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.635570 | lrm: 1.00 | dt: 334ms | tok/sec: 1,570,864 | mfu: 38.0% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.592895 | lrm: 1.00 | dt: 337ms | tok/sec: 1,556,342 | mfu: 37.6% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.554831 | lrm: 1.00 | dt: 337ms | tok/sec: 1,557,719 | mfu: 37.6% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.515079 | lrm: 1.00 | dt: 332ms | tok/sec: 1,580,540 | mfu: 38.2% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 5.477252 | lrm: 1.00 | dt: 335ms | tok/sec: 1,565,958 | mfu: 37.8% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.442131 | lrm: 1.00 | dt: 338ms | tok/sec: 1,549,915 | mfu: 37.4% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.408087 | lrm: 1.00 | dt: 337ms | tok/sec: 1,557,928 | mfu: 37.6% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.374745 | lrm: 1.00 | dt: 336ms | tok/sec: 1,559,511 | mfu: 37.7% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.344386 | lrm: 1.00 | dt: 335ms | tok/sec: 1,563,787 | mfu: 37.8% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.314306 | lrm: 1.00 | dt: 333ms | tok/sec: 1,574,471 | mfu: 38.0% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.282641 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,383 | mfu: 37.7% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.250417 | lrm: 1.00 | dt: 335ms | tok/sec: 1,564,302 | mfu: 37.8% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.220115 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,777 | mfu: 38.2% | epoch: 1 | remaining: 293s    
step 00033 (2.5%) | loss: 5.192077 | lrm: 1.00 | dt: 337ms | tok/sec: 1,557,539 | mfu: 37.6% | epoch: 1 | remaining: 292s    
step 00034 (2.6%) | loss: 5.159107 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,773 | mfu: 37.7% | epoch: 1 | remaining: 292s    
