attempt_id	commit	parent_commit	timestamp_utc	accuracy	parameters	status	description	proposal	train_exit	verify_exit
baseline	ac36a7fbf6ea91da448fe589a8e346719276db59		2026-08-15T02:38:45.010584+00:00	100.000000%	6080	keep	initial 6080-parameter pretrained starting model	baseline qualification check		0
attempt-0001	186053097768e743c237d850b2e941c69f4299c1	ac36a7fbf6ea91da448fe589a8e346719276db59	2026-08-15T03:11:43.068272+00:00			error	replace learned positions with fixed sinusoidal features	Representational substitution: fixed operand and output columns require distinguishable positions but may not require learned position vectors; replace the 35x16 learned table with deterministic sinusoidal features, reducing 560 parameters while retaining absolute and relative position signals.	0	
attempt-0002	232ebfcfadb1f01b563a3f32f85ed9f1199ffd4e	ac36a7fbf6ea91da448fe589a8e346719276db59	2026-08-15T03:17:48.875193+00:00	100.000000%	6016	keep	prune one low-score FF neuron per block with incumbent transfer	Parameterization-preserving structured compression: reduce each feed-forward layer from 48 to 47 units, rank incumbent neurons by input-row norm times output-column norm, copy the 47 strongest per block plus all shape-compatible weights, and fine-tune only if inherited sequence accuracy is insufficient.	0	0
attempt-0003	211543a0fd736f1502450273b29b040685283418	232ebfcfadb1f01b563a3f32f85ed9f1199ffd4e	2026-08-15T03:36:40.206882+00:00	99.990000%	5824	keep	prune FF width from 47 to 44 with structured transfer	Parameterization-preserving structured compression: test a larger local prune by reducing each block's feed-forward width from 47 to 44, retaining the highest incumbent row/column norm-product neurons and briefly fine-tuning the transferred network.	0	0
attempt-0004	bf5ac53e6d301db58302881c63388d836c77e4ee	211543a0fd736f1502450273b29b040685283418	2026-08-15T03:38:35.767219+00:00	99.970000%	5568	keep	prune FF width from 44 to 40 with structured transfer	Parameterization-preserving structured compression: reduce each feed-forward layer from 44 to 40 units using the same incumbent importance ranking and short fine-tuning, testing whether four further neurons per block are redundant despite the prior overflow edge-case miss.	0	0
attempt-0005	ae7557c3ddcf5520342e3f10feb66efc9cd098a9	bf5ac53e6d301db58302881c63388d836c77e4ee	2026-08-15T03:40:15.220850+00:00	99.980000%	5312	keep	prune FF width from 40 to 36 with structured transfer	Parameterization-preserving structured compression: remove four additional feed-forward neurons per block (40 to 36) with norm-product survivor transfer and brief fine-tuning, probing whether the growing leading-carry error remains below qualification.	0	0
attempt-0006	dd8de89c14b8df74c57098b90720b6f5cad10310	ae7557c3ddcf5520342e3f10feb66efc9cd098a9	2026-08-15T03:41:59.519966+00:00	99.860000%	5056	keep	prune FF width from 36 to 32 with structured transfer	Parameterization-preserving structured compression: reduce each block's feed-forward width from 36 to 32 by retaining the highest norm-product incumbent neurons and fine-tuning, testing a conventional 2x expansion ratio while current errors remain confined to the leading carry.	0	0
attempt-0007	10a4eea842457910e9cae758b528b36cfa65e53a	dd8de89c14b8df74c57098b90720b6f5cad10310	2026-08-15T03:44:41.620879+00:00	100.000000%	4800	keep	prune FF width from 32 to 28 with exact-test fine-tuning	Parameterization-preserving structured compression: reduce feed-forward width from 32 to 28 with norm-product survivor transfer; because width-32 stopped early yet missed rare leading carries officially, require 100% on the fixed internal test before ending the same bounded fine-tuning run.	0	0
attempt-0008	a96f0941ae7e876ddffb9ce63d274c84ffd34994	10a4eea842457910e9cae758b528b36cfa65e53a	2026-08-15T03:46:31.447046+00:00	99.990000%	4544	keep	prune FF width from 28 to 24 with structured transfer	Parameterization-preserving structured compression: reduce both feed-forward layers from width 28 to 24 using incumbent norm-product neuron selection, with the established 5,000-step fine-tuning budget and exact internal-test stopping criterion.	0	0
attempt-0009	fa3b4342da1c799451ca7cccde2bb44ed57ac681	a96f0941ae7e876ddffb9ce63d274c84ffd34994	2026-08-15T03:49:19.498759+00:00	99.990000%	4288	keep	prune FF width from 24 to 20 with structured transfer	Parameterization-preserving structured compression: reduce both feed-forward layers from width 24 to 20, transfer the top norm-product neurons and all compatible incumbent tensors, then fine-tune under the unchanged exact-test bounded protocol.	0	0
attempt-0010	37e16eaf4b97c48fc534e66d545a4e04d6c407eb	fa3b4342da1c799451ca7cccde2bb44ed57ac681	2026-08-15T03:50:57.521616+00:00			error	prune FF width from 20 to 16 with structured transfer	Parameterization-preserving structured compression: reduce feed-forward width from 20 to the 16-dimensional residual width, copying the highest norm-product incumbent neurons and testing whether the unchanged 5,000-step exact-test adaptation budget can recover qualification.	0	
attempt-0011	62929939e0c44ebba17c48f14a7ae11b43bbb842	fa3b4342da1c799451ca7cccde2bb44ed57ac681	2026-08-15T03:53:00.798193+00:00	99.990000%	4160	keep	prune FF width from 20 to 18 with extended adaptation	Parameterization-preserving structured compression: bisect the observed width-16/20 transition at width 18 using the same incumbent neuron transfer; extend the bounded fine-tuning cap to 10,000 steps because width 16 was still improving at the prior cap, while retaining exact-test early stopping.	0	0
attempt-0012	8b7fd7f14485eab91e86622b9e9cd398e41525c2	62929939e0c44ebba17c48f14a7ae11b43bbb842	2026-08-15T03:55:24.172771+00:00	99.990000%	4096	keep	prune FF width from 18 to 17 with structured transfer	Parameterization-preserving structured compression: remove one further neuron per block from the qualified width-18 incumbent, preserving the 10,000-step exact-test adaptation protocol to isolate whether width 17 remains viable just above the failed width-16 candidate.	0	0
attempt-0013	a93148480beaab8d6b137577f92492d591ef9e03	8b7fd7f14485eab91e86622b9e9cd398e41525c2	2026-08-15T03:57:55.675261+00:00	99.990000%	4032	keep	staged prune FF width from 17 to 16	Parameterization-preserving structured compression: revisit width 16 by pruning only one neuron per block from the qualified width-17 incumbent and using the established 10,000-step exact-test cap, testing whether staged transfer avoids attempt 10's optimization failure.	0	0
