run_id	session_id	session_file	token_events	input_tokens	cached_input_tokens	cache_write_input_tokens	output_tokens	reasoning_output_tokens	total_tokens
autoresearch-pilot-20260814	01a002cd-e461-7560-a651-9400bdf8e7a0	/Users/utshaho/.codex/sessions/2026/08/14/rollout-2026-08-14T20-24-02-01a002cd-e461-7560-a651-9400bdf8e7a0.jsonl	200	10198886	10014976	0	34648	8473	10233534
luna-max-20260816	01a00d56-8649-7493-8554-76d7e1f58ad9	/Users/utshaho/.codex/sessions/2026/08/16/rollout-2026-08-16T21-29-29-01a00d56-8649-7493-8554-76d7e1f58ad9.jsonl	2317	280444400	277704704	0	221805	70196	280666205
luna-max-20260816	01a00fd0-be64-7b22-8641-fcba8e803fac	/Users/utshaho/.codex/sessions/2026/08/17/rollout-2026-08-17T09-02-13-01a00fd0-be64-7b22-8641-fcba8e803fac.jsonl	765	92096198	91040768	0	74756	21873	92170954
luna-med-20260815	01a00877-403a-76f1-b99c-a4790708e8c8	/Users/utshaho/.codex/sessions/2026/08/15/rollout-2026-08-15T22-47-08-01a00877-403a-76f1-b99c-a4790708e8c8.jsonl	65	2291698	2214912	0	15475	6001	2307173
luna-med-20260815	01a008ad-d279-7253-a458-efc4fe4c9806	/Users/utshaho/.codex/sessions/2026/08/15/rollout-2026-08-15T23-46-44-01a008ad-d279-7253-a458-efc4fe4c9806.jsonl	67	2466703	2377216	0	11893	5329	2478596
luna-med-20260816	01a008d0-4230-7e82-b041-f18ca4d4ab9f	/Users/utshaho/.codex/sessions/2026/08/16/rollout-2026-08-16T00-24-21-01a008d0-4230-7e82-b041-f18ca4d4ab9f.jsonl	97	4351497	4229888	0	20966	7901	4372463
sol-xhigh-20260815	01a00863-5dde-78b2-a8dd-bb6011ef346d	/Users/utshaho/.codex/sessions/2026/08/15/rollout-2026-08-15T22-25-25-01a00863-5dde-78b2-a8dd-bb6011ef346d.jsonl	2028	231086054	228566528	0	224021	47017	231310075
sol-xhigh-20260816	01a00c59-4c67-74d3-aa8d-e4921a12b759	/Users/utshaho/.codex/sessions/2026/08/16/rollout-2026-08-16T16-52-54-01a00c59-4c67-74d3-aa8d-e4921a12b759.jsonl	952	105693348	104945920	0	50972	5749	105744320
sol-xhigh-20260816	01a00d66-97d5-7c20-bb0f-66a59822125c	/Users/utshaho/.codex/sessions/2026/08/16/rollout-2026-08-16T21-47-02-01a00d66-97d5-7c20-bb0f-66a59822125c.jsonl	2017	279921426	277179648	0	359073	63174	280280499
sol-xhigh-overnight-20260814	01a0034e-55e0-7810-adde-f4d87181c86b	/Users/utshaho/.codex/sessions/2026/08/14/rollout-2026-08-14T22-44-20-01a0034e-55e0-7810-adde-f4d87181c86b.jsonl	726	85235503	84286464	0	102572	22328	85338075
sol-xhigh-overnight-20260814	01a0061f-0581-70f1-bdad-ee80187684bc	/Users/utshaho/.codex/sessions/2026/08/15/rollout-2026-08-15T11-51-31-01a0061f-0581-70f1-bdad-ee80187684bc.jsonl	587	65892839	65235712	0	61643	12696	65954482
terra-xhigh-20260816	01a00d57-6a99-7212-bc60-40e85f751823	/Users/utshaho/.codex/sessions/2026/08/16/rollout-2026-08-16T21-30-27-01a00d57-6a99-7212-bc60-40e85f751823.jsonl	385	28430898	27924480	0	49453	15208	28480351
terra-xhigh-20260816	01a00dfb-699c-7172-b545-81b3fd0f3080	/Users/utshaho/.codex/sessions/2026/08/17/rollout-2026-08-17T00-29-35-01a00dfb-699c-7172-b545-81b3fd0f3080.jsonl	5	124679	97024	0	1511	469	126190
terra-xhigh-20260816	01a00dfc-5541-7503-9212-eb84479ce30b	/Users/utshaho/.codex/sessions/2026/08/17/rollout-2026-08-17T00-30-35-01a00dfc-5541-7503-9212-eb84479ce30b.jsonl	4	82201	62464	0	1136	287	83337
terra-xhigh-20260816	01a00e02-f0d5-7353-92b7-92deb61d9afc	/Users/utshaho/.codex/sessions/2026/08/17/rollout-2026-08-17T00-37-48-01a00e02-f0d5-7353-92b7-92deb61d9afc.jsonl	802	98044208	96866048	0	133453	40207	98177661
terra-xhigh-20260816	01a00fd0-c124-7883-a785-31a20bbfe7ad	/Users/utshaho/.codex/sessions/2026/08/17/rollout-2026-08-17T09-02-14-01a00fd0-c124-7883-a785-31a20bbfe7ad.jsonl	167	18889716	18526464	0	41936	17943	18931652
